"rownum","Id","XOffset","YOffset","FirstSlotIndex","Width","Height","HideIfEmpty","Tab","SlotSize","BaseItemType","bool_53","SlotStyle"
0,"Metadata/Items/Pinnacle/BurningMonolithKey1",339,151,0,1,1,"",78,0,4236,"",2
1,"Metadata/Items/Pinnacle/BurningMonolithKey2",519,151,1,1,1,"",78,0,4237,"",2
2,"Metadata/Items/Pinnacle/BurningMonolithKey3",429,151,2,1,1,"",78,0,4238,"",2
3,"Metadata/Items/Ultimatum/TrialmasterKey1",429,759,6,1,1,"",78,0,4257,"",0
4,"Metadata/Items/Ultimatum/TrialmasterKey2",339,759,7,1,1,"",78,0,4258,"",0
5,"Metadata/Items/Ultimatum/TrialmasterKey3",519,759,8,1,1,"",78,0,4259,"",0
6,"Metadata/Items/Currency/CurrencyBreachShard",101,281,0,1,1,"",78,1,177,"",0
7,"Metadata/Items/Currency/CurrencyAfflictionShard",468,609,1,1,1,"",78,1,193,"",0
8,"Metadata/Items/Currency/CurrencyRitualShard",10,848,2,1,1,"",78,1,194,1,0
9,"Metadata/Items/Currency/CurrencyExpeditionShard",110,848,3,1,1,"",78,1,195,1,0
10,"Metadata/Items/Currency/Breach/BreachPinnacleKey",112,381,0,2,2,"",78,2,481,"",0
11,"Metadata/Items/Currency/Delirium/DeliriumPinnacleKey",668,609,2,1,1,"",78,2,3773,"",0
12,"Metadata/Items/Currency/Ritual/RitualPinnacleKey",160,609,4,2,1,"",78,2,480,"",0
13,"Metadata/Items/Currency/Expedition/ExpeditionPinnacleKey",668,381,6,2,2,"",78,2,3774,"",0
14,"Metadata/Items/Currency/Abyss/AbyssPinnacleKey",798,609,8,1,1,"",78,2,3771,"",0
15,"Metadata/Items/MapFragments/CurrencyBreachFragment",201,281,10,1,1,"",78,2,852,"",0
16,"Metadata/Items/MapFragments/CurrencyAfflictionFragment",568,609,12,1,1,"",78,2,888,"",0
17,"Metadata/Items/Pinnacle/RitualPinnacleEffigyPiece",338,609,14,1,1,"",78,2,4253,"",0
18,"Metadata/Items/MapFragments/CurrencyRitualBossFragment",60,609,15,1,1,"",78,2,893,"",0
19,"Metadata/Items/Pinnacle/MothersoulEmbryo",429,281,0,1,1,"",78,4,4246,"",3
20,"Metadata/Items/Pinnacle/MothersoulEgg",390,381,1,2,2,"",78,4,4245,"",3
21,"Metadata/Items/QuestItems/Gallows/Endgame/ExpeditionPinnacleKeyShard",668,201,16,2,2,"",78,2,3775,"",0
