"rownum","Id","i32_8","MonsterVarietiesKeys"
0,"tornado",0,[525]
1,"raging_spirit",0,[24]
2,"raging_spirit",1,[]
3,"raging_spirit",2,[]
4,"raging_spirit",3,[]
5,"raging_spirit",4,[]
6,"raging_spirit",5,[]
7,"raging_spirit",6,[]
8,"raging_spirit",7,[]
9,"raging_spirit",8,[]
10,"raging_spirit",9,[]
11,"raging_spirit",10,[]
12,"summon_skeleton_warrior",0,[1606]
13,"summon_skeleton_reaver",0,[1607]
14,"summon_skeleton_brute",0,[1608]
15,"summon_skeleton_archer",0,[1609]
16,"summon_skeleton_frost_mage",0,[1610]
17,"summon_skeleton_storm_mage",0,[1611]
18,"summon_skeleton_arsonist",0,[1612]
19,"summon_skeleton_cleric",0,[1613]
20,"skeletal_construct",0,[1658]
21,"skeletal_construct",1,[1658]
22,"summon_packleader",0,[1573]
23,"summon_mist_raven",0,[1575]
24,"ancestral_warrior_spirit",0,[1666]
25,"rhoa_mount",0,[1668]
26,"rhoa_mount",1,[1669]
27,"rhoa_mount",2,[1670]
28,"rhoa_mount",3,[1671]
29,"rhoa_mount",4,[1672]
30,"bone_offering",0,[1619]
31,"bone_offering",1,[1620]
32,"pain_offering",0,[1617]
33,"pain_offering",1,[1618]
34,"power_offering",0,[1621]
35,"power_offering",1,[1622]
36,"volatile_dead_core",0,[108]
37,"volatile_dead_core",1,[]
38,"volatile_dead_core",2,[109]
39,"volatile_dead_core",3,[]
40,"volatile_dead_core",4,[134]
41,"volatile_dead_core",5,[135]
42,"hydra",0,[1740]
43,"mercenary_companion",0,[1605]
44,"demon_caster",0,[819]
45,"summon_infernal_familiar",0,[1762]
46,"summon_water_djinn",0,[827]
47,"summon_fire_djinn",0,[828]
48,"summon_sand_djinn",0,[829]
49,"animated_weapon",0,[2212]
50,"summon_artillery_daemon",0,[2213]
51,"ravenous_swarm",0,[2218]
52,"summon_wolf_companion",0,[1570]
53,"summon_wolf_companion",1,[1571]
54,"wolf_warcry_wolf",0,[1572]
55,"wolf_warcry_wolf",1,[1572]
56,"summon_hyena_cackle",0,[1574]
57,"living_lightning",0,[2244]
58,"corpse_beetle",0,[2245]
59,"companion_bear",0,[1673]
60,"lightless_stalker",0,[2319]
61,"phantasmal_eye",0,[2318]
62,"hatching_elemental",0,[433]
63,"lich_apparition",0,[2419]
64,"rip_from_time_clone",0,[2594]
65,"summon_tangmazu_daemon",0,[2660]
66,"spirit_vessel_companion",0,[2661]
67,"azmerian_swarm",0,[2219]
68,"harbinger_of_madness_orb",0,[1684]
69,"verisium_comet",0,[2716]
70,"bitter_dead_core",0,[2717]
71,"kalguuran_manifestation",0,[2720]
72,"wardbound_minion",0,[2721]
