"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Icon","NextUpgradeOptions","i32_48","Tier","Radius","i32_64","SpendResourceAchievement","StatsKey","StatsKeys","StatsKeys2","bool_132"
0,"EmptyNode","Tower Foundation","Fondation de Tourelle","Turmfundament","タワーの基部","탑 토대","Fundação de Torre","Фундамент башни","Base de la torre","ฐานสร้างป้อม","防守塔基座","A powered base for one of Cassia's towers.","Un socle énergétique capable d'accueillir une Tourelle.","Ein mit Energie betriebenes Fundament für Cassias Türme.","カッシアのタワーを作成るためのベース","카시아의 탑 하나를 설치할 수 있는 동력 기반.","Base energizada para uma das torres de Cassia.","Запитанное основание под одну из башен Кассии.","Una base de energía para una de las torres de Cassia.","ฐานพลังงานสำหรับสร้างป้อมของแคสเซีย","卡西亞防守塔的動力基座","Art/2DArt/UIImages/InGame/Placeholder/temp_league_prototype_placeholder","[1,6,11,16,21,26]",1487001455,"",0,-1,"","",[],[],""
1,"ChillingTower1","Chilling Tower Mk I","Tourelle de Frigorification I","Unterkühlender Turm I","冷却タワー Mk I","냉각의 탑 Mk I","Torre Arrefecedora Mk I","Охлаждающая башня - Модель I","Torre escarchante Mk I","ป้อมหนาวเย็น รุ่นที่ 1","冰緩塔 I","Damage: Low\r\nChills and Damages nearby enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Dégâts : Bas\r\nInflige des Dégâts et Frigorifie les ennemis à proximité\r\n\r\nInefficace contre les Monstres infestés du même type","Schaden: Niedrig\r\nUnterkühlt und schädigt Gegner im Umkreis\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","ダメージ: 低\r\n周囲の敵を冷却しダメージを与える\r\n\r\n同じタイプのブライトモンスターに効果がない","피해: 낮음\r\n주변의 적 냉각 및 피해\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Dano: Baixo\r\nEsfria e causa dano aos inimigos próximos\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Урон: низкий\r\nОхлаждает и наносит урон ближайшим врагам\r\n\r\nНеэффективна против зараженных монстров такого же типа","Daño: bajo\r\nEscarcha y daña a los enemigos cercanos\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ความเสียหาย: ต่ำ\r\nสร้างความเสียหายและสร้างสถานะ หนาวเย็น ต่อศัตรูที่อยู่ใกล้\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","傷害：低\r\n冰緩和傷害附近敵人\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[2],-1090896293,"I",35,3,"",9705,"[9704,9706,9707,11370,16546]","[24,3417,196,11375,16545]",""
2,"ChillingTower2","Chilling Tower Mk II","Tourelle de Frigorification II","Unterkühlender Turm II","冷却タワー Mk II","냉각의 탑 Mk II","Torre Arrefecedora Mk II","Охлаждающая башня - Модель II","Torre escarchante Mk II","ป้อมหนาวเย็น รุ่นที่ 2","冰緩塔 II","Increased Damage\r\nIncreased effect of Chill\r\nAffects more Targets","Dégâts augmentés\r\nEffet de Frigorification augmenté\r\nAffecte plus de cibles","Erhöhter Schaden\r\nErhöhte Wirkung von Unterkühlen\r\nWirkt auf mehrere Ziele","ダメージ増加\r\n冷却効果増加\r\nより多くの敵を対象とする","피해 증가\r\n냉각 효과 증가\r\n대상 숫자 증가","Dano aumentado\r\nEfeito de esfriamento aumentado\r\nAfeta mais alvos","Увеличение урона\r\nУсиление эффекта охлаждения\r\nПоражает больше целей","Daño aumentado\r\nEfecto de escarchamiento aumentado\r\nAfecta a más objetivos","เพิ่มความเสียหาย\r\nเพิ่มผลของสถานะ หนาวเย็น\r\nเพิ่มจำนวนเป้าหมายที่ส่งผล อีก","增加傷害\r\n增加冰緩效果\r\n影響更多目標","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold",[3],1371628040,"II",35,3,"",9705,"[9704,9706,9707,11370,16546]","[24,3417,196,11375,16545]",""
3,"ChillingTower3","Chilling Tower Mk III","Tourelle de Frigorification III","Unterkühlender Turm III","冷却タワー Mk III","냉각의 탑 Mk III","Torre Arrefecedora Mk III","Охлаждающая башня - Модель III","Torre escarchante Mk III","ป้อมหนาวเย็น รุ่นที่ 3","冰緩塔 III","Increased Damage\r\nIncreased effect of Chill\r\nAffects more targets","Dégâts augmentés\r\nEffet de Frigorification augmenté\r\nAffecte plus de cibles","Erhöhter Schaden\r\nErhöhte Wirkung von Unterkühlen\r\nWirkt auf mehrere Ziele","ダメージ増加\r\n冷却効果増加\r\nより多くの敵を対象とする","피해 증가\r\n냉각 효과 증가\r\n대상 숫자 증가","Dano aumentado\r\nEfeito de esfriamento aumentado\r\nAfeta mais alvos","Увеличение урона\r\nУсиление эффекта охлаждения\r\nПоражает больше целей","Daño aumentado\r\nEfecto de escarchamiento aumentado\r\nAfecta a más objetivos","เพิ่มความเสียหาย\r\nเพิ่มผลของสถานะ หนาวเย็น\r\nเพิ่มจำนวนเป้าหมายที่ส่งผล อีก","增加傷害\r\n增加冰緩效果\r\n影響更多目標","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconCold","[4,5]",-48389433,"III",35,3,"",9705,"[9704,9706,9707,11370,16546]","[24,3417,196,11375,16545]",""
4,"FreezingTower","Freezebolt Tower","Tourelle de Sphère gelante","Eisgeschoss-Turm","フリーズボルトタワー","동결탄 탑","Torre de Seta Congelante","Башня морозного шара","Torre de descarga helada","ป้อมกระสุนแช่แข็ง","冰凍彈塔","Damage: Very High\r\nShoots a Piercing projectile which Freezes enemies\r\n\r\nIneffective against Blighted Monsters of the same type","Dégâts : Très élevés\r\nTire un Projectile transperçant qui Gèle les Ennemis\r\n\r\nInefficace contre les Monstres infestés du même type","Schaden: Sehr hoch\r\nSchießt ein durchbohrendes Projektil, das Gegner einfriert\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","ダメージ: 非常に高い\r\n敵を凍結させる貫通する投射物を放つ\r\n\r\n同じタイプのブライトモンスターに効果がない","피해: 매우 높음\r\n적을 동결시키는 관통 투사체 하나 발사\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Dano: Muito Alto\r\nDispara um projétil perfurante que congela inimigos\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Урон: очень высокий\r\nВыпускает пронзающий снаряд, замораживающий врагов\r\n\r\nНеэффективна против зараженных монстров такого же типа","Daño: muy alto\r\nDispara un proyectil perforante que congela a los enemigos\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ความเสียหาย: สูงมาก\r\nยิงกระสุนเจาะทะลุที่สร้างสถานะ แช่แข็ง ต่อศัตรูได้\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","傷害：非常高\r\n發射一個冰凍敵人的投射物\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconFreezing",[],-632665268,"IV",75,4,"",9709,"[9708,9710,9711,11360,11370,16546]","[24,9710,168,8137,11375,16545]",""
5,"IcePrisonTower","Glacial Cage Tower","Tourelle de Cage de glace","Eiskäfig-Turm","グレイシャルケージタワー","빙하 창살 탑","Torre de Jaula Glacial","Башня ледяной клетки","Torre de jaula glacial","ป้อมกรงเยือกแข็ง","寒冰牢籠塔","Deals no Damage\r\nImprisons Enemies\r\n\r\nIneffective against Blighted Monsters of the same type","N'inflige pas de Dégâts\r\nEmprisonne les Ennemis\r\n\r\nInefficace contre les Monstres infestés du même type","Verursacht keinen Schaden\r\nSperrt Gegner ein\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","ダメージを与えない\r\n敵を閉じ込める\r\n\r\n同じタイプのブライトモンスターに効果がない","피해 없음\r\n적 투옥\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Não causa dano\r\nAprisiona inimigos\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Не наносит урона\r\nОбездвиживает врагов\r\n\r\nНеэффективна против зараженных монстров такого же типа","No inflige daño\r\nAprisiona a los enemigos\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ไม่สร้างความเสียหาย\r\nกักขังศัตรู\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","不造成傷害\r\n禁錮敵人\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconIcePrison",[],1141601187,"IV",60,5,"",9713,"[9712,9714,9715,11361,11370,16546]","[212,9714,3224,424,11375,16545]",""
6,"ShockingTower1","Shock Nova Tower Mk I","Tourelle de Nova d'électricité I","Schocknova-Turm I","ショックノヴァタワー Mk I","충격 폭발 탑 Mk I","Torre de Nova Elétrica Mk I","Башня кольца молний - Модель I","Torre de nova de rayo Mk I","ป้อมสายฟ้ากระจาย รุ่นที่ 1","閃電新星塔 I","Damage: Low\r\nCreates Shocked Ground\r\nCasts Shock Nova\r\n\r\nIneffective against Blighted Monsters of the same type","Dégâts : Bas\r\nCrée du Sol électrocutant\r\nIncante Nova d'électricité\r\n\r\nInefficace contre les Monstres infestés du même type","Schaden: Niedrig\r\nErzeugt schockenden Boden\r\nZaubert Schocknova\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","ダメージ: 低\r\n感電領域を生成\r\nショックノヴァを放つ\r\n\r\n同じタイプのブライトモンスターに効果がない","피해 낮음\r\n감전 지대 생성\r\n충격 폭발 시전\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Dano: Baixo\r\nCria um chão eletrificado\r\nConjura Nova Elétrica\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Урон: низкий\r\nСоздает заряженную землю\r\nСотворяет Кольцо молний\r\n\r\nНеэффективна против зараженных монстров такого же типа","Daño: bajo\r\nCrea Suelo electrificado\r\nLanza Nova de rayo\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ความเสียหาย: ต่ำ\r\nสร้างพื้นช็อค\r\nร่าย สายฟ้ากระจาย\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","傷害：低\r\n製造感電地面\r\n製造感電新星\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[7],1459477666,"I",20,6,"",9695,"[9696,9716,9717,9718,9719,11370,16546]","[24,9716,3418,9787,2227,11375,16545]",1
7,"ShockingTower2","Shock Nova Tower Mk II","Tourelle de Nova d'électricité II","Schocknova-Turm II","ショックノヴァタワー Mk II","충격 폭발 탑 Mk II","Torre de Nova Elétrica Mk II","Башня кольца молний - Модель II","Torre de nova de rayo Mk II","ป้อมสายฟ้ากระจาย รุ่นที่ 2","閃電新星塔 II","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Dégâts augmentés\r\nChances d'Électrocuter augmentées\r\nZone d'effet augmentée","Erhöhter Schaden\r\nErhöhte Chance auf Schocken\r\nVergrößerter Wirkungsbereich","ダメージ増加\r\n感電確率増加\r\n効果範囲増加","피해 증가\r\n감전 확률 증가\r\n효과 범위 증가","Dano aumentado\r\nChance de eletrificar aumentada\r\nÁrea de efeito aumentada","Увеличение урона\r\nУвеличение шанса наложить шок\r\nУвеличение области действия","Daño aumentado\r\nProbabilidad de electrocutar aumentada\r\nÁrea de efecto aumentada","เพิ่มความเสียหาย\r\nเพิ่มโอกาสสร้างสถานะ ช็อค\r\nเพิ่มพื้นที่ส่งผล","增加傷害\r\n增加感電機率\r\n增加範圍效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning",[8],1368253867,"II",25,6,"",9695,"[9696,9716,9717,9718,9719,11370,16546]","[24,9716,3418,9787,2227,11375,16545]",1
8,"ShockingTower3","Shock Nova Tower Mk III","Tourelle de Nova d'électricité III","Schocknova-Turm III","ショックノヴァタワー Mk III","충격 폭발 탑 Mk III","Torre de Nova Elétrica Mk III","Башня кольца молний - Модель III","Torre de nova de rayo Mk III","ป้อมสายฟ้ากระจาย รุ่นที่ 3","閃電新星塔 III","Increased Damage\r\nIncreased chance to Shock\r\nIncreased Area of Effect","Dégâts augmentés\r\nChances d'Électrocuter augmentées\r\nZone d'effet augmentée","Erhöhter Schaden\r\nErhöhte Chance auf Schocken\r\nVergrößerter Wirkungsbereich","ダメージ増加\r\n感電確率増加\r\n効果範囲増加","피해 증가\r\n감전 확률 증가\r\n효과 범위 증가","Dano aumentado\r\nChance de eletrificar aumentada\r\nÁrea de efeito aumentada","Увеличение урона\r\nУвеличение шанса наложить шок\r\nУвеличение области действия","Daño aumentado\r\nProbabilidad de electrocutar aumentada\r\nÁrea de efecto aumentada","เพิ่มความเสียหาย\r\nเพิ่มโอกาสสร้างสถานะ ช็อค\r\nเพิ่มพื้นที่ส่งผล","增加傷害\r\n增加感電機率\r\n增加範圍效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightning","[9,10]",94056515,"III",30,6,"",9695,"[9696,9716,9717,9718,9719,11370,16546]","[24,9716,3418,9787,2227,11375,16545]",1
9,"LightningStormTower","Lightning Storm Tower","Tourelle de Tempête de foudre","Sturmgewitter-Turm","ライトニングストームタワー","번개 폭풍 탑","Torre de Tempestade Relampejante","Башня грозового шторма","Torre de tormenta eléctrica","ป้อมพายุสายฟ้า","雷霆風暴塔","Damage: High\r\nLightning rapidly strikes around the Tower\r\n\r\nIneffective against Blighted Monsters of the same type","Dégâts : Élevés\r\nDe la Foudre s'abat rapidement autour de cette Tourelle\r\n\r\nInefficace contre les Monstres infestés du même type","Schaden: Hoch\r\nLässt um den Turm herum schnell Blitze einschlagen\r\n\r\nIneffektiv gegen befallene Monster desselben Typs","ダメージ: 高\r\nタワーの周囲に多数の落雷を発生させる\r\n\r\n同じタイプのブライトモンスターに効果がない","피해: 높음\r\n탑 주변을 빠르게 타격하는 번개\r\n\r\n동일 유형의 역병 걸린 몬스터에 대해 효과 없음","Dano: Alto\r\nRelâmpagos atacam rapidamente ao redor da torre\r\n\r\nIneficaz contra monstros infestados do mesmo tipo","Урон: высокий\r\nВокруг башни часто бьет молния\r\n\r\nНеэффективна против зараженных монстров такого же типа","Daño: alto\r\nLos rayos golpean rápidamente alrededor de la torre\r\n\r\nIneficaz contra monstruos infestados del mismo tipo","ความเสียหาย: สูง\r\nสายฟ้าฟาดรอบป้อมอย่างต่อเนื่อง\r\n\r\nไม่มีประสิทธิภาพกับมอนสเตอร์ไบล์ทชนิดเดียวกัน","傷害：高\r\n閃電快速落在防守塔附近\r\n\r\n對同種類凋落怪物沒有效果","Art/2DArt/UIImages/InGame/Blight/Tower Icons/IconLightningStorm",[],1277124932,"IV",45,7,"",9721,"[9720,9780,9723,11362,11370,16546]","[24,9722,209,11362,11375,16545]",1
