"rownum","Id","Runes","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","RuneCountRequired","MinLevelReq","MaxLevelReq","Reward","RewardCount","rid_64","rid_80","string_96","string_104","bool_112","i32_113","bool_117","i32_118","QuestFlag","Category","RuneWeights","DisabledText"
0,"10SlotBait","[33,33,33,33,33,33,33,33,33,33]","Krillson's Bay Key","Clé de la Baie de Krillson","Schlüssel zu Krillsons Bucht","クリルソン湾の鍵","크릴슨의 만 열쇠","Chave da Baía de Krillson","Ключ к Бухте Криллсона","Llave de la Bahía de Krillson","กุญแจอ่าวคริลล์สัน","克里爾森的海灣鑰匙",10,1,100,"",1,"","","","",1,4829,"",0,"",0,[],""
1,"2SlotOrbofAugmentation1","[3,2]","","","","","","","","","","",2,1,100,24,1,"","","","",1,4829,"",0,"",0,"[0,126]",""
2,"2SlotOrbofTransmutation1","[3,1]","","","","","","","","","","",2,1,100,13,1,"","","","",1,4829,"",0,"",0,"[0,10,92,125]",""
3,"2SlotUncutSkillGem1","[4,0]","Uncut Skill Gem","Gemme d'aptitude brute","Ungeschnittene Fertigkeitengemme","スキルジェムの原石","미가공 스킬 젬","Gema de Habilidade Bruta","Неогранённый камень умения","Gema de habilidad sin tallar","หินสกิลหยาบ","未切割的寶石",2,1,100,"",1,"","","","",1,4829,"",0,"",2,"[1,5,44,83,107,127]",""
4,"2SlotUncutSupportGem1","[4,6]","Uncut Support Gem","Gemme de soutien brute","Ungeschnittene Unterstützungsgemme","サポートジェムの原石","미가공 보조 젬","Gema de Reforço Bruta","Неогранённый камень поддержки","Gema de asistencia sin tallar","หินเสริมหยาบ","未切割的輔助寶石",2,1,100,"",1,"","","","",1,4829,"",0,"",2,"[1,8,44,107]",""
5,"2SlotArtificersOrb1","[8,3]","","","","","","","","","","",2,1,100,35,1,"","","","",1,4829,"",0,"",0,"[7,9,64]",""
6,"2SlotExaltedOrb1","[7,11]","","","","","","","","","","",2,1,100,18,1,"","","","",1,4829,"",0,"",0,"[11,27,33,34,57,66,86,101,139,153]",""
7,"2SlotArmourersScrap2","[1,6]","","","","","","","","","","",2,1,100,6,2,"","","","",1,4829,"",0,"",0,"[3,8,111]",""
8,"2SlotArcanistsEtcher2","[2,8]","","","","","","","","","","",2,1,100,1,2,"","","","",1,4829,"",0,"",0,"[4,46,84,112]",""
9,"2SlotRegalOrb1","[7,18]","","","","","","","","","","",2,1,100,21,1,"","","","",1,4829,"",0,"",0,"[11,14,34,59,66,86,101,139,153]",""
10,"2SlotBlacksmithsWhetstone2","[0,6]","","","","","","","","","","",2,1,100,0,2,"","","","",1,4829,"",0,"",1,"[2,8,110]",""
11,"2SlotLesserVisionRune1","[15,10]","","","","","","","","","","",2,1,100,640,1,"","","","",1,4829,"",0,"",1,"[15,22]",""
12,"2SlotLesserGlacialRune1","[1,4]","","","","","","","","","","",2,1,100,632,1,"","","","",1,4829,"",0,"",1,"[3,6,111]",""
13,"2SlotLesserAdeptRune1","[1,3]","","","","","","","","","","",2,1,100,665,1,"","","","",1,4829,"",0,"",1,"[3,7,111]",""
14,"2SlotLesserIronRune1","[6,4]","","","","","","","","","","",2,1,100,634,1,"","","","",1,4829,"",0,"",1,"[6,12,51]",""
15,"2SlotLesserDesertRune1","[0,4]","","","","","","","","","","",2,1,100,631,1,"","","","",1,4829,"",0,"",1,"[2,6,110]",""
16,"2SlotLesserResolveRune1","[2,3]","","","","","","","","","","",2,1,100,669,1,"","","","",1,4829,"",0,"",1,"[4,7,112]",""
17,"2SlotLesserRebirthRune1","[15,18]","","","","","","","","","","",2,1,100,637,1,"","","","",1,4829,"",0,"",1,"[14,22,59]",""
18,"2SlotLesserStormRune1","[2,4]","","","","","","","","","","",2,1,100,633,1,"","","","",1,4829,"",0,"",1,"[4,6,112]",""
19,"2SlotLesserInspirationRune1","[15,1]","","","","","","","","","","",2,1,100,638,1,"","","","",1,4829,"",0,"",1,"[10,22,92,125]",""
20,"2SlotLesserRobustRune1","[0,3]","","","","","","","","","","",2,1,100,661,1,"","","","",1,4829,"",0,"",1,"[2,7,110]",""
