"rownum","WorldAreasKey","NPCAudio","[i32]_32","i32_48"
0,232,"[22486,22517]","[2,1]",3500
1,233,"[22517,22499,22596]","[1,2,2]",3500
2,234,"[22517,22596]","[1,2]",3500
3,235,"[22517,22499,22611]","[1,1,2]",3500
4,236,"[22517,22596]","[1,2]",3500
5,237,"[22517,22499,22550]","[1,2,2]",3500
6,238,"[22517,22622]","[1,2]",3500
7,239,"[22517,22596]","[1,2]",3500
8,240,"[22517,22550,22486]","[1,2,2]",3500
9,241,"[22517,22486]","[1,2]",3500
10,242,"[22517,22575]","[1,2]",3500
11,289,[22517],[1],3500
12,243,"[22517,22499]","[1,2]",3500
13,244,"[22517,22622]","[1,2]",3500
14,245,"[22517,22486]","[1,2]",3500
15,246,"[22517,22596]","[1,2]",3500
16,247,"[22517,22499,22596]","[1,2,2]",3500
17,248,"[22517,22611]","[1,2]",3500
18,249,[22517],"[1,2]",3500
19,250,"[22517,22596]","[1,2]",3500
20,251,"[22517,22499]","[1,2]",3500
21,252,"[22517,22486]","[1,2]",3500
22,253,"[22517,22563,22486]","[1,2,2]",3500
23,254,"[22517,22563]",[1],3500
24,255,"[22517,22575]","[1,2]",3500
25,256,"[22517,22575]","[1,2]",3500
26,257,"[22517,22499]","[1,2]",3500
27,258,"[22517,22499]","[1,2]",3500
28,259,"[22517,22611]","[1,2]",3500
29,260,"[22517,22499]","[1,2]",3500
30,261,[22517],[1],3500
31,262,[22517],[1],3500
32,263,"[22517,22486]","[1,2]",3500
33,264,[22517],[1],3500
34,265,"[22517,22596]","[1,2]",3500
35,266,"[22517,22575]","[1,2]",3500
36,267,"[22517,22476]","[1,2]",3500
37,268,[22517],[1],3500
38,290,[22517],[1],3500
39,269,[22517],[1],3500
40,270,[22517],[1],3500
41,271,[22517],[1],3500
42,272,[22517],[1],3500
43,273,[22517],[1],3500
44,274,"[22517,22575]","[1,2]",3500
45,275,"[22517,22596]","[1,2]",3500
46,276,[22517],[1],3500
47,277,"[22517,22486]","[1,2]",3500
48,278,"[22517,22486]","[1,2]",3500
49,291,"[22517,22563]","[1,2]",3500
50,279,"[22517,22476]","[1,2]",3500
51,280,"[22517,22486]","[1,2]",3000
52,281,"[22517,22611]","[1,2]",3000
53,282,"[22517,22611]","[1,2]",3000
54,292,"[22517,22486]","[1,2]",3000
55,293,"[22517,22550]","[1,2]",3000
56,294,"[22517,22563]","[1,2]",3000
57,295,"[22517,22550]","[1,2]",3000
58,296,[22517],[1],3000
59,297,"[22517,22499,22563]","[1,2,2]",3000
60,298,"[22517,22499]","[1,2]",3000
61,299,"[22517,22575]","[1,2]",3000
62,300,[22517],[1],3000
63,301,[22517],[1],3000
64,302,[22517],[1],3000
65,303,"[22517,22622]","[1,2]",3000
66,304,[22517],[1],3000
67,305,"[22517,22622,22596]","[1,2,2]",3000
68,306,"[22517,22622,22499]","[1,2,2]",3000
69,307,"[22517,22622]","[1,2]",3000
70,308,[22517],"[1,2]",3000
71,309,"[22517,22486]","[1,2]",3000
72,310,"[22517,22486]","[1,2]",3000
73,311,"[22517,22486]","[1,2]",3000
74,312,"[22517,22499,22596]","[1,2,2]",3000
75,313,"[22517,22563]","[1,2]",3000
76,314,"[22517,22486]","[1,2]",3000
77,315,"[22517,22622]","[1,2]",3000
78,316,"[22517,22622]","[1,2]",3000
79,317,"[22517,22622]","[1,2]",3000
80,318,"[22517,22622,22550,22499,22563]","[1,2,2,2,2]",3000
81,319,"[22517,22622]","[1,2]",3000
82,320,"[22517,22575]","[1,2]",3000
83,326,[22517],[1],3000
84,337,[22517],[1],3000
85,327,[22517],[1],3000
