"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotSize","SlotStyle","MiniIcon"
0,"Metadata/Items/MapFragments/CurrencyRitualBossFragment",890,280,40,0,1,1,1,78,2,""
1,"Metadata/Items/Currency/OmenOnRegalPrefix",4414,10,90,1,1,1,"",60,0,""
2,"Metadata/Items/Currency/OmenOnRegalSuffix",4415,10,170,2,1,1,"",60,0,""
3,"Metadata/Items/Currency/OmenOnVaalRemoveDoNothingOutcome",4416,10,410,3,1,1,"",60,0,""
4,"Metadata/Items/Currency/OmenOnAlchemyMaximumPrefixes",4412,10,250,4,1,1,"",60,0,""
5,"Metadata/Items/Currency/OmenOnAlchemyMaximumSuffixes",4413,10,330,5,1,1,"",60,0,""
6,"Metadata/Items/Currency/OmenOnExaltAddPrefixes",4418,139,320,6,1,1,1,78,0,"Art/2DArt/UIImages/InGame/MTX/RitualStash/RitualStashIconExalted"
7,"Metadata/Items/Currency/OmenOnExaltAddSuffixes",4419,229,320,7,1,1,1,78,0,""
8,"Metadata/Items/Currency/OmenOnExaltAddTwoMods",4417,319,320,8,1,1,1,78,0,""
9,"Metadata/Items/Currency/OmenOnAnnulRemovePrefixes",4421,164,540,9,1,1,1,78,0,"Art/2DArt/UIImages/InGame/MTX/RitualStash/RitualStashIconAnnulment"
10,"Metadata/Items/Currency/OmenOnAnnulRemoveSuffixes",4422,254,540,10,1,1,1,78,0,""
11,"Metadata/Items/Currency/OmenOnAnnulRemoveTwoMods",4420,10,490,11,1,1,"",60,0,""
12,"Metadata/Items/Currency/OmenOnChaosPrefix",4410,449,320,12,1,1,1,78,0,"Art/2DArt/UIImages/InGame/MTX/RitualStash/RitualStashIconChaos"
13,"Metadata/Items/Currency/OmenOnChaosSuffix",4411,539,320,13,1,1,1,78,0,""
14,"Metadata/Items/Currency/OmenOnChaosLowestLevelMod",4409,629,320,14,1,1,1,78,0,""
15,"Metadata/Items/Currency/OmenOnLowLifeFullyHeal",4407,139,820,15,1,1,1,78,0,""
16,"Metadata/Items/Currency/OmenOnDeathPreventExpLoss",4408,229,820,16,1,1,1,78,0,""
17,"Metadata/Items/Currency/OmenOnLowLifeRecoverCharges",4406,319,820,17,1,1,1,78,0,""
18,"Metadata/Items/Currency/OmenTormentedMonsterReleased",4425,449,820,18,1,1,1,78,0,""
19,"Metadata/Items/Currency/OmenShrineAdditionalEffect",4423,539,820,19,1,1,1,78,0,""
20,"Metadata/Items/Currency/OmenStrongboxOpenableAgain",4424,629,820,20,1,1,1,78,0,""
21,"Metadata/Items/Currency/OmenRogueExileSummonsPartyMember",4426,719,820,21,1,1,1,78,0,""
22,"Metadata/Items/Currency/CurrencyRitualShard",194,429,40,22,1,1,1,78,3,""
23,"Metadata/Items/Currency/OmenOnExaltAddExistingModType",4427,184,410,23,1,1,1,78,0,""
24,"Metadata/Items/Currency/OmenOnRegalAddExistingModType",4428,279,190,24,1,1,1,78,0,"Art/2DArt/UIImages/InGame/MTX/RitualStash/RitualStashIconRegal"
25,"Metadata/Items/Currency/OmenGambleNoGoldCost",4429,495,190,25,1,1,1,78,0,"Art/2DArt/UIImages/InGame/MTX/RitualStash/RitualStashIconGold"
26,"Metadata/Items/Currency/OmenSellVendorRandomise",4430,585,190,26,1,1,1,78,0,""
27,"Metadata/Items/Currency/OmenOnDivineRerollImplicits",4432,604,540,28,1,1,1,78,0,"Art/2DArt/UIImages/InGame/MTX/RitualStash/RitualStashIconDivine"
28,"Metadata/Items/Currency/OmenOnDivineSanctify",4439,694,540,29,1,1,1,78,0,""
29,"Metadata/Items/Currency/OmenOnChanceNotDestroy",4437,384,540,30,1,1,1,78,0,"Art/2DArt/UIImages/InGame/MTX/RitualStash/RitualStashIconChance"
30,"Metadata/Items/Currency/OmenOnChanceAncientOrb",4438,474,540,31,1,1,1,78,0,""
31,"Metadata/Items/Currency/OmenOnChaosMapItemRarity",4433,449,410,32,1,1,1,78,0,""
32,"Metadata/Items/Currency/OmenOnChaosMapPackSize",4434,539,410,33,1,1,1,78,0,""
33,"Metadata/Items/Currency/OmenOnChaosMapMonsterRarity",4435,629,410,34,1,1,1,78,0,""
34,"Metadata/Items/Currency/OmenOnPerfectEssenceSuffix",4440,164,670,35,1,1,1,78,0,"Art/2DArt/UIImages/InGame/MTX/RitualStash/RitualStashIconEssence"
35,"Metadata/Items/Currency/OmenOnPerfectEssencePrefix",4441,254,670,36,1,1,1,78,0,""
36,"Metadata/Items/Currency/OmenOnExaltConsumeQuality",4442,274,410,37,1,1,1,78,0,""
37,"Metadata/Items/Currency/Ritual/RitualPinnacleKey",478,390,40,38,2,1,1,78,3,""
38,"Metadata/Items/Pinnacle/RitualPinnacleEffigyPiece",4247,578,40,40,1,1,1,78,3,""
39,"Metadata/Items/Currency/OmenOnChaosMapMonsterEffectiveness",4436,719,410,41,1,1,1,78,0,""
