"rownum","Id","u16_8","bool_10","bool_11","bool_12","bool_13"
0,"GroundSlam",19521,1,"","",""
1,"DistanceScaledGroundSlam",9104,1,"","",""
2,"TableCharge",11769,1,"","",""
3,"ShieldCharge",59695,1,"","",""
4,"EnduringCry",49952,1,"","",""
5,"InspiringCry",29102,1,"","",""
6,"AbyssalCry",13569,1,"","",""
7,"LeapSlam",38777,1,"","",""
8,"DoubleStrike",61472,1,"","",""
9,"DualStrike",64725,1,"","",""
10,"BladeFlurry",33115,1,"","",""
11,"Frenzy",18947,1,"","",""
12,"CausticArrow",33399,1,"","",""
13,"VaalCausticArrow",55064,1,"","",""
14,"Backstab",50533,1,"",1,""
15,"DetonateDead",34927,1,"",1,""
16,"DetonateDeadNew",38390,1,"",1,""
17,"FlickerStrike",25426,1,"","",""
18,"BloodRage",15032,1,"","",""
19,"SplitArrow",13732,1,"","",""
20,"NewColdSnap",15561,1,"","",""
21,"IceNova",10056,1,"","",""
22,"Fireball",43598,1,"","",""
23,"Arc",45360,1,"","",""
24,"RaiseZombie",60579,1,"","",""
25,"RighteousFire",30644,1,"","",""
26,"VaalRighteousFireDuration",11288,1,"","",""
27,"RevivePlayer",35553,1,1,"",""
28,"Melee",45448,1,"","",""
29,"MonsterProjectileWeapon",54337,1,"","",""
30,"CobraLash",602,1,"","",""
31,"BloodChieftainSummonMonkeys",16230,1,"",1,""
32,"SkeletonProjectileFire",10926,1,"",1,""
33,"SkeletonProjectileCold",55279,1,"",1,""
34,"SkeletonProjectileLightning",23207,1,"",1,""
35,"Spark",30809,1,"","",""
36,"IceSpear",20192,1,"","",""
37,"RaiseSpectre",58392,1,"","",""
38,"InfernalBlowNew",53878,1,"","",""
39,"GlacialHammer",51712,1,"","",""
40,"FrostWall",9184,1,"","",""
41,"FrostWallNew",42946,1,"","",""
42,"FreezingPulse",18723,1,"","",""
43,"ShockNova",50531,1,"","",""
44,"GenericMelee",42418,1,"","",""
45,"FuseArrow",41011,1,"","",""
46,"TemporalChains",51138,1,"","",""
47,"ElementalWeakness",54405,1,"","",""
48,"Enfeeble",1273,1,"","",""
49,"Vulnerability",20357,1,"","",""
50,"IncaMinionProjectile",5983,1,"",1,""
51,"LightningWarpPreemptive",15512,1,"","",""
52,"LightningWarp",24442,1,"","",""
53,"RaiseSkeleton",46427,1,"","",""
54,"HeavyStrike",53955,1,"","",""
55,"RainOfArrows",62475,1,"","",""
56,"ExpandingRainOfArrows",35600,1,"","",""
57,"FireStorm",50283,1,"","",""
58,"FirestormPlayer",6188,1,"","",""
59,"LightningStrike",1829,1,"","",""
60,"LightningShield",24353,1,"","",""
61,"FireShield",51514,1,"","",""
62,"Puncture",42490,1,"","",""
63,"LightningArrow",19630,1,"","",""
64,"VaalLightningArrow",42937,1,"","",""
65,"CastAuraSpeed",49594,1,"",1,""
66,"CastAuraElementalResistances",44706,1,"",1,""
67,"CastAuraLifeRegen",52162,1,"",1,""
68,"CastAuraEnergyShield",31825,1,"",1,""
69,"CastAuraAccuracyAndCrit",2345,1,"",1,""
70,"CastAuraEvasion",35995,1,"",1,""
71,"CastAuraArmour",35562,1,"",1,""
72,"CastAuraFireDamage",35264,1,"",1,""
73,"CastAuraColdDamage",33842,1,"",1,""
74,"CastAuraLightningDamage",33224,1,"",1,""
75,"BurningArrow",1045,1,"","",""
76,"CastAuraManaRegen",7270,1,"",1,""
77,"TrapGroundFire",8658,1,"","",""
78,"TotemTaunt",1915,1,"","",""
79,"ReviveSkeleton",41308,1,"","",""
80,"SuicideExplosion",44554,1,"","",""
81,"SuicideExplosionSelf",40563,1,"","",""
82,"ShadowProjectiles",58859,1,"","",""
83,"IceShot",24146,1,"","",""
84,"VaalIceShot",48504,1,"","",""
85,"ArcticBreath",58521,1,"","",""
86,"FireWeakness",16554,1,"","",""
87,"ColdWeakness",5864,1,"","",""
88,"LightningWeakness",5244,1,"","",""
89,"BallLightning",37543,1,"","",""
90,"VaalCyclone",48142,1,"","",""
91,"CycloneChannelled",14124,1,"","",""
92,"BirdmanConsumeCorpse",18730,1,"","",""
93,"RootSpiderBurrow",45539,1,"",1,""
94,"RootSpiderEmerge",26214,1,"",1,""
95,"Hide",62753,1,"","",""
96,"DelayedBlast",31809,1,"","",""
97,"SmokeMine",4026,1,"","",""
98,"ProximityShield",26988,1,"","",""
99,"ThrownWeaponProjectile",53115,1,"","",""
100,"VaalThrownWeapon",35985,1,"","",""
101,"CastAuraFireResistance",20066,1,"",1,""
102,"CastAuraColdResistance",25003,1,"",1,""
103,"CastAuraLightningResistance",30499,1,"",1,""
104,"CastAuraChaosResistance",58550,1,"",1,""
105,"StormCall",27627,1,"","",""
106,"AttachedStormCall",48518,1,"","",""
107,"VaalStormCall",62531,1,"","",""
108,"ChargedBlast",8367,1,"","",""
109,"FlameblastChannelled",41248,1,"","",""
110,"RepeatingVaalChargedBlast",65299,1,"","",""
111,"VaalChargedBlast",34564,1,"","",""
112,"Barrage",8497,1,"","",""
113,"SummonElemental",3552,1,"",1,""
114,"FlameWhip",50246,1,"","",""
115,"Desecrate",22369,1,"","",""
116,"Upheaval",47442,1,"","",""
117,"AtziriFlameblast",37517,1,"","",""
118,"AtziriFlameblastEmpowered",52007,1,"","",""
119,"SummonMonsters",59434,1,"","",""
120,"SummonStandaloneMapBoss",47560,1,"",1,""
121,"MoltenStrike",43457,1,"","",""
122,"TornadoShotNew",18958,1,"","",""
123,"BrutusGroundSlam",60807,1,"","",""
124,"MonsterProjectileSpell",33319,1,"","",""
125,"Heal",5214,1,"",1,""
126,"HeraldOfAsh",31276,1,"","",""
127,"HeraldOfIce",7197,1,"","",""
128,"HeraldOfThunder",26016,1,"","",""
129,"HeraldOfLight",38691,1,"","",""
130,"Consecrate",54103,1,"","",""
131,"SummonSpecificMonsters",50489,1,"",1,""
132,"SummonSpecificMonstersCannotDie",21826,1,"",1,""
133,"BatScreech",54983,1,"","",""
134,"VollCharge",36986,1,"","",""
135,"VollSlam",31026,1,"","",""
136,"WaterVortex",19629,1,"","",""
137,"MonsterDodge",35715,1,"","",1
138,"MonsterMortar",35572,1,"","",""
139,"MonsterMortarAttack",5429,1,"","",""
140,"ClusterBurst",19862,1,"","",""
141,"SummonChaosElemental",10207,1,"","",""
142,"SummonIceElemental",37251,1,"","",""
143,"SummonFireElemental",34338,1,"","",""
144,"IceCrash_",21465,1,"","",""
145,"DeathExplode",30653,1,"","",""
146,"MinerExcavateElemental",17793,1,"",1,""
147,"Wait",30862,1,"",1,1
148,"NewShockNova",13964,1,"","",""
149,"FlameDash",23757,1,"","",""
150,"PietyCorruptedLightningBeam",13863,1,"","",""
151,"Fortify",41025,1,"","",""
152,"IceStrike",49390,1,"","",""
153,"FireMortar",60164,1,"","",""
154,"NewPunishment",59575,1,"","",""
155,"VaalArcticArmour",58122,1,"","",""
156,"ElementalStrike",44576,1,"","",""
157,"InvisibleFire",29692,1,"","",""
158,"MortarWithGroundEffects",53349,1,"","",""
159,"RainOfBlades",19291,1,"","",""
160,"FrostBomb",24119,1,"","",""
161,"UniqueAnimateWeapon",18636,1,"",1,""
162,"StormCloud",10585,1,"","",""
163,"LbRetractableTrap",43594,1,"","",""
164,"SummonRockGolem",5195,1,"","",""
165,"WhirlingLeap",36416,1,"","",""
166,"QuakeSlam",20811,1,"","",""
167,"Contagion",11273,1,"","",""
168,"Wither",930,1,"","",""
169,"WitherChannelled",34931,1,"","",""
170,"Siphon",57760,1,"","",""
171,"ReviveAfterDuration",8994,1,"","",""
172,"SummonSpecificMonstersFromMortars",64242,1,"","",""
173,"SummonSpecificMonstersInFront",31949,1,"",1,""
174,"RigwaldWolfBarrage",32278,1,"","",""
175,"ShockwaveSlam",29540,1,"","",""
176,"NewSunder",24541,1,"","",""
177,"RangeFinder",2067,1,"","",1
178,"CastGroundEffect",19462,1,"","",""
179,"FrostBolt",24210,1,"","",""
180,"FrostBoltNova",38141,1,"","",""
181,"FaceLastTarget",7028,1,1,1,1
182,"SummonLightningElemental",20547,1,"","",""
183,"IzaroWarp",1084,1,"","",""
184,"DoubleSlash",728,1,"","",""
