"rownum","rid_0","string_16","[rid]_24"
0,0,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
1,1,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
2,2,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
3,3,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
4,4,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
5,5,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
6,6,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
7,7,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
8,8,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
9,9,"爀爀愀椀渀⼀䜀愀氀氀漀眀猀⼀䰀攀愀最甀攀猀⼀匀琀爀漀渀最䈀漀砀攀猀⼀䌀甀氀琀甀爀攀䈀漀砀攀猀⼀䬀愀爀甀椀⼀䬀愀爀甀椀䰀愀爀最攀匀琀爀漀渀最戀漀砀　㄀⸀愀漀",[]
