"rownum","Id","i32_4","i32_8","DamageEffectPC","DamageEffectConsole"
0,1,5,0,[0],[]
1,2,5,0,[1],[]
2,3,5,0,[2],[]
3,4,5,0,[3],[]
4,5,5,0,[4],[]
5,6,5,0,[5],[]
6,7,5,0,[6],[]
7,8,5,0,[7],[]
8,9,5,0,[8],[]
9,10,5,0,[9],[]
10,11,5,0,[10],[]
11,12,5,0,[11],[]
12,13,5,0,[12],[]
13,14,5,0,[13],[]
14,15,5,0,[14],[]
15,16,5,0,[15],[]
16,17,5,0,[16],[]
17,18,5,0,[17],[]
18,19,5,0,[18],[]
19,20,5,0,[19],[]
20,21,5,0,[20],[]
21,22,5,0,[21],[22]
22,23,5,0,[23],[]
23,24,5,0,[24],[]
24,25,5,0,[25],[]
25,26,2,0,[26],[]
26,27,3,0,[27],[]
27,28,5,0,[28],[]
28,29,5,0,[29],[]
29,30,5,0,[30],[]
30,31,5,0,[31],[]
31,32,5,0,[32],[]
32,33,4,0,[33],[]
33,34,5,0,[34],[]
34,35,0,0,[35],[]
35,36,2,0,[36],[]
36,37,1,0,[37],[]
37,38,4,0,[38],[]
38,39,5,0,[39],[]
39,40,5,0,[40],[]
40,41,5,0,[41],[]
41,42,5,0,[42],[]
42,43,5,0,[43],[]
43,44,5,0,[44],[]
44,45,5,0,[46],[]
45,46,5,0,[47],[]
46,47,5,0,[48],[]
47,48,5,0,[49],[]
48,49,5,0,[50],[]
49,50,5,0,[51],[]
50,51,5,0,[52],[]
51,52,5,0,[53],[]
52,53,5,0,[54],[]
53,54,5,0,[55],[]
54,55,5,0,[56],[]
55,56,5,0,[57],[]
56,57,5,0,[58],[]
57,58,5,0,[59],[]
58,59,5,0,[60],[]
59,60,5,0,[61],[]
60,61,5,0,[62],[]
61,62,5,0,[63],[]
62,63,5,0,[64],[]
63,64,5,0,[65],[]
64,65,5,0,[66],[]
65,66,5,0,[67],[]
66,67,5,0,[68],[]
67,68,5,0,[69],[]
68,69,5,0,[70],[]
69,70,5,0,"[71,72]",[]
70,71,5,0,[73],[]
71,72,5,0,[74],[]
72,73,5,0,[75],[]
73,74,5,0,[194],[]
74,75,3,0,[76],[]
75,76,2,0,[77],[]
76,77,1,0,[78],[]
77,78,4,0,[79],[]
78,79,5,0,[80],[]
79,80,5,0,[81],[]
80,81,5,0,[82],[]
81,82,5,0,[197],[]
82,83,5,0,"[83,84]",[]
83,84,5,0,[246],[]
84,1000,5,0,[86],[]
85,1001,5,0,[87],[]
86,1002,5,0,[88],[]
87,1003,5,2,[89],[]
88,1004,5,0,[45],[]
89,0,5,3,[90],[]
90,1005,5,0,[198],[]
91,1006,5,0,[199],[]
92,1007,5,0,[200],[]
93,1008,5,0,[201],[]
94,1009,5,0,[202],[]
95,1010,5,0,[203],[]
96,1011,5,0,[204],[]
97,1012,5,0,[208],[]
98,1013,5,0,[96],[]
99,1014,3,0,[233],[]
100,1015,3,0,[234],[]
101,1016,3,0,[235],[]
102,1017,5,0,[239],[]
103,102,5,0,[240],[]
104,103,5,0,[249],[]
105,104,5,0,[250],[]
106,1018,2,0,[253],[]
107,1019,5,0,[255],[]
108,108,5,0,[257],[]
109,109,5,0,[258],[]
110,110,3,0,[259],[]
111,111,5,0,[260],[]
112,112,5,0,[261],[]
113,113,5,0,[262],[]
114,114,5,0,[264],[]
115,115,5,0,[267],[]
116,116,5,0,[271],[]
117,117,5,0,[276],[]
118,118,5,0,[277],[]
119,119,5,0,[278],[]
120,120,5,0,[279],[]
121,121,5,0,[280],[]
122,122,5,0,[281],[]
123,123,5,0,[282],[]
124,1020,1,0,[287],[]
