"rownum","WorldArea","MonsterPacks","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","i32_40","[i32]_44","MapPin","Decorations","MapContentSet","CorruptedPin","i32_124","i32_128","MapPinCompleted","ObjectiveDescription","SpecialMapText","SpecialMapText (French)","SpecialMapText (German)","SpecialMapText (Japanese)","SpecialMapText (Korean)","SpecialMapText (Portuguese)","SpecialMapText (Russian)","SpecialMapText (Spanish)","SpecialMapText (Thai)","SpecialMapText (Traditional Chinese)","SpecialMapFlavourText","SpecialMapFlavourText (French)","SpecialMapFlavourText (German)","SpecialMapFlavourText (Japanese)","SpecialMapFlavourText (Korean)","SpecialMapFlavourText (Portuguese)","SpecialMapFlavourText (Russian)","SpecialMapFlavourText (Spanish)","SpecialMapFlavourText (Thai)","SpecialMapFlavourText (Traditional Chinese)","SpecialMapHelpText","SpecialMapHelpText (French)","SpecialMapHelpText (German)","SpecialMapHelpText (Japanese)","SpecialMapHelpText (Korean)","SpecialMapHelpText (Portuguese)","SpecialMapHelpText (Russian)","SpecialMapHelpText (Spanish)","SpecialMapHelpText (Thai)","SpecialMapHelpText (Traditional Chinese)","i32_188","i32_192","f32_196","f32_200","f32_204","bool_208","bool_209","MapContent","bool_226","string_227","string_227 (French)","string_227 (German)","string_227 (Japanese)","string_227 (Korean)","string_227 (Portuguese)","string_227 (Russian)","string_227 (Spanish)","string_227 (Thai)","string_227 (Traditional Chinese)","f32_235"
0,422,[],"The last light at the end of the world.","La dernière lueur au bout du monde.","Das letzte Licht am Ende der Welt.","世界の果ての最後の明かり。","세상의 종말을 비추는 마지막 빛줄기.","A última luz no fim do mundo.","Последний свет на краю мира.","La última luz al final del mundo.","แสงสุดท้ายในวันสิ้นโลก","末世之中的最後一道燈火。",0,[0],2,"","",2,2,4833,2,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,90,0,110,120,"","",[],"","","","","","","","","","","",0
1,234,[702],"Bright colours hide the rot beneath.","Des couleurs chatoyantes cachent la pourriture sous-jacente.","Leuchtende Farben verbergen die Fäulnis darunter.","鮮やかな色がその下の腐敗を隠している。","선명한 색이 아래의 부패를 감추고 있습니다.","Cores brilhantes escondem a podridão subterrânea.","Яркие цвета скрывают гниль.","Los colores brillantes ocultan la podredumbre que se esconde debajo.","สีสันสดใส\r\nซ่อนความเน่าเปื่อยไว้เบื้องล่าง","明亮的色彩掩蓋住底下的腐敗。",0,[0],0,4,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
2,237,[583],"Wild lands spurn those who claim to rule them.","Les terres sauvages rejettent tous ceux qui affirment les contrôler.","Ein wildes Land verschmäht diejenigen, die den Anspruch erheben, es zu beherrschen.","野生の地がそれを支配しようとする者たちを拒む。","대자연 그대로의 땅은 자신을 지배한다 주장하는 이들을 물리칩니다.","Terras selvagens desprezam aqueles que dizem governá-las.","Дикие земли отвергают тех, кто претендует на власть над ними.","Las tierras salvajes desprecian a aquellos que afirman gobernarlas.","แดนเถื่อนขับไล่\r\nผู้ที่ตั้งตนเป็นใหญ่","狂野的大地唾棄那些揚言要統治它們的人。",0,[0],0,5,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
3,238,[712],"Time overwhelms even the sturdiest walls.","Le temps a raison des murs les plus solides.","Die Zeit überwältigt selbst die stärksten Mauern.","時はどんなに頑丈な壁をも圧倒する。","시간은 아무리 튼튼한 벽도 무너뜨리고 맙니다.","O tempo destrói até as paredes mais resistentes.","Время разрушает даже самые прочные стены.","El tiempo vence hasta a los muros más resistentes.","กาลเวลาทำลายสิ้น\r\nกระทั่งกำแพงที่แน่นหนา","即使是最堅實的牆壁也經不住時間的摧殘。",0,[0],0,6,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
4,239,[609],"Restless prisoners yearn for freedom.","Des prisonniers agités en quête de liberté.","Rastlose Gefangene sehnen sich nach Freiheit.","蠢く囚人たちが自由を願う。","쉬지 못하는 포로들이 자유를 갈망합니다.","Prisioneiros inquietos anseiam por liberdade.","Беспокойные заключенные жаждут свободы.","Los prisioneros inquietos ansían la libertad.","นักโทษลืมตาย\r\nใฝ่หาอิสรภาพ","躁動不安的囚犯渴望自由。",0,[0],0,7,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
5,286,[662],"The grandest of monuments, standing proudly before an audience of none.","Le plus grand des monuments, se dressant fièrement devant un public inexistant.","Das großartigste aller Denkmäler, das stolz vor einem Publikum von niemandem steht.","壮大な像がいない観衆の前に堂々と立つ。","웅장한 기념비들이 아무도 보지 못하는 곳에 당당하게 서 있습니다.","Os monumentos mais grandiosos, orgulhosamente prostrados diante de uma plateia vazia.","Величайший из памятников, гордо высящийся перед никем.","El más grandioso de los monumentos se yergue con orgullo ante una audiencia de cero.","อนุสรณ์สถานอันใหญ่ยิ่ง\r\nตั้งตระหง่านอย่างภาคภูมิโดยไม่มีผู้ใดได้พบเจอ","最宏偉的紀念碑，驕傲地矗立在沒有任何觀眾的舞台。",0,[0],1,"",0,4,6,4833,5,124,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,65,200,"","",[],"","","","","","","","","","","",0
6,241,[556],"A haven for seabirds. A hazard for sailors.","Un refuge pour les oiseaux de mer. Un danger pour les marins.","Ein Paradies für Seevögel. Eine Gefahr für Seeleute.","海鳥の楽園。船乗りの危険。","바닷새에게는 낙원이고, 선원에게는 험한 곳입니다.","Refúgio para aves marinhas. Perigo para marinheiros.","Рай для морских птиц. Опасность для моряков.","Un paraíso para las aves marinas. Un peligro para los marineros.","ที่พักของนกทะเล\r\nที่ตายของกะลาสี","海鳥的天堂。水手的地獄。",0,[0],0,8,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
7,242,[621],"No living hands ever stoked these flames.","Aucune main vivante n'a jamais alimenté ces flammes.","Keine lebende Hand schürte jemals diese Flammen.","生きた手がこの火を掻き立てたことはない。","살아 있는 자의 손은 이 불길을 지핀 적이 없습니다.","Nenhuma mão viva jamais atiçou essas chamas.","Ни одна живая душа не раздувала это пламя.","Ninguna mano viva ha avivado jamás estas llamas.","ไม่มีมือของผู้ที่มีชีวิตคนใด\r\nได้สัมผัสเพลิงนี้มาก่อน","從來沒有活人燃燒過這些火焰。",0,[0],0,9,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
8,243,[694],"Beasts of many kinds sought shelter one final time.","Des bêtes de toutes sortes ont cherché à s'abriter pour la dernière fois.","Ein letztes Mal suchten Bestien aller Art Schutz.","様々な獣が最後に一度、避難所を求めた。","온갖 야수가 마지막 순간에 피난처를 찾았습니다.","Feras de muitos tipos buscaram abrigo uma última vez.","Множество животных искали убежища в последний раз.","Muchos tipos de bestias buscaron refugio una última vez.","สัตว์ร้ายหลายประเภท\r\nหาที่หลบภัยเป็นครั้งสุดท้าย","眾多野獸最後一次尋找避難所。",0,[0],0,10,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
9,244,[578],"These waters devour the same souls they feed.","Ces eaux dévorent les âmes mêmes de ceux qu'elles nourrissent.","Diese Gewässer verschlingen dieselben Seelen, die sie ernähren.","この水はそれを糧としている者たちを喰っている。","이 물은 그로부터 자양분을 얻는 영혼들을 삼켜 버립니다.","Essas águas devoram as mesmas almas que alimentam.","Эти воды пожирают те же души, которые питают.","Estas aguas devoran a las mismas almas que alimentan.","หนองน้ำนี้กลืนกินวิญญาณ\r\nที่มันเคยหล่อเลี้ยง","這些水吞沒了它們所滋養的同一批靈魂。",0,[0],0,11,0,3,0,4833,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",4833,40,0,40,40,"","",[],"","","","","","","","","","","",0
