"rownum","Id","EssenceType","IsCorruptedEssence","WordsKey"
0,"Hatred",1,"",3005
1,"Woe",1,"",3006
2,"Greed",1,"",3007
3,"Contempt",1,"",3008
4,"Sorrow",2,"",3009
5,"Anger",2,"",3010
6,"Torment",2,"",3011
7,"Fear",2,"",3012
8,"Suffering",3,"",3013
9,"Rage",3,"",3015
10,"Wrath",3,"",3014
11,"Doubt",3,"",3016
12,"Anguish",4,"",3017
13,"Loathing",4,"",3018
14,"Spite",4,"",3020
15,"Zeal",4,"",3019
16,"Misery",5,"",3021
17,"Dread",5,"",3022
18,"Scorn",5,"",3023
19,"Envy",5,"",3024
20,"Hysteria",6,1,3025
21,"Insanity",6,1,3026
22,"Horror",6,1,3027
23,"Delirium",6,1,3028
24,"NotEssence",0,"",3029
