"rownum","Id","bool_8","bool_9","bool_10"
0,"DISABLED","","",""
1,"AtlasMission",1,1,""
2,"DIVIDER1",1,1,""
3,"Gossip","",1,""
4,"Topic","",1,""
5,"DIVIDER2","",1,""
6,"Quests",1,1,""
7,"QuestReward",1,1,""
8,"NextPresetQuest",1,1,""
9,"DIVIDER3",1,1,""
10,"OpenExpeditionMap",1,1,""
11,"RightMenu",1,1,""
12,"BuyItems",1,1,1
13,"SellItems",1,1,1
14,"Crafting",1,1,""
15,"DIVIDER4",1,1,""
16,"PVP",1,1,""
17,"ArenaPVP",1,1,""
18,"DIVIDER5",1,1,""
19,"TradeDivinationCards",1,1,""
20,"CadiroOffer",1,1,""
21,"Music",1,1,""
22,"DIVIDER6",1,1,""
23,"SelectHideout",1,1,""
24,"SelectGuildHideout",1,1,""
25,"InviteToHideout",1,1,""
26,"BuyExpeditionItems",1,1,1
27,"BuySanctumRelics",1,1,1
28,"IdentifyItems",1,1,""
29,"RespecPassivePoints",1,1,""
30,"RespecAtlasPassivePoints",1,1,""
31,"CurrencyExchange",1,1,""
32,"ChooseOneUnique",1,1,""
33,"Recombinate",1,1,""
34,"ManageAsyncTrade",1,1,""
35,"BuyAsyncTrade",1,1,""
36,"ChangeAscendancy",1,1,""
37,"AtlasTalk","","",""
