"rownum","Id","Fire1","[i32]_24","Fire2","[i32]_56","Fire3","[i32]_88","Fire4","Fire5","Cold1","[i32]_152","Cold2","[i32]_184","Cold3","[i32]_216","Cold4","Cold5","Lightning1","[i32]_280","Lightning2","[i32]_312","Lightning3","[i32]_344","Lightning4","Lightning5","Chaos1","[i32]_408","Chaos2","[i32]_440","Chaos3","[i32]_472","Chaos4","Chaos5"
0,"None",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
1,"MinorColdResist",[0],[0],[0],[0],[0],[0],[0],[0],[30],[0],[30],[0],[30],[0],"[15,15,20,45]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
2,"MajorColdResist",[0],[0],[0],[0],[0],[0],[0],[0],[75],[0],[60],[0],[50],[0],"[30,30,50,90]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
3,"MinorColdVuln",[0],[0],[0],[0],[0],[0],[0],[0],[-30],[0],[-30],[0],[-30],[0],[-15],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
4,"MajorColdVuln",[0],[0],[0],[0],[0],[0],[0],[0],[-50],[0],[-50],[0],[-50],[0],[-30],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
5,"MinorFireResist",[30],[0],[30],[0],[30],[0],"[15,15,20,45]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
6,"MajorFireResist",[75],[0],[60],[0],[50],[0],"[30,30,50,90]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
7,"MinorFireVuln",[-30],[0],[-30],[0],[-30],[0],[-15],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
8,"MajorFireVuln",[-50],[0],[-50],[0],[-50],[0],[-15],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
9,"MinorLightningResist",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[30],[0],[30],[0],[30],[0],"[15,15,20,45]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0]
10,"MajorLightningResist",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[75],[0],[60],[0],[50],[0],"[30,30,50,90]","[0,45,64,76]",[0],[0],[0],[0],[0],[0],[0],[0]
11,"MinorLightningVuln",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[-30],[0],[-30],[0],[-30],[0],[-15],[0],[0],[0],[0],[0],[0],[0],[0],[0]
12,"MajorLightningVuln",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[-50],[0],[-50],[0],[-50],[0],[-30],[0],[0],[0],[0],[0],[0],[0],[0],[0]
13,"MinorAllElementalResists",[30],[0],[30],[0],[30],[0],[15],[0],[30],[0],[30],[0],[30],[0],[15],[0],[30],[0],[30],[0],[30],[0],[15],[0],[0],[0],[0],[0],[0],[0],[0],[0]
14,"MajorAllElementalResists",[75],[0],[60],[0],[50],[0],[30],[0],[75],[0],[60],[0],[50],[0],[30],[0],[75],[0],[60],[0],[50],[0],[30],[0],[0],[0],[0],[0],[0],[0],[0],[0]
15,"MinionLowAll",[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[10],[0],[0],[0],[0],[0],[0],[0],[0],[0]
16,"MinionHighAll",[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[25],[0],[0],[0],[0],[0],[0],[0],[0],[0]
17,"MinionLightning",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[50],[0],[50],[0],[50],[0],[50],[0],[0],[0],[0],[0],[0],[0],[0],[0]
18,"MinionCold",[0],[0],[0],[0],[0],[0],[0],[0],[50],[0],[50],[0],[50],[0],[50],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
19,"MinionFire",[50],[0],[50],[0],[50],[0],[50],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0]
20,"MinorChaosResist",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[20],[0],[20],[0],[20],[0],"[10,10,15,30]","[0,30,45,50]"
21,"MajorChaosResist",[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[0],[50],[0],[40],[0],[35],[0],"[20,20,35,60]","[0,30,45,50]"
