"rownum","Id","NPC","NPCAudio","Animation","bool_56","NPCAudio2"
0,0,0,[1165],"","",[]
1,1,0,[1166],"","",[]
2,2,0,[1164],"","",[]
3,7,0,[1191],"","",[]
4,3,0,[1167],"","",[]
5,8,0,[1168],"","",[]
6,9,0,[1169],"","",[]
7,10,0,[1188],"","",[]
8,12,0,[1187],"","",[]
9,13,0,[1189],"","",[]
10,14,0,[1170],"","",[]
11,15,0,[1171],"","",[]
12,16,0,[1172],"","",[]
13,17,0,[1173],"","",[]
14,18,0,[1174],"","",[]
15,19,0,[1175],"","",[]
16,20,0,[1176],"","",[]
17,21,0,[1177],"","",[]
18,22,0,[1178],"","",[]
19,23,0,[1179],"","",[]
20,24,0,[1180],"","",[]
21,25,0,[1181],"","",[]
22,26,0,[1182],"","",[]
23,27,0,[1183],"","",[]
24,28,0,[1184],"","",[]
25,29,0,[1185],"","",[]
26,30,0,[1186],"","",[]
27,31,0,[1190],"","",[]
28,7,1,[2246],"","",[]
29,23,1,[2252],"","",[]
30,1,1,[2253],"","",[]
31,28,1,[2254],"","",[]
32,3,1,[2255],"","",[]
33,31,1,[2256],"","",[]
34,2,1,[2257],"","",[]
35,0,1,[2258],"","",[]
36,9,1,[2259],"","",[]
37,7,2,[5170],"","",[]
38,28,2,[5179],"","",[]
39,31,2,[5183],"","",[]
40,0,2,[5186],"","",[]
41,1,2,[5178],"","",[]
42,3,2,[5180],"","",[]
43,2,2,[5184],"","",[]
44,9,2,[5182],"","",[]
45,7,3,[6005],"","",[]
46,1,3,[6011],"","",[]
47,28,3,[6012],"","",[]
48,3,3,[6013],"","",[]
49,31,3,[6015],"","",[]
50,2,3,[6016],"","",[]
51,0,3,[6017],"","",[]
52,9,3,[6014],"","",[]
53,7,4,[6138],"","",[]
54,0,4,[6150],"","",[]
55,1,4,[6144],"","",[]
56,3,4,[6146],"","",[]
57,2,4,[6149],"","",[]
58,10,4,[6147],"","",[]
59,28,4,[6145],"","",[]
60,31,4,[6148],"","",[]
61,7,5,[6837],"","",[]
62,1,5,[6840],"","",[]
63,3,5,[6842],"","",[]
64,8,5,[6843],"","",[]
65,9,5,[6848],"","",[]
66,31,5,[6844],"","",[]
67,27,5,[6841],"","",[]
68,2,5,[6846],"","",[]
69,0,5,[6847],"","",[]
70,32,5,[6845],"","",[]
71,33,5,[6845],"","",[]
72,36,6,[15338],"","",[]
73,36,7,[15625],"","",[]
74,36,8,[15841],"","",[]
75,37,6,[15350],"","",[]
76,37,7,[15634],"","",[]
77,37,8,[15852],"","",[]
78,39,6,[15360],"","",[]
79,38,6,[15362],"","",[]
80,38,7,[15642],"","",[]
81,38,8,[15860],"","",[]
82,40,6,[15374],"","",[]
83,3,6,[15376],"","",[]
84,3,7,[15651],"","",[]
85,3,8,[15872],"","",[]
86,8,6,[15393],"","",[]
87,8,7,[15659],"","",[]
88,8,8,[15883],"","",[]
89,9,6,[15393],"","",[]
90,9,7,[15659],"","",[]
91,9,8,[15883],"","",[]
92,41,6,[15416],"","",[]
93,41,7,[15675],"","",[]
94,41,8,[15896],"","",[]
95,43,6,[15433],"","",[]
96,43,7,[15683],"","",[]
97,43,8,[15906],"","",[]
98,42,6,[15445],"","",[]
99,42,7,[15695],"","",[]
100,42,8,[15916],"","",[]
101,10,6,[15458],"","",[]
102,10,7,[15707],"","",[]
103,10,8,[15929],"","",[]
104,28,6,[15473],"","",[]
105,28,7,[15716],"","",[]
106,28,8,[15940],"","",[]
107,27,6,[15473],"","",[]
108,27,7,[15717],"","",[]
109,27,8,[15942],"","",[]
110,31,6,[15473],"","",[]
111,31,7,[15717],"","",[]
112,31,8,[15942],"","",[]
113,2,6,[15484],"","",[]
114,2,7,[15725],"","",[]
115,2,8,[15952],"","",[]
116,44,6,[15500],"","",[]
117,44,7,[15736],"","",[]
118,44,8,[15965],"","",[]
119,45,7,[15745],"","",[]
120,46,6,[15520],"","",[]
121,46,7,[15747],"","",[]
122,46,8,[15980],"","",[]
123,47,8,[15990],"","",[]
124,48,8,[15997],"","",[]
125,49,6,[15531],"","",[]
126,49,7,[15758],"","",[]
127,49,8,[15999],"","",[]
128,50,6,[15541],"","",[]
129,50,7,[15769],"","",[]
130,50,8,[16004],"","",[]
131,51,6,[15546],"","",[]
132,51,7,[15777],"","",[]
133,51,8,[16012],"","",[]
134,52,6,[15562],"","",[]
135,52,7,[15785],"","",[]
136,52,8,[16020],"","",[]
137,55,6,[15569],"","",[]
138,55,7,[15795],"","",[]
139,55,8,[16027],"","",[]
140,66,6,[15580],"","",[]
141,67,6,[],"","",[15589]
142,67,7,[],"","",[15806]
143,67,8,[],"","",[16040]
144,68,6,[],"","",[15597]
145,68,7,[],"","",[15816]
146,68,8,[],"","",[16050]
147,6,6,[15550],"","",[15608]
148,6,7,[15824],"","",[15824]
149,6,8,[16063],"","",[16063]
150,69,6,[],"","",[15618]
151,69,7,[],"","",[15831]
152,69,8,[],"","",[16075]
153,35,6,[16088],"WinAnimation","",[]
154,35,7,[16110],"WinAnimation","",[]
155,35,8,[16128],"WinAnimation","",[]
156,71,6,[15550],"","",[15608]
157,71,7,[15824],"","",[15824]
158,71,8,[16063],"","",[16063]
159,0,6,[15338],"","",[15338]
160,0,7,[15625],"","",[15625]
161,0,8,[15841],"","",[15841]
