"rownum","Unique","Origin"
0,1701,0
1,1321,0
2,1225,0
3,736,0
4,1644,0
5,300,0
6,3045,0
7,1799,0
8,3033,0
9,1699,0
10,1700,0
11,1370,0
12,1765,0
13,341,0
14,139,1
15,1492,1
16,1530,1
17,1497,1
18,561,1
19,148,1
20,141,1
21,280,1
22,1544,1
23,1545,1
24,47,1
25,204,1
26,1430,1
27,172,1
28,69,1
29,1482,1
30,1594,1
31,1527,1
32,1553,1
33,120,1
34,1546,1
35,1487,1
36,1577,1
37,1534,1
38,1549,1
39,1537,1
40,1561,1
41,82,1
42,1496,1
43,1627,1
44,1528,1
45,1593,1
46,167,1
47,1599,1
48,1501,1
49,1481,1
50,1600,1
51,1610,1
52,1617,1
53,1648,1
54,34,1
55,1484,1
56,1601,1
57,1602,1
58,1660,1
59,1608,1
60,50,1
61,794,1
62,1717,1
63,1603,1
64,318,1
65,1712,1
66,1737,1
67,695,1
68,1621,1
69,419,1
70,3069,1
71,130,1
72,1663,1
73,1639,1
74,1749,1
75,1751,1
76,1778,1
77,1782,1
78,447,2
79,1519,2
80,1569,2
81,153,2
82,1270,2
83,186,2
84,1614,2
85,1547,2
86,359,2
87,1555,2
88,1681,2
89,1085,2
90,1552,2
91,360,2
92,357,2
93,1576,2
94,343,2
95,1121,2
96,1083,2
97,354,2
98,1642,2
99,385,2
100,1716,2
101,178,2
102,157,2
103,1087,2
104,101,2
105,351,2
106,350,2
107,56,2
108,799,2
109,862,2
110,1103,2
111,1680,2
112,267,2
113,1713,2
114,1714,2
115,1354,2
116,3032,2
117,1352,2
118,1353,2
119,1791,2
120,1351,2
121,1694,2
122,1347,2
123,1348,2
124,1693,2
125,3048,2
