"rownum","Id","Event","i32_24","i32_28","Goddess_CharacterTextAudioKeys","JackTheAxe_CharacterTextAudioKeys","bool_64","bool_65","Cooldown","row_82","bool_90","QuestFlag","rid_107","row_123","i32_131","i32_135","i32_139","CharacterAudio"
0,"EnteredMaps",989,4000,0,[],[],"","",[],"","",[],"","",1,100,0,[]
1,"KillBiteZombie",559,1500,0,[],[],"","",[],"","",[],"","",1,100,0,[]
2,"EventWashedUp",534,2000,0,[],[],"","",[],"","",[],"","",1,100,0,[]
3,"EventDropOniGoroshi",363,2000,0,[],[],"","",[],"","",[],"","",1,100,0,[]
4,"EventJackIdle","",1000,4000,[],"[540,541,542,543]","","",[],"","",[],"","",1,100,0,[]
5,"EventJackKillMonster","",1000,5000,[],"[532,533,534,535,536,537,538,539]","","",[],"","",[],"","",1,100,0,[]
6,"EventJackKillPlayer","",1000,5000,[],"[544,545]","","",[],"","",[],"","",1,100,0,[]
7,"IntroSalesPitch","",0,0,[],[],"","",[],"","",[],"","",1,100,0,[]
8,"Cooldown","",0,12000,[],[],1,"",[],9,"",[],"","",1,100,0,[]
9,"CooldownNoCombat","",0,12000,[],[],"","",[],"","",[],"","",1,100,0,[]
10,"NoMana","",0,12000,[],[],1,"",[],11,"",[],"","",1,100,100,"[16984,16985,16986,16987,16988,16989,16990,16991,16992,16993]"
11,"NoManaNoCombat","",0,12000,[],[],1,"",[],"","",[],"","",1,100,100,"[16984,16985,16986,16987,16988,16989,16990,16991,16992,16993]"
12,"NoSpirit","",0,12000,[],[],1,"",[],13,"",[],"","",1,100,0,[]
13,"NoSpiritNoCombat","",0,12000,[],[],1,"",[],"","",[],"","",1,100,0,[]
14,"InvFull","",0,12000,[],[],1,"",[],"","",[],"","",1,100,100,"[16994,16995,16996,16997,16998,16999,17000,17001,17002,17003]"
15,"FlaskLowLifeToHighLife","",0,600000,[],[],1,"",[],"","",[],"","",1,100,0,[]
