"rownum","OriginalBaseType","UniqueName","NewBaseType","CraftingItem","CraftingItemCount","[i32]_80","[rid]_96","i32_112","rid_116"
0,2237,18,3020,[5034],[20],[4419],[],3,""
1,2238,18,3021,[5034],[25],[4419],[],3,""
2,2239,18,3022,[5034],[30],[4419],[],3,""
3,2240,18,3023,[5034],[45],[4419],[],3,""
4,2241,18,3024,[5034],[50],[4419],[],3,""
5,2242,18,3025,[5034],[75],[4419],[],3,""
6,2243,18,3026,[5034],[105],[4419],[],3,""
7,2244,18,3027,[5034],[130],[4419],[],3,""
8,2245,18,3028,[5034],[180],[4419],[],3,""
9,2246,18,3029,[5034],[220],[4419],[],3,""
10,2252,18,3035,[5034],[20],[4419],[],3,""
11,2253,18,3036,[5034],[25],[4419],[],3,""
12,2254,18,3037,[5034],[30],[4419],[],3,""
13,2255,18,3038,[5034],[45],[4419],[],3,""
14,2256,18,3039,[5034],[50],[4419],[],3,""
15,2257,18,3040,[5034],[70],[4419],[],3,""
16,2258,18,3041,[5034],[105],[4419],[],3,""
17,2259,18,3042,[5034],[120],[4419],[],3,""
18,2260,18,3043,[5034],[180],[4419],[],3,""
19,2261,18,3044,[5034],[230],[4419],[],3,""
20,2267,18,3050,[5034],[20],[4419],[],3,""
21,2268,18,3051,[5034],[25],[4419],[],3,""
22,2269,18,3052,[5034],[30],[4419],[],3,""
23,2270,18,3053,[5034],[45],[4419],[],3,""
24,2271,18,3054,[5034],[50],[4419],[],3,""
25,2272,18,3055,[5034],[80],[4419],[],3,""
26,2273,18,3056,[5034],[105],[4419],[],3,""
27,2274,18,3057,[5034],[145],[4419],[],3,""
28,2275,18,3058,[5034],[180],[4419],[],3,""
29,2276,18,3059,[5034],[215],[4419],[],3,""
30,2282,18,3065,[5034],[20],[4419],[],3,""
31,2283,18,3066,[5034],[30],[4419],[],3,""
32,2284,18,3067,[5034],[45],[4419],[],3,""
33,2285,18,3068,[5034],[70],[4419],[],3,""
34,2286,18,3069,[5034],[105],[4419],[],3,""
35,2287,18,3070,[5034],[130],[4419],[],3,""
36,2288,18,3071,[5034],[180],[4419],[],3,""
37,2289,18,3072,[5034],[220],[4419],[],3,""
38,2297,18,3080,[5034],[20],[4419],[],3,""
39,2298,18,3081,[5034],[30],[4419],[],3,""
40,2299,18,3082,[5034],[45],[4419],[],3,""
41,2300,18,3083,[5034],[80],[4419],[],3,""
42,2301,18,3084,[5034],[105],[4419],[],3,""
43,2302,18,3085,[5034],[120],[4419],[],3,""
44,2303,18,3086,[5034],[180],[4419],[],3,""
45,2304,18,3087,[5034],[230],[4419],[],3,""
46,2312,18,3093,[5034],[20],[4419],[],3,""
47,2313,18,3094,[5034],[30],[4419],[],3,""
48,2314,18,3095,[5034],[45],[4419],[],3,""
49,2315,18,3096,[5034],[80],[4419],[],3,""
50,2316,18,3097,[5034],[105],[4419],[],3,""
51,2317,18,3098,[5034],[140],[4419],[],3,""
52,2318,18,3099,[5034],[180],[4419],[],3,""
53,2319,18,3100,[5034],[230],[4419],[],3,""
54,2762,18,3112,[5034],[255],[4419],[],3,""
55,2763,18,3113,[5034],[300],[4419],[],3,""
56,2764,18,3114,[5034],[330],[4419],[],3,""
57,2768,18,3115,[5034],[255],[4419],[],3,""
58,2769,18,3116,[5034],[300],[4419],[],3,""
59,2770,18,3117,[5034],[330],[4419],[],3,""
60,2774,18,3118,[5034],[255],[4419],[],3,""
61,2775,18,3119,[5034],[300],[4419],[],3,""
62,2776,18,3120,[5034],[330],[4419],[],3,""
63,2780,18,3121,[5034],[255],[4419],[],3,""
64,2781,18,3122,[5034],[300],[4419],[],3,""
65,2782,18,3123,[5034],[330],[4419],[],3,""
66,2786,18,3124,[5034],[255],[4419],[],3,""
67,2787,18,3125,[5034],[300],[4419],[],3,""
68,2788,18,3126,[5034],[330],[4419],[],3,""
69,2792,18,3127,[5034],[255],[4419],[],3,""
70,2793,18,3128,[5034],[300],[4419],[],3,""
71,2794,18,3129,[5034],[330],[4419],[],3,""
72,2325,18,3131,[5034],[15],[4419],[],3,""
73,2326,18,3132,[5034],[30],[4419],[],3,""
74,2327,18,3133,[5034],[35],[4419],[],3,""
75,2328,18,3134,[5034],[65],[4419],[],3,""
76,2329,18,3135,[5034],[90],[4419],[],3,""
77,2330,18,3136,[5034],[100],[4419],[],3,""
78,2331,18,3137,[5034],[150],[4419],[],3,""
79,2332,18,3138,[5034],[195],[4419],[],3,""
80,2336,18,3142,[5034],[15],[4419],[],3,""
81,2337,18,3143,[5034],[30],[4419],[],3,""
82,2338,18,3144,[5034],[35],[4419],[],3,""
83,2339,18,3145,[5034],[60],[4419],[],3,""
84,2340,18,3146,[5034],[90],[4419],[],3,""
85,2341,18,3147,[5034],[115],[4419],[],3,""
86,2342,18,3148,[5034],[150],[4419],[],3,""
87,2343,18,3149,[5034],[185],[4419],[],3,""
88,2347,18,3153,[5034],[15],[4419],[],3,""
89,2348,18,3154,[5034],[30],[4419],[],3,""
90,2349,18,3155,[5034],[35],[4419],[],3,""
91,2350,18,3156,[5034],[55],[4419],[],3,""
92,2351,18,3157,[5034],[90],[4419],[],3,""
93,2352,18,3158,[5034],[125],[4419],[],3,""
94,2353,18,3159,[5034],[155],[4419],[],3,""
95,2354,18,3160,[5034],[190],[4419],[],3,""
96,2358,18,3164,[5034],[25],[4419],[],3,""
97,2359,18,3165,[5034],[30],[4419],[],3,""
98,2360,18,3166,[5034],[35],[4419],[],3,""
99,2361,18,3167,[5034],[60],[4419],[],3,""
100,2362,18,3168,[5034],[90],[4419],[],3,""
101,2363,18,3169,[5034],[155],[4419],[],3,""
102,2367,18,3172,[5034],[20],[4419],[],3,""
103,2368,18,3173,[5034],[30],[4419],[],3,""
104,2369,18,3174,[5034],[35],[4419],[],3,""
105,2370,18,3175,[5034],[65],[4419],[],3,""
106,2371,18,3176,[5034],[85],[4419],[],3,""
107,2372,18,3177,[5034],[160],[4419],[],3,""
108,2376,18,3180,[5034],[20],[4419],[],3,""
109,2377,18,3181,[5034],[30],[4419],[],3,""
110,2378,18,3182,[5034],[35],[4419],[],3,""
