"rownum","Id","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","TextXBox","TextXBox (French)","TextXBox (German)","TextXBox (Japanese)","TextXBox (Korean)","TextXBox (Portuguese)","TextXBox (Russian)","TextXBox (Spanish)","TextXBox (Thai)","TextXBox (Traditional Chinese)","i32_24","i32_28","i32_32","i32_36","[rid]_40","i32_56"
0,"ProxyKey1","Remember to use flasks (<b>{1-2} on the keyboard).","N'oubliez pas d'utiliser vos Flacons (<b>{1-2} sur le clavier).","Vergiss nicht, Fläschchen zu nutzen (<b>{1–2} auf der Tastatur).","フラスコの使用を忘れずに。 (キーボード上の<b>{1-2}キー )","잊지 말고 플라스크를 활용하십시오(키보드 <b>{1~2}).","Lembre-se de usar os frascos (<b>{1-2} do teclado).","Не забывайте пользоваться флаконами (<b>{1-2} на клавиатуре).","Recuerda usar frascos (<b>{1-2} en tu teclado).","อย่าลืมใช้ขวดยา (ปุ่ม <b>{1-2} บนคีย์บอร์ด)","記得使用鍵盤上的 1 到 2 來喝藥水唷！","Select <b>{Rebind Menu} on the radial menu to assign skills and action to button slots.","Selectionnez <b>{Menu des raccourcis} dans le menu circulaire pour assigner des aptitudes et des actions à des boutons de la manette.","Wähle das <b>{Zuweisungsmenü} im Radialmenü, um Fertigkeiten und Aktionen den Tasten zuzuweisen.","ラジアルメニュー上の<b>{リバインドメニュー}を選択してボタンスロットにスキルおよびアクションを割り当てます。","원형 메뉴에서 <b>{지정 변경 메뉴}를 선택하면 버튼 슬롯에 스킬과 행동을 지정할 수 있습니다.","Selecione o <b>{Menu de Reatribuição} no menu radial para atribuir habilidades e ações aos espaços de botões.","Выберите <b>{Переназначение} в радиальном меню, чтобы привязать умения и действия к кнопкам.","Selecciona el <b>{menú de vinculación} en el menú circular para asignar habilidades y acciones a los espacios de botones.","เลือก<b>{เมนูปรับปุ่ม}ในเมนูแป้นหมุนเพื่อตั้งช่องปุ่มต่างๆ ให้กับสกิลและการกระทำ","在輪盤選單中點選<b>{重新綁定選單}，將技能與行動分配至按鈕欄位。",1,100,0,0,[],56
1,"ProxyKey2","Boss Checkpoints and Waypoints will refill your flasks as well as replenishing your life, energy shield, and mana.","Les Points de contrôle avant un Boss et les Points de téléportation rempliront vos Flacons et restaureront vos Vie, Bouclier d'énergie et Mana.","An den Boss-Kontrollpunkten und Wegpunkten werden deine Fläschchen aufgefüllt und dein Leben, dein Energieschild und dein Mana wiederhergestellt.","ボスチェックポイントおよびウェイポイントではフラスコが補充されライフ、エネルギーシールド、マナが回復します。","보스 체크포인트와 거점에서는 플라스크가 가득 차고, 생명력과 에너지 보호막, 마나도 회복됩니다.","As Marcações dos Chefes vão recarregar seus frascos, assim como restituir sua vida, escudo de energia e mana.","Контрольные точки перед боссами и порталы восполнят ваши флаконы, а также здоровье, энергетический щит и ману.","Los puntos de control de los jefes y los transportadores rellenarán tus frascos y restaurarán tu vida, escudo de energía y maná.","เช็คพอยน์บอสจะเติมขวดยาของคุณ พร้อมทั้งเติมพลังชีวิต, โล่พลังงาน และมานาของคุณเช่นกัน","頭目記錄點能補滿藥劑，並完全回復你的生命、能量護盾與魔力。","","Mettez votre curseur sur un objet et faites <<xbox_button_b>> puis <<xbox_button_a>> pour retirer une <gemitem>{Gemme} enchâssée dans cet objet.","Mit <<xbox_button_b>> auf den Gegenstand und dann <<xbox_button_a>> kannst du eine <gemitem>{Fertigkeitengemme} aus einem Gegenstand lösen.","アイテム上で<<xbox_button_b>>を押した後、<<xbox_button_a>>を押すことで<gemitem>{スキルジェム}をアイテムから取り外すことが出来ます。","아이템에 끼운 <gemitem>{스킬 젬}은 해당 아이템에서 <<xbox_button_b>>을 누른 다음, <<xbox_button_a>>을 눌러 빼낼 수 있습니다.","Você pode remover uma <gemitem>{Gema de Habilidade} de um item pressionando <<xbox_button_b>> em um item e então <<xbox_button_a>>.","Вы можете вынуть <gemitem>{Камень} из любого предмета, нажав по нему <<xbox_button_b>> , а затем <<xbox_button_a>>.","Puedes extraer una <gemitem>{gema de habilidad} de un objeto presionando <<xbox_button_b>> sobre el objeto y luego <<xbox_button_a>>.","คุณสามารถถอด <gemitem>{หินสกิล} ออกจากไอเทมได้ด้วยการกด <<xbox_button_b>> บนไอเทมแล้วกด <<xbox_button_a>>","你可以在物品上按下<<xbox_button_b>>接著按下<<xbox_button_a>>以從物品上移除<gemitem>ˋ{技能寶石}。",1,100,0,0,[],56
2,"ProxyKey3","Dying in an area will send you back to your most recent checkpoint, respawning all enemies.","Mourir dans une zone vous renverra au Point de contrôle le plus récent, en faisant réapparaître tous les ennemis.","Wenn du in einem Gebiet stirbst, kehrst du zu deinem letzten Kontrollpunkt zurück und alle Gegner tauchen wieder auf.","エリアで死亡すると直近のチェックポイントに戻され、すべての敵がリスポーンします。","지역 내에서 죽으면 가장 최근에 지난 체크포인트로 돌아가고, 적도 모두 다시 생성됩니다.","Ao morrer em uma área você será enviado de volta à marcação mais recente. Todos os inimigos aparecerão novamente.","Смерть в области вернёт вас к последней контрольной точке и возродит всех врагов.","Si mueres en un área, volverás al punto de control más reciente y todos los enemigos resucitarán.","หากคุณตายในด่าน คุณจะถูกส่งไปยังเช็คพอยน์ล่าสุดของคุณและทำให้ศัตรูทุกตัวเกิดใหม่อีกครั้ง","在區域中死亡後，系統會將你傳送回最近的記錄點並重生所有敵人。","","","","","","","","","","",1,100,0,0,[],56
3,"ProxyKey4","Flask Charges are recovered in combat by slaying Enemies. Magic, Rare and Unique enemies grant progressively more Charges.","Des charges de Flacon sont octroyées en combat en tuant des ennemis. Les ennemis magiques, rares et uniques octroient progressivement plus de charges.","Fläschchen-Füllungen werden im Kampf durch das Töten von Gegnern wiederhergestellt. Magische, seltene und einzigartige Gegner gewähren jeweils mehr Füllungen.","戦闘中に敵を倒すことでフラスコチャージが回復します。マジック、レア、ユニークの敵を倒すと、段階的により多くのチャージが回復します。","플라스크 충전은 전투 중에 적을 처치하면 회복됩니다. 마법, 희귀, 고유 적으로 갈수록 충전이 더 많이 회복됩니다.","Cargas de Frasco são recuperadas em combate ao abater os Inimigos. Inimigos Mágicos, Raros e Únicos concedem progressivamente mais Cargas.","Заряды флаконов восполняются в бою при убийстве врагов. Волшебные, редкие и уникальные враги дают больше зарядов.","Las cargas de frascos se recuperan en combate derrotando enemigos. Los enemigos mágicos, raros y únicos otorgan más cargas de forma progresiva.","คุณจะเก็บชาร์จขวดยาในการต่อสู้ได้ด้วยการสังหารศัตรู โดยศัตรูเมจิก, แรร์ และยูนิคจะให้ชาร์จขวดยาเพิ่มขึ้นไปตามลำดับ","在戰鬥中殺死敵人可以補充藥劑。並可根據魔法、稀有與傳奇等級的敵人獲得相應較多的補充量。","","","","","","","","","","",1,100,0,0,[],56
4,"ProxyKey5","Instances reset after being empty for 8-15 minutes, destroying any connected Portals.","Les instances sont réinitialisées après 8 à 15 minutes d'inactivité, détruisant ainsi tout portail connecté.","Leere Instanzen werden nach 8–15 Minuten zurückgesetzt und damit auch alle verknüpften Portale zerstört.","誰もいない状態で8-15分間経過するとインスタンスはリセットされ、接続しているポータルは破壊されます。","인스턴스는 비어 있는 상태에서 8~15분이 지나면 초기화되며, 연결된 포탈을 모두 파괴합니다.","As instâncias são reiniciadas após ficarem vazias de 8 a 15 minutos, destruindo todos os Portais conectados.","Область обновляется спустя 8-15 минут после того, как оказывается пустой, уничтожая все соединенные Порталы.","Las instancias se reinician después de estar vacías durante 8-15 minutos y destruyen todos los portales conectados.","อินสแตนซ์จะรีเซ็ตหลังจากที่ไม่มีผู้เล่นอยู่เป็นเวลา 8-15 นาที ซึ่งจะทำลายวาร์ปใดๆ ที่เชื่อมต่อ","沒人在的地圖約 8 至 15 分會重置，地圖內的傳送門也會隨之關閉。","","","","","","","","","","",1,100,0,0,[],56
5,"ProxyKey6","The more modifiers an item has, the more <currencyitem>{Gold} it will sell for.","Plus un objet possède de modificateurs, plus il se vendra pour une importante somme d'<currencyitem>{Or}.","Je mehr Modifikatoren ein Gegenstand hat, desto mehr <currencyitem>{Gold} wird er beim Verkauf einbringen.","アイテム上のモッドが多いほど、売却した際に得られる<currencyitem>{ゴールド}が増えます。","아이템에 붙은 속성이 많을수록 판매 시에 <currencyitem>{골드}를 많이 받을 수 있습니다.","Quanto mais modificadores um item tiver, mais <currencyitem>{Ouro} ele valerá.","Чем больше на предмете свойств, тем больше <currencyitem>{золота} дадут за его продажу.","Cuantos más modificadores tenga un objeto, más <currencyitem>{oro} te darán por él","ไอเทมที่มีม็อดมากจะขายเป็น<currencyitem>{ทอง}ได้มากเช่นกัน","物品的詞綴越多，就可以在販售時換取更多的<currencyitem>{黃金}。","","Appuyez sur <<xbox_button_lstick>> + <<xbox_button_b>> pour montrer un objet à d'autres joueurs dans le tchat.","Verwende <<xbox_button_lstick>> + <<xbox_button_b>>, um einen Gegenstand mit anderen Spielern im Chat zu verlinken.","チャット用いて他のプレーヤーとアイテムをリンクさせる際は、<<xbox_button_lstick>> + <<xbox_button_b>>を使用します。","채팅창에서 다른 플레이어에게 아이템을 보여주려면 <<xbox_button_lstick>> + <<xbox_button_b>>을 사용하십시오.","Utilize <<xbox_button_lstick>> + <<xbox_button_b>> para linkar um item para outro jogador no chat..","Нажмите <<xbox_button_lstick>> + <<xbox_button_b>>, чтобы отправить ссылку на предмет другим игрокам в чат.","Usa <<xbox_button_lstick>> + <<xbox_button_b>> para vincular un objeto al chat y que otros jugadores lo vean.","ใช้ <<xbox_button_lstick>> + <<xbox_button_b>> เพื่อเชื่อมโยงไอเทมให้ผู้เล่นคนอื่นๆ ในแชท","使用<<xbox_button_lstick>> + <<xbox_button_b>>將物品連結給聊天中的其他玩家。",1,100,0,0,[],56
6,"ProxyKey7","Players in the same party will join the same areas.","Les joueurs d'un même groupe rejoignent les mêmes zones.","Spieler einer Gruppe betreten die gleichen Gebiete.","同じパーティー内のプレイヤーは、同じエリアに参加します。","같은 파티에 속한 플레이어들은 동일한 지역에 접속하게 됩니다.","Os jogadores no mesmo grupo entrarão nas mesmas áreas.","Игроки, находящиеся в одной группе, входят в одинаковые местности.","Los jugadores de un mismo grupo entrarán a las mismas áreas.","ผู้เล่นในปาร์ตี้เดียวกันจะเข้าร่วมด่านเดียวกัน","同隊伍的成員才能進入同一張地圖唷～","","","","","","","","","","",1,100,0,0,[],56
7,"ProxyKey8","Press <b>{Spacebar} to Dodge Roll.","Appuyez sur <b>{Barre d'espace} pour effectuer une Roulade.","Drücke <b>{Leertaste} für die Ausweichrolle.","<b>{スペースバー}を押してドッジロール。","<b>{스페이스}를 누르면 회피 구르기를 합니다.","Pressione <b>{Barra de Espaço} para usar Cambalhota Evasiva.","Нажмите <b>{пробел}, чтобы увернуться кувырком.","Presiona la <b>{barra espaciadora} para esquivar rodando.","กด <b>{Spacebar} เพื่อกลิ้งหลบ","按下<b>{空白鍵}進行閃避翻滾。","Press <<xbox_button_b>> to Dodge Roll.","Appuyez sur <<xbox_button_b>> pour effectuer une Roulade.","Drücke <<xbox_button_b>> für die Ausweichrolle.","<<xbox_button_b>>を押してドッジロール。","<<xbox_button_b>>를 누르면 회피 구르기를 합니다.","Pressione <<xbox_button_b>> para Rolar.","Нажмите <<xbox_button_b>> для уворота кувырком.","Presiona <<xbox_button_b>> para esquivar rodando.","กด <<xbox_button_b>> เพื่อกลิ้งหลบ","按下<<xbox_button_b>>進行閃避翻滾。",1,100,0,0,[],56
8,"ProxyKey9","You can assign your skills to a specific weapon set in the Skills Panel (G).","Vous pouvez assigner vos Aptitudes à un Ensemble d'armes spécifique dans le panneau des Aptitudes (G).","Du kannst deine Fertigkeiten in der Fertigkeitenübersicht (G) einem bestimmten Waffenset zuweisen.","スキルパネル (G )で特定の武器セットにスキルを割り当てることができます。","스킬 창(G)에서 스킬을 특정 무기 세트에 지정할 수 있습니다.","Você pode atribuir suas habilidades a um conjunto de armas específico no Painel de Habilidades (G).","Вы можете привязать умения к конкретному набору оружия в окне умений (G).","Puedes asignar tus habilidades a un set de armas específico en el panel de habilidades (G).","คุณสามารถตั้งสกิลต่างๆ ให้ใช้ชุดอาวุธที่ต้องการได้ในเมนูสกิล (G)","你可以在技能選單（G）中將技能分配到特定的武器組合。","Open <b>{Skill Options} to assign a skill to use a specific weapon set in the <b>{Skills} tab of the <<xbox_button_view>> <b>{Character menu}. \r\n\r\n","Ouvrez <b>{Options d'aptitudes} pour assigner une Aptitude à utiliser un Ensemble d'armes spécifique dans l'onglet <b>{Aptitudes} du <<xbox_button_view>> <b>{Menu de personnage}.","Öffne <b>{Fertigkeitenoptionen}, um eine Fertigkeit einem spezifischen Waffenset im Reiter <b>{Fertigkeiten} des <<xbox_button_view>> <b>{Charaktermenüs} zuzuweisen. ","<b>{スキルオプション}を開いて、<<xbox_button_view>><b>{キャラクターメニュー}の<b>{スキル}タブで使用する特定の武器セットをスキルに割り当てます。","<<xbox_button_view>> <b>{캐릭터 메뉴}의 <b>{스킬} 탭에서 <b>{스킬 옵션}을 열어, 사용할 스킬을 특정 무기 세트에 지정할 수 있습니다.","Abra <b>{Opções de Habilidade} para atribuir uma habilidade a um conjunto de armas específico na aba <b>{Habilidades} do <b>{Menu de Personagem} <<xbox_button_view>>.\r\n\r\n","Откройте <b>{настройки умений}, чтобы привязать умение к определённому набору оружия в разделе <b>{умений} <<xbox_button_view>> <b>{окна персонажа}.\r\n\r\n","Abre <b>{Opciones de habilidades} para vincular una habilidad a un set de arma específico en la pestaña <b>{Habilidades} del <<xbox_button_view>> <b>{Menú del personaje}. ","เปิด<b>{ตัวเลือกสกิล}เพื่อตั้งสกิลให้ใช้ชุดอาวุธที่ต้องการภายในแท็บ<b>{สกิล}ของ <<xbox_button_view>> <b>{เมนูตัวละคร}","你可以在<<xbox_button_view>> <b>{角色選單}的<b>{技能}頁面開啟<b>{技能選項}，將技能分配給特定的武器套裝使用。\r\n\r\n",1,100,0,0,[],56
9,"ProxyKey10","Hold <b>{Shift} to attack from your current location.","Maintenez <b>{Maj} pour attaquer à partir de votre position actuelle.","Mit gehaltener <b>{Umschalt}-Taste kannst du im Stehen zuschlagen.","<b>{Shift}を押しながら攻撃することで、現在位置から攻撃を行います。","현재 위치에 가만히 서서 공격하려면 <b>{Shift}를 누르고 계십시오.","Segure <b>{Shift} para atacar em seu local atual.","Удерживайте <b>{Shift} для атаки с текущей позиции.","Mantén presionado <b>{Shift} para atacar desde tu ubicación actual.","กด <b>{Shift} ค้างเพื่อโจมตีจากตำแหน่งปัจจุบันของคุณ","按住 <b>{Shift} 在原地進行攻擊。","Press and hold <<xbox_button_x>> on a skill in the <b>{Skill Binds} Menu to assign alternative targeting methods in <b>{Skill Options}","<b>{Activer le mode Ciblage maintenu} peut être défini pour certaines aptitudes à distance. Tant que le bouton de l'action est enfoncée, utilisez <<xbox_rstick>> pour ajuster le ciblage avant de relâcher.","Drücke und halte <<xbox_button_x>> im Menü für <b>{Fertigkeitenzuweisungen} auf einer Fertigkeit, um alternative Zielmethoden in den <b>{Fertigkeitenoptionen} zuzuweisen.","<b>{スキルバインド}</b>メニューでスキルにカーソルを合わせ<<xbox_x>>を押し続けると、<b>{スキルオプション}</b>で代替のターゲティング方法を割り当てられます。","<b>{스킬 지정} 메뉴에서 스킬에 대고 <<xbox_button_x>>를 누르면 <b>{스킬 옵션}에서 대체 대상 지정 방법을 지정할 수 있습니다.","Pressione e segure <<xbox_button_x>> em uma habilidade no menu de <b>{atalhos de habilidades} para escolher outro método de mira nas <b>{opções de habilidade}.","Нажмите и удерживайте <<xbox_button_x>> на умении в меню <b>{привязки умений}, чтобы задать альтернативные способы прицеливания в <b>{настройках умения}","Mantén presionado <<xbox_button_x>> sobre una habilidad en el menú de <b>{Asignaciones de habilidades} para asignar métodos de selección de objetivos alternativos en <b>{Opciones de habilidades}","กด <<xbox_button_x>> ค้างไว้ที่สกิลในเมนู<b>{ตั้งปุ่มสกิล}เพื่อจัดวิธีการเลือกเป้าหมายแบบพิเศษใน<b>{ตัวเลือกสกิล}","對<b>{技能綁定}選單中的技能按住 <<xbox_button_x>> ，於<b>{技能選項}中設定替代的目標瞄準方式",1,100,0,0,[],56
