"rownum","Mod","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Visual","TextStyles","bool_56","bool_57","bool_58"
0,4201,"Extra Fire Damage","Dégâts de feu supplémentaires","Extra Feuerschaden","追加火ダメージ","추가 화염 피해","Dano de Fogo Adicional","Дополнительный урон от огня","Daño de fuego extra","เสริมความเสียหาย ไฟ","額外火焰傷害","",[],"","",1
1,4202,"[MonsterDamageGainedAsFire1|Extra Fire Damage]","[MonsterDamageGainedAsFire1|Dégâts de feu supplémentaires]","[MonsterDamageGainedAsFire1|Extra Feuerschaden]","[MonsterDamageGainedAsFire1|追加火ダメージ]","[MonsterDamageGainedAsFire1|추가 화염 피해]","[MonsterDamageGainedAsFire1|Dano de Fogo Adicional]","[MonsterDamageGainedAsFire1|Дополнительный урон от огня]","[MonsterDamageGainedAsFire1|Daño de fuego extra]","[MonsterDamageGainedAsFire1|เสริมความเสียหาย ไฟ]","[MonsterDamageGainedAsFire1|額外火焰傷害]","",[],"","",1
2,4203,"Extra Cold Damage","Dégâts de froid supplémentaires","Extra Kälteschaden","追加冷気ダメージ","추가 냉기 피해","Dano de Gelo Adicional","Дополнительный урон от холода","Daño de hielo extra","เสริมความเสียหาย น้ำแข็ง","額外冰冷傷害","",[],"","",1
3,4204,"[MonsterDamageGainedAsCold1|Extra Cold Damage]","[MonsterDamageGainedAsCold1|Dégâts de froid supplémentaires]","[MonsterDamageGainedAsCold1|Extra Kälteschaden]","[MonsterDamageGainedAsCold1|追加冷気ダメージ]","[MonsterDamageGainedAsCold1|추가 냉기 피해]","[MonsterDamageGainedAsCold1|Dano de Gelo Adicional]","[MonsterDamageGainedAsCold1|Дополнительный урон от холода]","[MonsterDamageGainedAsCold1|Daño de hielo extra]","[MonsterDamageGainedAsCold1|เสริมความเสียหาย น้ำแข็ง]","[MonsterDamageGainedAsCold1|額外冰冷傷害]","",[],"","",1
4,4205,"Extra Lightning Damage","Dégâts de foudre supplémentaires","Extra Blitzschaden","追加雷ダメージ","추가 번개 피해","Dano de Raio Adicional","Дополнительный урон от молнии","Daño de rayo extra","เสริมความเสียหาย สายฟ้า","額外閃電傷害","",[],"","",1
5,4206,"[MonsterDamageGainedAsLightning1|Extra Lightning Damage]","[MonsterDamageGainedAsLightning1|Dégâts de foudre supplémentaires]","[MonsterDamageGainedAsLightning1|Extra Blitzschaden]","[MonsterDamageGainedAsLightning1|追加雷ダメージ]","[MonsterDamageGainedAsLightning1|추가 번개 피해]","[MonsterDamageGainedAsLightning1|Dano de Raio Adicional]","[MonsterDamageGainedAsLightning1|Дополнительный урон от молнии]","[MonsterDamageGainedAsLightning1|Daño de rayo extra]","[MonsterDamageGainedAsLightning1|เสริมความเสียหาย สายฟ้า]","[MonsterDamageGainedAsLightning1|額外閃電傷害]","",[],"","",1
6,4207,"Hasted","Véloce","Beschleunigt","迅速","가속","Acelerado","Ускоренный","Acelerado","ว่องไว","急速","",[],"","",1
7,4208,"[MonsterIncreasedSpeed1|Hasted]","[MonsterIncreasedSpeed1|Véloce]","[MonsterIncreasedSpeed1|Beschleunigt]","[MonsterIncreasedSpeed1|迅速]","[MonsterIncreasedSpeed1|가속]","[MonsterIncreasedSpeed1|Acelerado]","[MonsterIncreasedSpeed1|Ускоренный]","[MonsterIncreasedSpeed1|Acelerado]","[MonsterIncreasedSpeed1|ว่องไว]","[MonsterIncreasedSpeed1|急速]","",[],"","",1
8,4209,"Extra Crits","Critiques supplémentaires","Extra kritische Treffer","追加クリティカル","추가 치명타","Críticos Adicionais","Дополнительные критические удары","Críticos adicionales","เสริมคริติคอล","額外暴擊","",[],"","",1
9,4210,"[MonsterCriticalStrikeChance1|Extra Crits]","[MonsterCriticalStrikeChance1|Critiques supplémentaires]","[MonsterCriticalStrikeChance1|Extra kritische Treffer]","[MonsterCriticalStrikeChance1|追加クリティカル]","[MonsterCriticalStrikeChance1|추가 치명타]","[MonsterCriticalStrikeChance1|Críticos Adicionais]","[MonsterCriticalStrikeChance1|Дополнительные критические удары]","[MonsterCriticalStrikeChance1|Críticos adicionales]","[MonsterCriticalStrikeChance1|เสริมคริติคอ]","[MonsterCriticalStrikeChance1|額外暴擊]","",[],"","",1
10,4211,"Stuns","Étourdit","Betäubt","スタン","기절","Atordoa","Оглушает","Aturde","สร้างสถานะ สตัน","暈眩","",[],"","",1
11,4212,"[MonsterStunDamageIncrease1|Stuns]","[MonsterStunDamageIncrease1|Étourdit]","[MonsterStunDamageIncrease1|Betäubt]","[MonsterStunDamageIncrease1|スタン]","[MonsterStunDamageIncrease1|기절]","[MonsterStunDamageIncrease1|Atordoa]","[MonsterStunDamageIncrease1|Оглушает]","[MonsterStunDamageIncrease1|Aturde]","[MonsterStunDamageIncrease1|สร้างสถานะ สตัน]","[MonsterStunDamageIncrease1|暈眩]","",[],"","",1
