"rownum","Id","i32_16","i32_20","i32_24","i32_28","i32_32"
0,4,1469,0,0,0,0
1,5,1469,0,0,0,0
2,6,1468,0,0,0,0
3,7,1468,0,0,0,0
4,8,1468,0,0,0,0
5,9,1468,0,0,0,0
6,11,1468,0,0,0,0
7,12,1468,0,0,0,0
8,13,1468,0,0,0,0
9,14,1468,0,0,0,0
10,15,1468,0,0,0,0
11,16,1468,0,0,0,0
12,17,1468,0,0,0,0
13,20,1468,0,0,0,0
14,21,1469,0,0,0,0
15,22,1470,0,0,0,0
16,23,1470,0,0,0,0
17,24,1470,0,0,0,0
18,25,1470,0,0,0,0
19,26,1470,0,0,0,0
20,32,1468,0,0,0,0
21,37,1471,0,0,0,0
22,58,1468,0,0,0,0
23,79,1468,0,0,0,0
24,80,1468,0,0,0,0
25,81,1468,0,0,0,0
26,85,1468,0,0,0,0
27,94,1470,0,0,0,0
28,98,1468,0,0,0,0
29,110,1468,0,0,0,0
