"rownum","TaggedStat","rid_16","BuffTemplate","rid_48","rid_64"
0,15239,24,[],"",""
1,15240,8477,[],"",""
2,15337,"",[482],"",""
3,15344,"",[484],"",""
4,15356,"",[],1,""
5,15357,"",[],2,""
6,15358,"",[],4,""
7,15359,"",[],12,""
8,15360,"",[],9,""
9,15361,"",[],10,""
10,15362,"",[],24,""
11,15419,12,[],"",""
12,15420,11,[],"",""
13,15421,15354,[],"",""
14,15422,1744,[],"",""
15,15423,7186,[],"",""
16,15343,"",[],"",1
17,15349,"",[],"",8
18,15350,"",[],"",2
19,15386,"",[],"",3
20,15387,"",[],"",4
21,15388,"",[],"",5
22,15389,"",[],"",6
23,15390,"",[],"",7
24,15391,"",[],"",9
25,15392,"",[],"",10
26,15393,"",[],"",12
27,15394,"",[],"",13
28,15395,"",[],"",14
29,15396,"",[],"",15
30,15397,"",[],"",16
31,15398,"",[],"",17
32,15399,"",[],"",18
33,15400,"",[],"",19
34,15401,"",[],"",20
35,15402,"",[],"",21
36,15403,"",[],"",22
37,15404,"",[],"",23
38,15405,"",[],"",24
39,15506,2347,[],"",""
