"rownum","Id","GrantedEffectsKey","Stat","SurgeType","string_56","rid_64","bool_80","bool_81","bool_82","bool_83","bool_84","bool_85","bool_86","bool_87","bool_88","bool_89","bool_90","[rid]_91","f32_107","rid_111","rid_127"
0,"MtxCoinFlipInnocencePlayer",281,"",25,"R_Weapon","",1,"","",1,"",1,"","","",1,"",[],0,"",""
1,"MtxPolymorphLunarHare1Player",286,"",27,"R_Weapon","",1,"","",1,"",1,"","","",1,"",[],0,"",""
2,"gain_demon_form_stacks","",19716,129,"","",1,1,"","","",1,1,"","","",1,[1],0,"",""
3,"archmage_surge","",19981,130,"","",1,1,"","","",1,1,"","","",1,[1],0,"",""
4,"blood_mage_surge","",20414,131,"","",1,1,"","","",1,1,"","","",1,[1],0.1,"",""
5,"rathpith_surge","",22124,132,"L_Weapon","",1,1,"","","","","","","",1,1,[1],0,"",""
6,"active_skill_consumes_cold_infusion","",23385,"","","",1,1,"","","",1,1,"","","",1,[1],0,"",""
7,"active_skill_consumes_fire_infusion","",23386,"","","",1,1,"","","",1,1,"","","",1,[1],0,"",""
8,"active_skill_consumes_lightning_infusion","",23387,"","","",1,1,"","","",1,1,"","","",1,[1],0,"",""
9,"ArbiterOfDivinitySurge","",25859,133,"","",1,1,"","","",1,1,"","","",1,"[0,1,62]",0,"",""
10,"ArbiterOfDivinityEmpoweredSurge","",25860,134,"","",1,1,"","","",1,1,"","","",1,"[0,1,62]",0,"",""
11,"VerisiumSurge","",26063,135,"","",1,1,"","","",1,1,"","","",1,"[1,19]",0,"",""
12,"ArbiterOfDivinityBossFightDivinity","",26379,136,"","",1,1,"","","",1,1,"","","",1,[],0,"",""
13,"divine_opportunity_flask_surge","",19982,137,"","",1,1,"","","",1,1,"","","",1,"[0,1]",0,"",""
