"rownum","Id","AOFile"
0,"Any","Metadata/Monsters/WereBear/WereBear.ao"
1,"WereBear","Metadata/Monsters/WereBear/WereBear.ao"
2,"WereWolf","Metadata/Monsters/WereWolf/WereWolf.ao"
3,"DemonForm","Metadata/Characters/Int/Forms/DemonForm/DemonForm.ao"
4,"WereWyvern","Metadata/Monsters/WereWyvern/WereWyvern.ao"
5,"WereTree","Metadata/Monsters/WereTree/WereTree.ao"
6,"MtxCrocWereBear","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereBearCrocodile/WereBearCrocodile.ao"
7,"MtxWerePandaBear","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereBearPanda/ShiftingWerePanda.ao"
8,"UniqueVesselOfWrath","Metadata/Monsters/WereBear/VesselOfWrathBalrog.ao"
9,"MtxWarbringerBear","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereBearWarbringer/Warbringer.ao"
10,"MtxSnappingTurtleWereWyvern","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereWyvernSnappingTurtle/WereWyvernSnappingTurtle.ao"
11,"MtxSnakeWereWolf","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereWolfSnake/Snake_WereWolf.ao"
12,"MtxBatWereWyvern","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereWyvernBat/WereWyvernBat.ao"
13,"MtxWereBoarBear","Metadata/Effects/Microtransactions/ShapeshiftSkin/WereBearBoar/WereBoar.ao"
