"rownum","Id","bool_8","bool_9","rid_10","[rid]_26","rid_42","rid_58","rid_74","[rid]_90","rid_106","rid_122","i32_138","bool_142","rid_143","bool_159","bool_160","[rid]_161","bool_177","i32_178","MapObjective","i32_198","MapContent","i32_218","AtlasStats"
0,"Shrines",1,1,15947,[],15998,12935,21533,"[2402,9225,9224]",5387,"",10,"","",1,"",[21533],1,380,10,0,"",4839,[]
1,"Strongboxes",1,1,15957,[2465],15999,"",21605,[2401],5430,"",2,"","","","",[21605],1,363,11,0,"",4839,[]
2,"Breach","",1,15158,[8689],12431,"",16030,"[5242,5366,24061]",5241,"",3,"","","","",[16030],"",100,4,100,1,4290,[26742]
3,"Delirium","",1,15165,[],12795,"",16031,[11647],"","",1,"","","","",[16031],"",100,6,100,3,4126,"[26738,26715]"
4,"Ritual","",1,15163,[],13166,"",16036,[13165],"","",1,"","","","",[16036],"",100,7,100,4,4349,[26740]
5,"Expedition","",1,15159,[],13830,27259,16032,"[13328,27260]","","",1,"","","",1,[16032],"",100,5,100,"",4839,[]
6,"Essences",1,1,15961,[],16001,14538,21564,"[4679,5367]",5247,"",10,"","","","",[21564],1,143,12,0,"",4839,[]
7,"RogueExiles",1,1,15946,[1843],15997,12938,21584,"[2191,3143]",5235,"",10,"",1386,"","",[21584],1,80,13,0,"",4839,[]
8,"Spirits",1,1,15958,[2698],16000,12934,21626,"[2489,2699]",5353,"",10,"","","","",[21626],1,363,14,0,"",4839,[]
9,"StoneCircles",1,1,15959,[],24106,"",24107,"[3247,24108]","","",1,"","",1,"",[24107],"",80,15,0,"",4839,[]
10,"Abyss",1,1,15157,[8689],12882,16478,16028,"[6246,6247,22829]","","",10,"","","","",[16028],"",100,8,100,8,4512,[26739]
11,"Incursion",1,1,"",[],"","","","[7234,25981]","","",1,"","",1,"",[],"",0,16,100,7,4839,[26741]
12,"Expedition2",1,1,"",[],"","","","[24795,27092]",25814,"",10,"","","","",[],"",0,17,0,"",4839,[]
