"rownum","BaseItemType","Art"
0,624,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
1,625,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
2,626,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
3,627,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
4,628,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
5,629,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
6,630,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
7,631,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
8,632,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
9,633,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
10,634,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
11,635,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
12,636,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
13,637,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
14,638,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
15,639,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
16,640,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
17,641,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
18,642,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
19,643,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
20,644,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
21,645,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
22,646,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
23,647,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
24,648,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
25,649,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
26,650,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
27,651,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
28,652,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
29,653,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
30,664,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
31,665,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
32,666,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
33,668,"Art/2DArt/UIImages/InGame/RuneSocketFilled"
