"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,"Abyss","Abyss","Abyss","Abyss","アビス","심연","Abismo","Бездна","Abyss","Abyss","無盡深淵"
1,"Acid","Acid","Acide","Ätzend","酸","산성","Ácido","Кислотные","Ácido","Acid","蝕骨強酸"
2,"AngelsAndDemons","Angels and Demons","Anges & Démons","Engel und Dämonen","天使と悪魔","천사와 악마","Anjos e Demônios","Ангелы и демоны","Ángeles y demonios","Angels and Demons","天使和惡魔"
3,"Animal","Animal","Animaux","Tiere","動物","동물","Animal","Животные","Animal","Animal","動物"
4,"Apocalypse","Apocalypse","Apocalypse","Apokalypse","黙示録","종말","Apocalipse","Апокалипсис","Apocalipsis","Apocalypse","末日"
5,"Apollyon","Apollyon","Apollyon","Apollyon","アポリオン","지옥 악마","Apollyon","Аполлион","Abadón","Apollyon","煉獄帝王"
6,"Arcane","Arcane","Arcane","Arkan","アーケイン","비전","Arcano","Колдовские","Arcano","Arcane","秘術"
7,"Archnemesis","Archnemesis","Archnemesis","Archnemesis","アーチネメシス","강적","Archnemesis","Возмездие","Archnemesis","Archnemesis","強襲宿敵"
8,"Arctic","Arctic","Arctique","Arktisch","極寒","한기","Ártico","Северные","Ártico","Arctic","極地"
9,"Ascendancy","Ascendancy","Ascendance","Aszendenz","アセンダンシー","전직","Ascendência","Восхождение","Ascendencia","Ascendancy","昇華試煉"
10,"Atlantis","Atlantis","Atlantide","Atlantis","アトランティス","아틀란티스","Atlantis","Атлантида","Atlantis","Atlantis","亞特蘭提斯"
11,"Atlas","Atlas","Atlas","Atlas","アトラス","아틀라스","Atlas","Атлас","Atlas","Atlas","輿圖"
12,"Auspicious","Auspicious","Faste","Verheißungsvoll","吉兆","상서로운","Auspicioso","Auspicious","Auspicioso","Auspicious","吉祥福兆"
13,"Beast","Beast","Bête","Bestie","野獣","야수","Fera","Зверь","Bestia","Beast","野獸"
