"rownum","Id","NPC","NPCAudio","DialogueCondition","i32_56","i32_60","Script"
0,"RenlyBuyArmour","[275,276,277]",12141,[8],0,1,""
1,"RenlyBuyWeapon","[275,276,277]",12163,[7],0,1,""
2,"RenlySellItem","[275,276,277]",12205,[1],0,1,""
3,"RenlyOpenShop","[275,276,277]",12185,[2],0,1,""
4,"AlvaCloseShopNoBuy","[393,624,625]",13014,[4],0,1,""
5,"AlvaGambleNormal","[393,624,625]",13037,[9],0,1,""
6,"AlvaGambleMagic","[393,624,625]",13024,[10],0,1,""
7,"AlvaGambleRare","[393,624,625]",13071,[11],0,1,""
8,"AlvaGambleUnique","[393,624,625]",13101,[12],0,1,""
9,"AlvaOpenShop","[393,624,625]",13056,[2],0,1,""
10,"AlvaSell","[393,624,625]",13084,[1],0,1,""
11,"OswaldBuyArmour","[403,404,405,406]",13114,[8],0,1,""
12,"OswaldBuyMelee","[403,404,405,406]",13152,[13],0,1,""
13,"OswaldBuyNormal","[403,404,405,406]",13160,[9],0,3,""
14,"OswaldBuyMagic","[403,404,405,406]",13137,[10],0,3,""
15,"OswaldBuyRare","[403,404,405,406]",13181,[11],0,3,""
16,"FinnGambleNormal","[291,294,749]",13246,[9],0,1,""
17,"FinnGambleMagic","[291,294,749]",13226,[10],0,1,""
18,"FinnGambleRare","[291,294,749]",13270,[11],0,1,""
19,"FinnGambleUnique","[291,294,749]",13283,[12],0,1,""
20,"FinnOpenShop","[291,294,749]",13297,[2],0,1,""
21,"FinnSell","[291,294,749]",13313,[1],0,1,""
22,"UnaBuyFlaskLife","[283,284,285,289]",13330,[14],5,1,""
23,"UnaBuyFlaskMana","[283,284,285,289]",13344,[15],5,1,""
24,"UnaBuyGeneric","[283,284,285,289]",13354,[0],0,1,""
25,"UnaOpenShop","[283,284,285,289]",13399,[2],0,1,""
26,"UnaSell","[283,284,285,289]",13414,[1],0,1,""
27,"ServiBuy",[407],13428,[0],0,1,""
28,"ServiBuyCharm",[407],13439,[16],5,1,""
29,"ServiBuyFlaskLife",[407],13450,[14],5,1,""
30,"ServiBuyFlaskMana",[407],13466,[15],5,1,""
31,"ServiOpenShop",[407],13504,[2],0,1,""
32,"ServiSell",[407],13519,[1],0,1,""
33,"DannigEGOpenShop","[630,173]",13624,[2],0,1,""
34,"DannigEGExchange","[630,173]",13594,[0],0,1,""
35,"ShambrinOpenShop",[330],13714,[2],0,1,""
36,"ShambrinBuyArmour",[330],13660,[8],1,2,""
37,"ShambrinBuyWeapon",[330],13691,[7],1,2,""
38,"ShambrinBuyGeneric",[330],13677,[0],1,1,""
39,"ShambrinSellGeneric",[330],13729,[1],0,1,""
40,"RisuOpenShop","[359,360,361]",13803,[2],0,1,""
41,"RisuSellGeneric","[359,360,361]",13818,[1],0,1,""
42,"SebastianOpenShop",[640],14378,[2],0,1,""
43,"SebastianBuyGeneric",[640],14387,[0],0,1,""
44,"SebastianSellGeneric",[640],14396,[1],0,1,""
45,"GwendolynOpenShop",[641],14419,[2],0,1,""
46,"GwendolynBuy",[641],14423,[0],0,1,""
47,"GwendolynSell",[641],14427,[1],0,1,""
48,"NamelessSeerOpenShop",[645],14436,[2],0,1,""
49,"NamelessSeerBuy",[645],14439,[0],0,1,""
50,"CauldronCroneBuy",[642],10535,[0],0,1,""
51,"CauldronCroneSell",[642],10537,[1],0,1,""
52,"DannigA4OpenShop","[514,630]",17952,[2],0,1,""
53,"DannigA4BuyWeapon","[514,630]",17965,[7],0,1,""
54,"DannigA4BuyArmour","[514,630]",17977,[8],0,1,""
55,"DannigA4SellGeneric","[514,630]",17988,[1],0,1,""
56,"DannigA4ExitNoBuy","[514,630]",17999,[4],0,1,""
57,"RogA4OpenShop","[509,510]",18023,[2],0,1,""
58,"RogA4BuyMagicItem","[509,510]",18035,[16],5,1,""
59,"RogA4BuyGeneric","[509,510]",18071,[0],1,1,""
60,"RogA4SellGeneric","[509,510]",18047,[1],0,1,""
61,"CrueltyGamblerMTX_Normal",[777],18239,[9],0,1,""
62,"CrueltyGamblerMTX_Magic",[777],18243,[10],0,1,""
63,"CrueltyGamblerMTX_Rare",[777],18247,[11],0,1,""
64,"CrueltyGamblerMTX_Unique",[777],18251,[12],0,1,""
65,"CrueltyGamblerMTX_Open",[777],18359,[2],0,1,""
66,"CrueltyGamblerMTX_Sell",[777],18255,[1],0,1,""
67,"CrueltyGamblerMTX_Close",[777],18372,[3],0,1,""
68,"MariusOpenShop",[731],19129,[2],0,1,""
69,"MariusBuyGeneric",[731],19135,[0],0,1,""
70,"MariusSellGeneric",[731],19117,[1],0,1,""
71,"MariusBuybackGeneric",[731],19108,[30],0,1,""
72,"WraithHoodedVendor_BuyGeneric",[792],19148,[0],0,1,""
73,"WraithHoodedVendor_SellGeneric",[792],19156,[1],0,1,""
74,"AsalaP2_BuyArmour","[753,784,785]",19362,[8],0,1,""
75,"AsalaP2_BuyWeapon","[753,784,785]",19378,[7],0,1,""
76,"AsalaP2_SellGeneric","[753,784,785]",19401,[1],0,1,""
77,"AsalaP2_Buyback","[753,784,785]",19370,[30],0,1,""
78,"AsalaP2_OpenShop","[753,784,785]",19393,[2],0,1,""
79,"DelwynP3_OpenShop",[769],19470,[2],0,1,""
80,"DelwynP3_BuyArmour",[769],19438,[8],0,1,""
81,"DelwynP3_BuyWeapon",[769],19454,[7],0,1,""
82,"DelwynP3_SellItem",[769],19478,[1],0,1,""
83,"DelwynP3_Buyback",[769],19446,[30],0,1,""
84,"Madox_BuyItem",[787],19486,[0],0,1,""
