"rownum","Id","Normal_EPKFile","Normal_Closed_AOFile","Normal_Open_AOFile","Magic_EPKFile","Unique_EPKFile","Rare_EPKFile","Magic_Closed_AOFile","Unique_Closed_AOFile","Rare_Closed_AOFile","Magic_Open_AOFile","Unique_Open_AOFile","Rare_Open_AOFile","Normal_Open_EPKFile","Magic_Open_EPKFile","Rare_Open_EPKFile","Unique_Open_EPKFile"
0,"Strongbox","Metadata/Effects/Environment/Endgame/Strongboxes/epk/rarity_normal.epk","","","Metadata/Effects/Environment/Endgame/Strongboxes/epk/rarity_magic.epk","Metadata/Effects/Environment/Endgame/Strongboxes/epk/rarity_rare.epk","","","","","","","","Metadata/Effects/Environment/Endgame/Strongboxes/epk/opening_normal.epk","Metadata/Effects/Environment/Endgame/Strongboxes/epk/opening_magic.epk","Metadata/Effects/Environment/Endgame/Strongboxes/epk/opening_vertical_rare.epk",""
1,"BigStrongbox","Metadata/Effects/Environment/Endgame/Strongboxes/epk/rarity_normal.epk","","","Metadata/Effects/Environment/Endgame/Strongboxes/epk/rarity_magic.epk","Metadata/Effects/Environment/Endgame/Strongboxes/epk/rarity_rare.epk","","","","","","","","Metadata/Effects/Environment/Endgame/Strongboxes/epk/opening_vertical_normal.epk","Metadata/Effects/Environment/Endgame/Strongboxes/epk/opening_vertical_magic.epk","Metadata/Effects/Environment/Endgame/Strongboxes/epk/opening_vertical_rare.epk",""
2,"SmallStrongbox","Metadata/Particles/enviro_effects/chests/Strongboxes/smlstrongbox/smlstrongbox_white.epk","Metadata/Effects/Environment/chests/Strongboxes/smlstrongboxwhiteloopfx.ao","Metadata/Effects/Environment/chests/Strongboxes/smlstrongboxwhiteopenfx.ao","Metadata/Particles/enviro_effects/chests/Strongboxes/smlstrongbox/smlstrongbox_blue.epk","Metadata/Particles/enviro_effects/chests/Strongboxes/smlstrongbox/smlstrongbox_brown.epk","","Metadata/Effects/Environment/chests/Strongboxes/smlstrongboxblueloopfx.ao","Metadata/Effects/Environment/chests/Strongboxes/smlstrongboxbrownloopfx.ao","","Metadata/Effects/Environment/chests/Strongboxes/smlstrongboxblueopenfx.ao","Metadata/Effects/Environment/chests/Strongboxes/smlstrongboxbrownopenfx.ao","","","","",""
3,"ExtraBigStrongbox","Metadata/Particles/enviro_effects/chests/Strongboxes/xtrabigstrongbox/xtrabigstrongbox_white.epk","Metadata/Effects/Environment/chests/Strongboxes/xtrabigstrongboxwhiteloopfx.ao","Metadata/Effects/Environment/chests/Strongboxes/xtrabigstrongboxwhiteopenfx.ao","Metadata/Particles/enviro_effects/chests/Strongboxes/xtrabigstrongbox/xtrabigstrongbox_blue.epk","Metadata/Particles/enviro_effects/chests/Strongboxes/xtrabigstrongbox/xtrabigstrongbox_brown.epk","","Metadata/Effects/Environment/chests/Strongboxes/xtrabigstrongboxblueloopfx.ao","Metadata/Effects/Environment/chests/Strongboxes/xtrabigstrongboxbrownloopfx.ao","","Metadata/Effects/Environment/chests/Strongboxes/xtrabigstrongboxblueopenfx.ao","Metadata/Effects/Environment/chests/Strongboxes/xtrabigstrongboxbrownopenfx.ao","","","","",""
4,"BootyChest","Metadata/Particles/enviro_effects/chests/Strongboxes/strongbox/bootychest_brown.epk","Metadata/Effects/Environment/chests/Strongboxes/bootychestbrownloopfx.ao","Metadata/Effects/Environment/chests/Strongboxes/bootychestbrownopenfx.ao","","","","","","","","","","","","",""
5,"VaalChest","","Metadata/Effects/Environment/chests/VaalChests/bloodbubble_idle.ao","Metadata/Effects/Environment/chests/VaalChests/bloodbubble_open.ao","","","","","","","","","","","","",""
6,"Reliquary","","","","","","","","","Metadata/Effects/Environment/chests/classicvault/ClassicVaultIdle.ao","","","Metadata/Effects/Environment/chests/classicvault/ClassicVaultOpen.ao","","","",""
7,"TutorialChest","Metadata/Particles/enviro_effects/chests/Strongboxes/strongbox/bootychest_brown.epk","","","","","","","","","","","","","","",""
8,"IncursionTier1","Metadata/Particles/enviro_effects/chests/incursion_temple/loot1.epk","Metadata/Effects/misc/Incursion_VaalChest_attachments/loot1.ao","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGold.ao","","","","","","","","","","","","",""
9,"IncursionTier2","Metadata/Particles/enviro_effects/chests/incursion_temple/loot2.epk","Metadata/Effects/misc/Incursion_VaalChest_attachments/loot2.ao","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGold.ao","","","","","","","","","","","","",""
10,"IncursionTier3","Metadata/Particles/enviro_effects/chests/incursion_temple/loot3.epk","Metadata/Effects/misc/Incursion_VaalChest_attachments/loot3.ao","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGold.ao","","","","","","","","","","","","",""
11,"IncursionTier4","Metadata/Particles/enviro_effects/chests/incursion_temple/loot4.epk","Metadata/Effects/misc/Incursion_VaalChest_attachments/loot4.ao","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGold.ao","","","","","","","","","","","","",""
12,"IncursionPoisonRoom","Metadata/Particles/enviro_effects/chests/incursion_temple/toxic_particles.epk","","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenToxic.ao","","","","","","","","","","","","",""
13,"IncursionHealingRoom","Metadata/Particles/enviro_effects/chests/incursion_temple/healing_particles.epk","","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenBlue.ao","","","","","","","","","","","","",""
14,"IncursionTrapRoom","Metadata/Particles/enviro_effects/chests/incursion_temple/gold_particles.epk","","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGold.ao","","","","","","","","","","","","",""
15,"IncursionFireRoom","Metadata/Particles/enviro_effects/chests/incursion_temple/fire_particles.epk","","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenGold.ao","","","","","","","","","","","","",""
16,"IncursionLightningRoom","Metadata/Particles/enviro_effects/chests/incursion_temple/bosslightning_particles.epk","","Metadata/Effects/misc/Incursion_VaalChest_attachments/OpenLightnin.ao","","","","","","","","","","","","",""
