"rownum","Id","Icon","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_24","i32_28","Acts","bool_48","string_49"
0,"Player","Art/2DArt/UIImages/InGame/MapLegend/ActsPlayerLocation","Current Location","Emplacement actuel","Aktueller Standort","現在地","현재 위치","Localização Atual","Текущее местонахождение","Ubicación actual","<size:32>{ตำแหน่งปัจจุบัน}","目前位置",44,44,"[0,1,2,3,4,5]",1,""
1,"Town","Art/2DArt/UIImages/InGame/WorldMap/AreaNodeTown","Town","Ville","Stadt","街","마을","Vila","Поселение","Pueblo","<size:32>{เมือง}","城鎮",70,70,"[0,1,2,3,4,5]",1,""
2,"Unknown","Art/2DArt/UIImages/InGame/WorldMap/AreaNodeUnknown","Unknown Area","Zone inconnue","Unbekanntes Gebiet","未知のエリア","미확인 지역","Área Desconhecida","Неизвестная область","Área desconocida","<size:32>{ด่านปริศนา}","未知區域",70,70,"[0,1,2,3,4,5]",1,""
3,"ActPin","Art/2DArt/UIImages/InGame/WorldMap/AreaNode","Visited Area","Zone visitée","Entdecktes Gebiet","訪れたエリア","방문한 지역","Área Visitada","Посещённая область","Área visitada","<size:32>{ด่านที่เคยเยือน}","已探索區域",70,70,"[0,1,2,3,4,5]",1,""
4,"Waypoint","Art/2DArt/UIImages/InGame/WorldMap/AreaNodeWaypoint","Area with Inactive Waypoint","Zone avec un Point de téléportation inactif","Gebiet mit inaktivem Wegpunkt","アクティブでないウェイポイントのあるエリア","거점 비활성화 지역","Área com Ponto de Rota Inativo","Область с неактивным порталом","Área con un transportador inactivo","<size:32>{ด่านที่ยังไม่ได้เปิดเวย์พอยน์}","傳送點未啟動",70,70,"[0,1,2,3,4,5]",1,""
5,"VisitedWaypoint","Art/2DArt/UIImages/InGame/WorldMap/AreaNodeWaypointVisited","Area with Active Waypoint","Zone avec un Point de téléportation actif","Gebiet mit aktivem Wegpunkt","アクティブなウェイポイントのあるエリア","거점 활성화 지역","Área com Ponto de Rota Ativo","Область с активным порталом","Área con un transportador activo","<size:32>{ด่านที่เปิดเวย์พอยน์แล้ว}","傳送點已啟動",70,70,"[0,1,2,3,4,5]",1,""
6,"Quest","Art/2DArt/UIImages/InGame/MapLegend/ActsQuestLocation","Quest Location","Emplacement de quête","Queststandort","クエスト地点","퀘스트 위치","Local da Missão","Место задания","Ubicación de misión","<size:32>{ตำแหน่งเควสต์}","任務所在區域",44,44,"[0,1,2,3,4,5]",1,""
7,"Travel","Art/2DArt/UIImages/InGame/WorldMap/TravelNode","Travel Destination","Destination","Reiseziel","目的地","이동 목적지","Destino da Viagem","Место назначения","Destino del viaje","<size:32>{จุดหมายในการเดินทาง}","快行目的地",70,70,[1],1,""
8,"LandmarkRare","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentRareMonster","Rare Monster Encounter","Rencontre de monstre rare","Begegnung mit seltenem Monster","レアモンスターエンカウンター","희귀 몬스터 인카운터","Encontro com Monstro Raro","Стычка с редким монстром","Encuentro de monstruo raro","<size:32>{การเผชิญหน้ามอนสเตอร์แรร์}","稀有怪物遭遇",40,40,"[0,1,2,3,4,5]","",""
9,"LandmarkRareUpgrade","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentRareMonsterUpgrade","Rare Monster Encounter with Upgrade","Rencontre de monstre rare avec Amélioration","Begegnung mit seltenem Monster samt Aufwertung","アップグレードを持つレアモンスターエンカウンター","업그레이드가 있는 희귀 몬스터 인카운터","Encontro com Monstro Raro com Atualização","Стычка с редким монстром с улучшением","Encuentro de monstruo raro con mejora","<size:32>{การเผชิญหน้ามอนสเตอร์แรร์ที่มี อัพเกรด}","附帶升級的稀有怪物遭遇",40,40,[],"",""
10,"LandmarkRareSanctumKey","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentRareMonsterSanctum","Rare Monster Encounter with Djinn Barya","Rencontre de monstre rare avec Barya du Djinn","Begegnung mit seltenem Monster samt Djinn-Barya","ジンのバリャを持つレアモンスターエンカウンター","진 바리야가 있는 희귀 몬스터 인카운터","Encontro com Monstro Raro com Barya de Djinn","Стычка с редким монстром с барией Джинна","Encuentro de monstruo raro con barya de genio","<size:32>{การเผชิญหน้ามอนสเตอร์แรร์ที่มี บาร์ย่าจินน์}","附帶巨靈之幣的稀有怪物遭遇",40,40,[1],"",""
11,"LandmarkRareUltimatumKey","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentRareMonsterUltimatum","Rare Monster Encounter with Inscribed Ultimatum","Rencontre de monstre rare avec Ultimatum gravé","Begegnung mit seltenem Monster samt Inschrift des Ultimatums","アルティメイタムの刻印を持つレアモンスターエンカウンター","새겨진 결전이 있는 희귀 몬스터 인카운터","Encontro com Monstro Raro com Ultimato Inscrito","Стычка с редким монстром с начертанным Ультиматумом","Encuentro de monstruo raro con ultimátum inscrito","<size:32>{การเผชิญหน้ามอนสเตอร์แรร์ที่มี คำขาดจารึก}","附帶最後通牒雕刻的稀有怪物遭遇",40,40,[],"",""
12,"UniqueMonster","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBoss","Boss Encounter","Rencontre de Boss","Begegnung mit Boss","ボスエンカウンター","보스 인카운터","Encontro com Chefe","Схватка с боссом","Encuentro de jefe","<size:32>{การเผชิญหน้าบอส}","頭目遭遇",40,40,"[0,1,2,3,4,5]","",""
13,"UniqueMonsterUpgrade","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBossUpgrade","Boss Encounter with Upgrade","Rencontre de Boss avec amélioration","Begegnung mit Boss samt Aufwertung","アップグレードを持つボスエンカウンター","업그레이드가 있는 보스 인카운터","Encontro com Chefe com Atualização","Схватка с боссом с улучшением","Encuentro de jefe con mejora","<size:32>{การเผชิญหน้าบอสที่มี อัพเกรด}","附帶升級的頭目怪物遭遇",40,40,"[0,1,2,3,4,5]","",""
14,"UniqueMonsterSanctumKey","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBossSanctum","Boss Encounter with Djinn Barya","Rencontre de Boss avec Barya du Djinn","Begegnung mit Boss samt Djinn-Barya","ジンのバリャを持つボスエンカウンター","진 바리야가 있는 보스 인카운터","Encontro com Chefe com Barya de Djinn","Схватка с боссом с барией Джинна","Encuentro de jefe con barya de genio","<size:32>{การเผชิญหน้าบอสที่มี บาร์ย่าจินน์}","附帶巨靈之幣的頭目遭遇",40,40,[1],"",""
15,"UniqueMonsterUltimatumKey","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBossUltimatum","Boss Encounter with Inscribed Ultimatum","Rencontre de Boss avec Ultimatum gravé","Begegnung mit Boss samt Inschrift des Ultimatums","アルティメイタムの刻印を持つボスエンカウンター","새겨진 결전이 있는 보스 인카운터","Encontro com Chefe com Ultimato Inscrito","Схватка с боссом с начертанным Ультиматумом","Encuentro de jefe con ultimátum inscrito","<size:32>{การเผชิญหน้าบอสที่มี คำขาดจารึก}","附帶最後通牒雕刻的頭目遭遇",40,40,[2],"",""
16,"ActBoss","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentActBoss","Act Boss Encounter","Rencontre de Boss d'Acte","Begegnung mit Akt-Boss","アクトボスエンカウンター","장 보스 인카운터","Encontro com Chefe de Ato","Сражение с боссом Акта","Encuentro de jefe de acto","<size:32>{การเผชิญหน้าบอสประจำบท}","章節頭目遭遇",40,40,"[0,1,2,3,4,5]","",""
17,"LandmarkChest","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentChest","Notable Chest","Coffre important","Bedeutende Truhe","ノータブルチェスト","주요 상자","Baú Notável","Значимый сундук","Cofre notable","<size:32>{หีบเด่น}","核心箱子",40,40,"[0,1,2,3,4,5]","",""
18,"LandmarkLoot","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentBag","Notable Item","Objet important","Bedeutender Gegenstand","ノータブルアイテム","주요 아이템","Item Notável","Значимый предмет","Objeto notable","<size:32>{ไอเทมเด่น}","核心物品",40,40,"[0,1,2,3,4,5]","",""
19,"LandmarkCamp","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentCamp","Notable Camp","Camp important","Bedeutendes Lager","ノータブルキャンプ","주요 야영지","Acampamento Notável","Значимый лагерь","Campamento notable","<size:32>{ค่ายเด่น}","核心營地",40,40,[2],"",""
20,"LandmarkEvent","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentQuestionMark","Notable Event","Évènement important","Bedeutendes Ereignis","ノータブルイベント","주요 이벤트","Evento Notável","Значимое событие","Evento notable","<size:32>{เหตุการณ์เด่น}","核心事件",40,40,[2],"",""
21,"LandmarkEventUpgrade","Art/2DArt/UIImages/InGame/WorldMap/WorldMapContentQuestionMarkUpgrade","Notable Event with Upgrade","Évènement important avec Amélioration","Bedeutendes Ereignis samt Aufwertung","アップグレードを持つノータブルイベント","업그레이드가 있는 주요 이벤트","Evento Notável com Atualização","Значимое событие с улучшением","Evento notable con mejora","<size:32>{เหตุการณ์เด่นที่มี อัพเกรด}","附帶升級的核心事件",40,40,[2],"",""
22,"EndGameCurrentLocation","Art/2DArt/UIImages/InGame/MapLegend/CurrentLocation","Current Location","Current Location","Aktueller Standort","現在値","현재 위치","Localização Atual","Текущее местонахождение","Ubicación actual","<size:32>{ตำแหน่งปัจจุบัน}","當前地點",50,50,[6],1,""
23,"EndGamePin","Art/2DArt/UIImages/InGame/MapLegend/AreaNode","[MapNode|Map Node]","[MapNode|Node de Carte]","[MapNode|Kartenpunkt]","[MapNode|マップノード] ","[MapNode|지도 노드]","[MapNode|Nó do Mapa]","[MapNode|Узел карты]","[MapNode|Nodo de mapa]","<size:32>{[MapNode|ตำแหน่งแผนที่]}","[MapNode|地圖節點]",50,50,[6],1,""
24,"EndGamePinAccessible","Art/2DArt/UIImages/InGame/MapLegend/AreaNodeAccessible","Map Node (Accessible)","Node de Carte (Accessible)","Kartenpunkt (zugänglich)","マップノード (アクセス可能 )","지도 노드 (접근 가능)","Nó do Mapa (Acessível)","Узел карты (доступный)","Nodo de mapa (accesible)","<size:32>{ตำแหน่งแผนที่ (เข้าถึงได้)}","地圖節點（可進入）",50,50,[6],1,""
25,"EndGamePinInProgress","Art/2DArt/UIImages/InGame/MapLegend/AreaNodeInProgress","Map Node (In Progress)","Map Node (In Progress)","Kartenpunkt (aktiv)","マップノード (進行中)","지도 노드 (진행 중)","Nó do Mapa (em andamento)","Узел карты (в прогрессе)","Nodo de mapa (en curso)","<size:32>{ตำแหน่งแผนที่ (กำลังผจญภัย)}","地圖節點（進行中）",50,50,[6],1,""
26,"EndGamePinComplete","Art/2DArt/UIImages/InGame/MapLegend/AreaNodeCompleted","Map Node (Complete)","Node de Carte (Complété)","Kartenpunkt (abgeschlossen)","マップノード (完了 )","지도 노드 (완료)","Nó do Mapa (Concluído)","Узел карты (завершённый)","Nodo de mapa (completo)","<size:32>{ตำแหน่งแผนที่ (สำเร็จ)}","地圖節點（完成）",50,50,[6],1,""
27,"EndGamePinFailed","Art/2DArt/UIImages/InGame/MapLegend/AreaNodeFailed","Map Node (Failed)","Node de Carte (Échoué)","Kartenpunkt (fehlgeschlagen)","マップノード (失敗 )","지도 노드 (실패)","Nó do Mapa (Fracassou)","Узел карты (проваленный)","Nodo de mapa (fallado)","<size:32>{ตำแหน่งแผนที่ (ล้มเหลว)}","地圖節點（失敗）",50,50,[6],1,""
28,"EndGameTower","Art/2DArt/UIImages/InGame/MapLegend/LostTower","[PrecursorTower|Precursor Tower]","[PrecursorTower|Tour des Prédécesseurs]","[PrecursorTower|Turm der Wegbereiter]","[PrecursorTower|先人の塔]","[PrecursorTower|선도자 탑]","[PrecursorTower|Torre Precursora]","[PrecursorTower|Башня Предтеч]","[PrecursorTower|Torre precursora]","<size:32>{[PrecursorTower|หอคอยกลุ่มชนก่อนกาล]}","[PrecursorTower|先行者高塔]",50,50,[6],1,""
29,"EndGameWaypoint","Art/2DArt/UIImages/InGame/MapLegend/Waypoint","[EndgameHub|Landmark Areas]","[EndgameHub|Landmark Areas]","[EndgameHub|Landmarken]","[EndgameHub|ランドマークエリア]","[EndgameHub|랜드마크 지역]","[EndgameHub|Áreas de Referência]","[EndgameHub|Ориентиры]","[EndgameHub|Áreas de interés]","<size:32>{[EndgameHub|ด่านจุดสังเกต]}","[EndgameHub|地標區域]",50,50,[6],1,""
30,"EndGameMapBoss","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentMapBoss","[PowerfulMapBoss|Powerful Map Boss]","[PowerfulMapBoss|Boss de Carte puissant]","[PowerfulMapBoss|Mächtiger Kartenboss]","[PowerfulMapBoss|強力なマップボス]","[PowerfulMapBoss|강한 지도 보스]","[PowerfulMapBoss|Chefe de Mapa Poderoso]","[PowerfulMapBoss|Могучий босс карты]","[PowerfulMapBoss|Jefe de mapa poderoso]","<size:32>{[PowerfulMapBoss|บอสประจำแผนที่ที่ทรงพลัง]}","[PowerfulMapBoss|強大地圖頭目]",50,50,[6],"",""
31,"EndGameDeadlyMapBoss","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasIconContent/AtlasIconContentMapBossSpecial","[DeadlyMapBoss|Deadly Map Boss]","[DeadlyMapBoss|Boss de Carte mortel]","[DeadlyMapBoss|Tödlicher Kartenboss]","[DeadlyMapBoss|致命的なマップボス]","[DeadlyMapBoss|강력한 지도 보스]","[DeadlyMapBoss|Chefe de Mapa Mortal]","[DeadlyMapBoss|Смертоносный босс карты]","[DeadlyMapBoss|Jefe de mapa letal]","<size:32>{[DeadlyMapBoss|บอสประจำแผนที่มฤตยู]}","[DeadlyMapBoss|致命地圖頭目]",50,50,[6],"",""
