"rownum","Id","BackgroundArt","BlockedArt","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","i32_32","i32_36","f32_40","f32_44","f32_48","SkillTree","f32_68"
0,"YellowBlockerBoss1","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Complete the Western Enigma Chamber to unlock","Complete the Western Enigma Chamber to unlock","Zum Freischalten schließe die Westliche Rätselkammer ab","西のエニグマの間を完了してアンロックする","해제하려면 서쪽 수수께끼 석실을 완료해야 합니다.","Conclua a Câmara Enigma Ocidental para desbloquear","Для разблокировки завершите Западный зал загадок","Completa la Cámara de enigmas occidental para desbloquearlo","ปลดล็อกได้ด้วยการผ่านห้องอาถรรพ์ตะวันตก","完成西側謎團密室以解鎖",1,4086,-480,-4117,0,2,0.5
1,"YellowBlockerBoss2","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Complete the Eastern Enigma Chamber to unlock","Complete the Eastern Enigma Chamber to unlock","Zum Freischalten schließe die Östliche Rätselkammer ab","東のエニグマの間を完了してアンロックする","해제하려면 동쪽 수수께끼 석실을 완료해야 합니다.","Conclua a Câmara Enigma Oriental para desbloquear","Для разблокировки завершите Восточный зал загадок","Completa la Cámara de enigmas oriental para desbloquearlo","ปลดล็อกได้ด้วยการผ่านห้องอาถรรพ์ตะวันออก","完成東側謎團密室以解鎖",1,4088,480,-4117,0,2,0.5
2,"WhiteBlocker1","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Complete the Eastern or Western Gateway to unlock","Complete the Eastern or Western Gateway to unlock","Zum Freischalten schließe die Östliche oder Westliche Pforte ab","東または西のゲートウェイを完了してアンロックする","해제하려면 동쪽 또는 서쪽 관문을 완료해야 합니다.","Conclua o Portal Ocidental ou Oriental para desbloquear","Для разблокировки завершите Восточные или Западные ворота","Completa la Entrada oriental u occidental para desbloquearlo","ปลดล็อกได้ด้วยการผ่านห้องอาถรรพ์ตะวันตกหรือออก","完成東側或西側閘門以解鎖",1,4812,2284,-1995,90,2,0.5
3,"WhiteBlocker2","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Complete the Eastern or Western Gateway to unlock","Complete the Eastern or Western Gateway to unlock","Zum Freischalten schließe die Östliche oder Westliche Pforte ab","東または西のゲートウェイを完了してアンロックする","해제하려면 동쪽 또는 서쪽 관문을 완료해야 합니다.","Conclua o Portal Ocidental ou Oriental para desbloquear","Для разблокировки завершите Восточные или Западные ворота","Completa la Entrada oriental u occidental para desbloquearlo","ปลดล็อกได้ด้วยการผ่านห้องอาถรรพ์ตะวันตกหรือออก","完成東側或西側閘門以解鎖",1,4812,0,-2975,90,2,0.5
4,"WhiteBlocker3","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Complete the Eastern or Western Gateway to unlock","Complete the Eastern or Western Gateway to unlock","Zum Freischalten schließe die Östliche oder Westliche Pforte ab","東または西のゲートウェイを完了してアンロックする","해제하려면 동쪽 또는 서쪽 관문을 완료해야 합니다.","Conclua o Portal Ocidental ou Oriental para desbloquear","Для разблокировки завершите Восточные или Западные ворота","Complete the Eastern or Western Gateway to unlock\r\nComplete the Eastern or Western Gateway to unlock","ปลดล็อกได้ด้วยการผ่านห้องอาถรรพ์ตะวันตกหรือออก","完成東側或西側閘門以解鎖",1,4812,-2309,-1995,90,2,0.5
5,"YellowBlocker1","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Complete the Burning Monolith to unlock","Complete the Burning Monolith to unlock","Zum Freischalten schließe den Brennenden Monolithen ab","燃えるモノリスを完了してアンロックする","해제하려면 불타는 거석을 완료해야 합니다.","Conclua o Monólito Ardente para desbloquear","Для разблокировки завершите Горящий монолит","Completa el Monolito ardiente para desbloquearlo","ปลดล็อกได้ด้วยการผ่านอนุสาวรีย์เพลิงพิโรธ","完成燃燒豐碑以解鎖",1,4089,2568,-5228,90,2,0.5
6,"YellowBlocker2","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Complete the Burning Monolith to unlock","Complete the Burning Monolith to unlock","Zum Freischalten schließe den Brennenden Monolithen ab","燃えるモノリスを完了してアンロックする","해제하려면 불타는 거석을 완료해야 합니다.","Conclua o Monólito Ardente para desbloquear","Для разблокировки завершите Горящий монолит","Completa el Monolito ardiente para desbloquearlo","ปลดล็อกได้ด้วยการผ่านอนุสาวรีย์เพลิงพิโรธ","完成燃燒豐碑以解鎖",1,4089,0,-5360,90,2,0.5
7,"YellowBlocker3","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Complete the Burning Monolith to unlock","Complete the Burning Monolith to unlock","Zum Freischalten schließe den Brennenden Monolithen ab","燃えるモノリスを完了してアンロックする","해제하려면 불타는 거석을 완료해야 합니다.","Conclua o Monólito Ardente para desbloquear","Для разблокировки завершите Горящий монолит","Completa el Monolito ardiente para desbloquearlo","ปลดล็อกได้ด้วยการผ่านอนุสาวรีย์เพลิงพิโรธ","完成燃燒豐碑以解鎖",1,4089,-2565,-5228,90,2,0.5
8,"RedBlocker1","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Complete the Matriarch Halls to unlock","Complete the Matriarch Halls to unlock","Zum Freischalten schließe die Hallen der Matriarchin ab","母祖の広間を完了してアンロックする","해제하려면 가모장의 전당을 완료해야 합니다.","Conclua os Salões Matriarcais para desbloquear","Для разблокировки завершите Залы матриарха","Completa los Salones de la matriarca para desbloquearlo","ปลดล็อกได้ด้วยการผ่านโถงมาตา","完成聖母殿以解鎖",1,4495,2568,-8308,90,2,0.5
9,"RedBlocker2","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageBg","Art/2DArt/UIImages/InGame/AtlasScreen/AtlasPassiveBlockageLock","Defeat the Arbiter of Divinity to unlock","Defeat the Arbiter of Divinity to unlock","Zum Freischalten besiege den Richter der Göttlichkeit","神性のアービターを倒してアンロックする","해제하려면 신성의 중재자를 처치해야 합니다.","Derrote o Árbitro da Divindade para desbloquear","Для разблокировки победите Божественного Арбитра","Derrota al Árbitro de divinidad para desbloquearlo","ปลดล็อกได้ด้วยการสยบตุลาการเทวา","擊敗神聖仲裁者以解鎖",1,4288,0,-8481,90,2,0.5
