"rownum","Id","Tags","rid_24","rid_40","[rid]_56","[rid]_72","i32_88","i32_92"
0,"Maraketh","[1140,1161,1222]","","",[],[],63252,4
1,"Vaal","[1139,1162,1223]","","",[],[],56048,2
2,"Neutral","[1141,1217,1224]","","",[],[],27732,1
3,"Karui","[1171,1155,1225]","","",[],[],49857,9
4,"Ezomyte","[1141,1159,1226]","","",[],[],1341,1
5,"TwilightOrder","[1141,1156,1227]","","",[],[],41784,1
6,"Precursor","[1141,1217,1228]","","",[],[],420,1
7,"Oriathan","[1141,1218,1230]","","",[],[],12775,1
8,"Carver","[1139,1157,1231]","","",[],[],17642,2
9,"LostMen","[1140,1158,1232]","","",[],[],13892,4
10,"Faridun","[1140,1160,1233]","","",[],[],7062,4
