"rownum","Id","Icon","Text"
0,"QuestReward","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/QuestReward","Quest Reward"
1,"Quests","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Quest","Quests"
2,"Gossip","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Talk","Info"
3,"MasterAction","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Master","Actions"
4,"BuyItems","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Shop","Purchase Items"
5,"SellItems","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Sell","Sell Items"
6,"PVP","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/PvP","PvP"
7,"Atlas","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Atlas","Atlas"
8,"Prophecy","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Prophecy","Prophecy"
9,"Cosmic","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Craft","Cosmic"
10,"MasterMission","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/MasterMission","MasterMission"
11,"Accept","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Accept","Accept"
12,"Craft","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Craft","Craft"
13,"Hideout","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Hideout","Hideout"
14,"Portal","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Portal","Portal"
15,"Identify","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Identify","Identify"
16,"Quests2","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Quest","Quests"
17,"Research","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/MasterMission","Research"
18,"Research2","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/MasterMission","Research cont..."
19,"Shrines","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Talk","Shrines"
20,"Entities","Art/2DArt/UIImages/InGame/Mobile/NPC/Icons/Talk","Entities"
