"rownum","Quest","Order","FlagsPresent","FlagsMissing","Text","Text (French)","Text (German)","Text (Japanese)","Text (Korean)","Text (Portuguese)","Text (Russian)","Text (Spanish)","Text (Thai)","Text (Traditional Chinese)","bool_60","Message","Message (French)","Message (German)","Message (Japanese)","Message (Korean)","Message (Portuguese)","Message (Russian)","Message (Spanish)","Message (Thai)","Message (Traditional Chinese)","MapPinsKeys","i32_85","MapPinsText","MapPinsText (French)","MapPinsText (German)","MapPinsText (Japanese)","MapPinsText (Korean)","MapPinsText (Portuguese)","MapPinsText (Russian)","MapPinsText (Spanish)","MapPinsText (Thai)","MapPinsText (Traditional Chinese)","MapPinsKey","WorldArea","bool_129","[i32]_130","[i32]_146","i32_162","SoundEffect","string_182","QuestItem","bool_206","bool_207"
0,0,0,[2936],[],"Quest Complete - You have slain the Bloated Miller and received a reward from Renly.","Quête terminée — Vous avez tué le Meunier boursouflé et avez reçu une récompense de la part de Renly.","Quest abgeschlossen: Ihr habt den Aufgedunsenen Müller getötet und von Renly eine Belohnung erhalten.","クエスト完了 - 腐乱した粉屋を倒し、レンリーから報酬を受け取った","퀘스트 완료 - 불어 터진 방아꾼을 처치하고 렌리에게 보상을 받았습니다.","Missão Concluída: você matou o Moleiro Inchado e recebeu uma recompensa do Renly.","Задание выполнено - Вы убили Раздувшегося мельника и получили награду от Ренли.","Misión completa - Has derrotado al Molinero hinchado y recibido una recompensa de Renly.","เควสต์​เสร็จสิ้น - คุณได้สังหารเจ้าของโรงสีขึ้นอืดและรับรางวัลจากเรนลีย์แล้ว","任務完成——你已經殺掉了浮腫米勒，並且從倫利那裡取得你的任務獎勵。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Concluída","Задание выполнено","Misión completa","เควสต์​เสร็จสิ้น","任務完成",[],0,"","","","","","","","","","","",[],"",[],[],11,"","",[],"",""
1,0,1,[2935],[],"Renly has offered you a reward for slaying the Bloated Miller. Take it.","Renly vous offre une récompense pour avoir tué le Meunier boursouflé. Prenez-la.","Renly hat Euch eine Belohnung dafür angeboten, dass Ihr den Aufgedunsenen Müller getötet habt. Nehmt sie an Euch.","レンリーは腐乱した粉屋を倒した報酬を提示した。受け取れ","렌리가 불어 터진 방아꾼을 처치해 준 것에 대한 보상을 준다고 합니다. 받으십시오.","Renly te ofereceu uma recompensa por matar o Moleiro Inchado. Aceite-a.","Ренли предложил вам награду за убийство Раздувшегося мельника. Заберите её.","Renly te ha ofrecido una recompensa por derrotar al Molinero hinchado. Acéptala.","เรนลีย์ได้เสนอรางวัลให้คุณเลือกเพื่อตอบแทนการสังหารเจ้าของโรงสีขึ้นอืด รับรางวัลเสีย","倫利要給你擊殺浮腫米勒的獎勵，收下它。","","Take Renly's reward","Prenez la récompense de Renly","Nehmt Renlys Belohnung","レンリーの報酬を受け取れ","렌리의 보상 받기","Pegue a recompensa do Renly","Заберите награду у Ренли","Acepta la recompensa de Renly","รับรางวัลของเรนลีย์","領取倫利的獎勵",[8],0,"Take Renly's reward","Prenez la récompense de Renly","Nehmt Renlys Belohnung.","レンリーの報酬を受け取れ","렌리의 보상 받기","Pegue a recompensa do Renly","Заберите награду у Ренли","Acepta la recompensa de Renly","รับรางวัลของเรนลีย์","領取倫利的獎勵","",[],"",[],[],11,"","",[],"",""
2,0,2,"[2934,2890]",[],"The Blacksmith appears to be in charge in this logging encampment. Talk to him.","Le Forgeron semble être le responsable de ce campement forestier. Parlez-lui.","Der Schmied scheint in diesem Holzfällerlager das Sagen zu haben. Sprecht mit ihm.","鍛冶屋が伐採の野営地を取り仕切っているようだ。彼に話しかけろ","대장장이가 이 벌목 야영지를 책임지고 있는 것 같습니다. 그와 대화하십시오.","O ferreiro parece estar à frente deste acampamento de lenhadores. Fale com ele.","Похоже, в этом лагере лесорубов кузнец за главного. Поговорите с ним.","Parece que el herrero está al mando de este campamento maderero. Habla con él.","เหมือนว่าช่างตีเหล็กจะเป็นผู้นำค่ายตัดไม้ ลองพูดคุยกับเขาดู","鐵匠似乎是這個伐木營地的負責人。和他交談。","","Talk to the Blacksmith","Parlez au Forgeron","Sprecht mit dem Schmied","鍛冶屋に話しかけろ","대장장이와 대화하기","Fale com o ferreiro","Поговорите с кузнецом","Habla con el herrero","พูดคุยกับช่างตีเหล็ก","和鐵匠交談",[8],0,"Talk to the Blacksmith","Parler au Forgeron","Sprecht mit dem Schmied.","鍛冶屋に話しかけろ","대장장이와 대화하기","Fale com o ferreiro","Поговорите с кузнецом","Habla con el herrero","พูดคุยกับช่างตีเหล็ก","和鐵匠交談","",[],"",[],[],11,"","",[],"",""
3,0,3,[2934],"[281,368]","You have slain the Bloated Miller and levelled up. Open the Passive Skill Screen and spend a Passive Skill Point to upgrade your character.","Vous avez tué le Meunier boursouflé et êtes monté de niveau. Ouvrez l'arbre des Talents et dépensez un point de Talent pour améliorer votre personnage.","Ihr habt den Aufgedunsenen Müller getötet und eine neue Stufe erreicht. Öffnet den Passiven Fertigkeitenbaum und weist einen Passiven Fertigkeitspunkt zu, um Euren Charakter zu verbessern.","腐乱した粉屋を倒しレベルが上がった。パッシブスキル画面を開いてパッシブスキルポイントを消費し、キャラクターをアップグレードしろ","불어 터진 방아꾼을 처치하고 레벨을 올렸습니다. 패시브 스킬 창을 열고 패시브 스킬 포인트를 투자해 캐릭터를 강화하십시오.","Você matou o Moleiro Inchado e subiu de nível. Abra a tela de habilidades passivas e atribua um ponto de habilidade passiva para melhorar seu personagem.","Вы убили Раздувшегося мельника и повысили свой уровень. Откройте экран пассивных умений и потратьте очко умения на улучшение персонажа.","Has derrotado al Molinero hinchado y subido de nivel. Abre la ventana de habilidades pasivas y gasta un punto de habilidad pasiva para mejorar tu personaje.","คุณได้สังหารเจ้าของโรงสีขึ้นอืดและได้ขึ้นเลเวลใหม่แล้ว อัพเกรดตัวละครของคุณด้วยการเปิดหน้าต่างพาสซีฟ แล้วใช้แต้มพาสซีฟ 1 แต้ม","你已經擊殺浮腫米勒並升等了，開啟天賦樹畫面使用天賦點數升級你的角色。","","","","","","","","","","","",[8],0,"Open the Passive Skill Screen\nSpend your Passive Skill Point","Ouvrez votre Arbre des Talents\nDépensez-y votre point de Talent","Öffnet den Passiven Fertigkeitenbaum.\nWeist den Passiven Fertigkeitspunkt zu.","パッシブスキル画面を開け\nパッシブスキルポイントを使用しろ","패시브 스킬 창 열기\n패시브 스킬 포인트 투자하기","Abra a tela de habilidades passivas\nGaste o seu ponto de habilidade passiva","Откройте экран пассивных умений\nИспользуйте очко пассивного умения","Abre la pantalla de habilidades pasivas\nGasta tu punto de habilidad pasiva","เปิดหน้าจอพาสซีฟ\nใช้แต้มพาสซีฟของคุณ","開啟天賦樹畫面\n使用天賦點","",[],"",[],[],11,"","",[],"",""
4,0,4,[2934],[],"You have slain the Bloated Miller. Enter the logging encampment.","Vous avez tué le Meunier boursouflé. Entrez dans le campement forestier.","Ihr habt den Aufgedunsenen Müller getötet. Betretet das Holzfällerlager.","腐乱した粉屋を倒した。伐採の野営地に入れ","불어 터진 방아꾼을 처치했습니다. 벌목 야영지로 들어가십시오.","Você matou o Moleiro Inchado. Entre no acampamento de lenhadores.","Вы убили Раздувшегося мельника. Войдите в лагерь лесорубов.","Has derrotado al Molinero hinchado. Entra al campamento maderero.","คุณได้สังหารเจ้าของโรงสีขึ้นอืดแล้ว เข้าไปในค่ายตัดไม้","你已擊殺浮腫米勒。進入伐木營地。","","Enter town","Entrez dans la ville","Betretet die Stadt","街に入れ","마을 들어가기","Entre na vila","Войдите в лагерь","Entra al pueblo","เข้าไปในเมือง","進入城鎮",[8],0,"Enter the logging encampment","Entrez dans le campement forestier","Betretet das Holzfällerlager.","伐採の野営地に入れ","벌목 야영지 들어가기","Entre no acampamento de lenhadores","Войдите в лагерь лесорубов","Entra al campamento maderero","เข้าไปในค่ายตัดไม้","進入伐木營地","",[],"",[],[],11,"","",[],"",""
5,0,5,[2933],[],"A logging encampment is under attack by a diseased monstrosity that was once human. Kill it.","Un campement forestier subit l'attaque d'une monstruosité malade autrefois humaine. Tuez-la.","Ein Holzfällerlager wird von einer krankhaften Monstrosität heimgesucht, die einst ein Mensch war. Tötet sie.","伐採の野営地がかつて人間だった蝕まれた怪物の攻撃を受けている。その怪物を倒せ","벌목 야영지가 한때 인간이었던 질병 걸린 거수에게 공격받고 있습니다. 처치하십시오.","Um acampamento de lenhadores está sendo atacado por algo que já foi humano, mas que agora se tornou uma monstruosidade doentia. Mate-o.","На лагерь лесорубов напало чумное чудовище, некогда бывшее человеком. Убейте его.","Un campamento maderero está recibiendo un ataque de una monstruosidad enfermiza que una vez fue humana. Mátala.","ค่ายตัดไม้ถูกรุกรานด้วยน้ำมือของอสุรกายอาบโรคที่เคยเป็นมนุษย์มาก่อน สังหารมันเสีย","伐木營地被原為人類的染病怪物襲擊。殺死牠。","","Slay the Bloated Miller","Tuez le Meunier boursouflé","Tötet den Aufgedunsenen Müller","腐乱した粉屋を倒せ","불어 터진 방아꾼 처치하기","Mate o Moleiro Inchado","Убейте Раздувшегося мельника","Derrota al Molinero hinchado","สังหารเจ้าของโรงสีขึ้นอืด","殺死浮腫米勒",[5],0,"Kill the Bloated Miller and end his rage","Tuez le Meunier boursouflé et mettez fin à sa rage","Tötet den Aufgedunsenen Müller und setzt seinem Wüten ein Ende.","腐乱した粉屋を倒し、彼の怒りを終わらせろ","불어 터진 방아꾼을 처치해 그의 격노를 잠재우기","Mate o Moleiro Inchado e acabe com sua raiva","Убейте Раздувшегося мельника и покончите с его яростью","Mata al Molinero hinchado y acaba con su furia","สังหารเจ้าของโรงสีขึ้นอืดแล้วยุติความคลั่งของเขา","擊殺浮腫米勒並終止他的怒火","",[],"",[],[],11,"","",[],"",""
6,0,6,[2801],[],"The wounded man mentioned his chief Miller went to warn Clearfell about a sickness plaguing their men. Track down the Miller and find safety in Clearfell.","L'homme blessé a mentionné que son Meunier en chef était parti avertir la Clairière d'une maladie frappant leurs hommes. Suivez la piste du Meunier et trouvez refuge dans la Clairière.","Der Verwundete erwähnte, dass sein Anführer, der Müller, Lichtfall vor einer Krankheit warnen wollte, die ihre Männer plagt. Spürt den Müller auf und bringt Euch in Lichtfall in Sicherheit.","負傷した男は、彼の親方である粉屋が彼の部下たちを苦しめている疫病についてクリアフェルに警告しに行ったことを話していた。粉屋を追い、クリアフェルで安全な場所を見つけろ","다친 남자가 말하길 수석 방아꾼이 일꾼들 사이에서 돌고 있는 병에 대해 경고하기 위해 클리어펠로 향했다고 합니다. 방아꾼을 찾고 클리어펠에 피신하십시오.","O homem ferido mencionou que seu chefe, o moleiro, foi avisar Clearfell sobre uma doença que assola seus homens. Encontre o moleiro e fique em segurança em Clearfell.","Раненый мужчина упомянул, что его начальник-мельник отправился в Клирфелл предупредить о болезни. Найдите мельника и безопасное убежище в Клирфелле.","El hombre herido ha mencionado que el jefe del molino ha ido a Sierraclara para advertirles sobre una enfermedad que está azotando a sus hombres. Busca al Molinero y encuentra refugio en Sierraclara.","ชายที่บาดเจ็บบอกว่าเจ้าของโรงสีออกไปเตือนเคลียร์เฟลเกี่ยวกับโรคภัยที่ระบาดไปตามคนของพวกเขา ตามหาเจ้าของโรงสีแล้วหาที่ปลอดภัยในเคลียร์เฟลเสีย","尋找皆伐。","","Find Clearfell","Trouvez la Clairière","Findet Lichtfall","クリアフェルを見つけろ","클리어펠 찾기","Encontre Clearfell","Найдите Клирфелл","Encuentra Sierraclara","ค้นหาเคลียร์เฟล","尋找皆伐",[5],0,"Search for the Miller and find safety in Clearfell","Cherchez le Meunier et trouvez refuge dans la Clairière","Sucht nach dem Müller und findet Sicherheit in Lichtfall.","粉屋を探し、クリアフェルで安全な場所を見つけろ","방아꾼을 찾고 클리어펠에 피신하기","Procure o moleiro e fique em segurança em Clearfell","Найдите мельника и безопасное убежище в Клирфелле","Busca al Molinero y encuentra refugio en Sierraclara","ตามหาเจ้าของโรงสี แล้วหาที่ปลอดภัยในเคลียร์เฟล","尋找米勒，並在皆伐尋求庇護","",[],"",[],[],11,"","",[],"",""
7,1,0,[2929],[],"Quest Complete - You have slain the Devourer and have received a reward from Renly.","Quête terminée — Vous avez tué le Dévoreur et avez reçu une récompense de la part de Renly.","Quest abgeschlossen: Ihr habt den Verschlinger getötet und von Renly eine Belohnung erhalten.","クエスト完了 - デヴァウラーを倒し、レンリーから報酬を受け取った","퀘스트 완료 - 포식자를 처치하고 렌리에게 보상을 받았습니다.","Missão Concluída: você matou o Devorador e recebeu uma recompensa do Renly.","Задание выполнено - Вы убили Пожирателя и получили награду от Ренли.","Misión completa - Has derrotado al Devorador y recibido una recompensa de Renly.","เควสต์​เสร็จสิ้น - คุณได้สังหารตัวสวาปามและรับรางวัลจากเรนลีย์แล้ว","任務完成——你已經殺掉了吞噬獸，並且從倫利那裡取得你的任務獎勵。",1,"Quest Complete","Quête terminée","Quest abgeschlossen","クエスト完了","퀘스트 완료","Missão Concluída","Задание выполнено","Misión completa","เควสต์​เสร็จสิ้น","任務完成",[],0,"","","","","","","","","","","",[],"",[],[],11,"","",[],"",""
8,1,1,[2931],[],"You have slain the Devourer. Talk to Renly in Clearfell for your reward.","Vous avez tué le Dévoreur. Parlez à Renly à la Clairière pour obtenir votre récompense.","Ihr habt den Verschlinger getötet. Sprecht Renly in Lichtfall auf Eure Belohnung an.","デヴァウラーを倒した。クリアフェルのレンリーに話しかけて報酬を受け取れ","포식자를 처치했습니다. 클리어펠에 있는 렌리와 대화해서 보상을 받으십시오.","Você matou o Devorador. Fale com Renly em Clearfell para receber a recompensa.","Вы убили Пожирателя. Поговорите с Ренли в Клирфелле по поводу награды.","Has derrotado al Devorador. Habla con Renly en Sierraclara para recibir tu recompensa.","คุณได้สังหารตัวสวาปามแล้ว พูดคุยกับเรนลีย์ภายในค่ายเคลียร์เฟลเพื่อรับรางวัล","你已殺掉吞噬獸，在皆伐和倫利交談並領取你的獎勵。","","Talk to Renly for your reward","Parlez à Renly pour obtenir votre récompense","Sprecht Renly auf Eure Belohnung an","レンリーに話しかけて報酬を受け取れ","렌리와 대화해서 보상 받기","Fale com Renly para receber a recompensa","Поговорите с Ренли о награде","Habla con Renly para recibir tu recompensa","พูดคุยกับเรนลีย์เพื่อรับรางวัล","和倫利交談以獲得獎勵",[8],0,"Talk to Renly for your reward","Parlez à Renly pour obtenir votre récompense","Sprecht Renly auf Eure Belohnung an.","レンリーに話しかけて報酬を受け取れ","렌리와 대화해서 보상 받기","Fale com Renly para receber a recompensa","Поговорите с Ренли о награде","Habla con Renly para recibir tu recompensa","พูดคุยกับเรนลีย์เพื่อรับรางวัล","和倫利交談以獲得獎勵","",[],"",[],[],11,"","",[],"",""
9,1,2,[2932],[],"You have cornered the Devourer. Kill it.","Vous avez acculé le Dévoreur. Tuez-le.","Ihr habt den Verschlinger aufgespürt. Tötet ihn.","デヴァウラーを追い詰めた。やつを倒せ","포식자를 막다른 길로 몰았습니다. 처치하십시오.","Você encurralou o Devorador. Mate-o.","Вы загнали Пожирателя в угол. Убейте его.","Has acorralado al Devorador. Mátalo.","คุณต้อนตัวสวาปามให้จนมุมแล้ว สังหารมันเสีย","你已將吞噬獸逼入死角。殺死牠。","","Kill the Devourer","Tuez le Dévoreur","Tötet den Verschlinger","デヴァウラーを倒せ","포식자 처치하기","Mate o Devorador","Убейте Пожирателя","Mata al Devorador","สังหารตัวสวาปาม","殺死吞噬獸",[14],0,"Kill the Devourer","Tuez le Dévoreur","Tötet den Verschlinger.","デヴァウラーを倒せ","포식자 처치하기","Mate o Devorador","Убейте Пожирателя","Mata al Devorador","สังหารตัวสวาปาม","殺死吞噬獸",14,[],"",[],[],11,"","",[],"",""
