"rownum","Area","PosX","PosY","bool_24","TextAudio","CompletionAchievements","bool_57","bool_58","i32_59","i32_63","bool_67","bool_68"
0,0,0,0,"",5363,[],"","",0,0,1,1
1,367,981,797,"",13583,[],"",1,1,2,1,1
2,366,1078,700,"",13593,[],"",1,0,3,1,1
3,368,1273,421,"",13564,[],"",1,0,3,1,1
4,369,1181,611,"",13555,[],"",1,0,2,1,1
5,370,868,922,"",13573,[],"","",1,2,1,1
6,371,0,0,"",5356,[],"",1,1,1,1,1
7,372,0,0,"",5363,[],"",1,1,2,1,1
8,373,0,0,"",5363,[],"",1,0,0,"",""
9,374,0,0,"",5363,[],"",1,0,3,1,1
10,375,0,0,"",5363,[],"",1,1,2,1,1
11,376,0,0,"",5363,[],"",1,1,2,1,1
12,202,0,0,"","",[],"","",0,0,1,1
13,386,0,0,"",5366,[],1,"",0,0,1,1
14,385,0,0,"",5365,[],1,"",0,0,1,1
15,384,0,0,"",5367,[],1,"",0,0,1,1
16,383,0,0,"",5364,[],1,"",0,0,1,1
