"rownum","Id","RadiusArt","i32_24","PassiveSkill"
0,"abyss_notable_override_1",7,3,6729
1,"abyss_notable_override_2",7,3,6730
2,"abyss_notable_override_3",7,3,6731
3,"abyss_notable_override_4",7,3,6732
4,"abyss_notable_override_5",7,3,6733
5,"abyss_notable_override_6",7,3,6734
6,"abyss_notable_override_7",7,3,6735
7,"abyss_notable_override_8",7,3,6736
8,"abyss_notable_override_9",7,3,6737
9,"abyss_notable_override_10",7,3,6738
10,"abyss_notable_override_11",7,3,6739
11,"abyss_notable_override_12",7,3,6740
12,"abyss_notable_override_13",7,3,6741
13,"abyss_notable_override_14",7,3,6742
14,"abyss_notable_override_15",7,3,6743
15,"abyss_notable_override_16",7,3,6744
16,"abyss_notable_override_17",7,3,6745
17,"abyss_notable_override_18",7,3,6746
18,"abyss_notable_override_19",7,3,6747
19,"abyss_notable_override_20",7,3,6748
20,"abyss_notable_override_21",7,3,6749
21,"abyss_notable_override_22",7,3,6750
22,"abyss_notable_override_23",7,3,6751
23,"abyss_notable_override_24",7,3,6752
24,"abyss_notable_override_25",7,3,6753
