"rownum","rid_0","i32_16","[rid]_20","rid_36","[rid]_52","bool_68"
0,109,0,[237],5873,[238],""
1,110,0,[169],5874,[170],""
2,111,0,[1742],5875,[1743],""
3,113,0,[1737],5876,[1738],""
4,114,1,[201],5902,[202],""
5,115,1,[1610],5903,[1611],""
6,116,1,[1687],5904,[1688],""
7,121,1,[157],5906,[158],""
8,125,2,[705],5907,[706],""
9,126,2,[435],5908,[436],""
10,127,2,[735],5909,[736],""
11,142,2,[901],5910,[902],""
12,132,3,[423],5911,[424],""
13,134,3,[812],5912,[813],""
14,136,3,[427],5913,[428],""
15,140,3,[858],5914,[859],""
16,163,4,[915],5915,[916],""
17,166,4,[990],5916,[991],""
18,168,4,[310],5917,[311],""
19,169,4,[1047],6062,[1048],""
20,171,5,[1056],5918,[1057],""
21,170,5,[1604],5919,[1605],""
22,176,5,[1279],5920,[1280],""
23,177,5,[1254],5922,[1255],""
24,184,6,[1422],5923,[1423],""
25,185,6,[1430],5924,[1431],""
26,187,6,[1298],5925,[1299],""
27,196,6,[325],5926,[326],""
28,188,7,[1394],5927,[1395],""
29,189,7,[1474],5928,[1475],""
30,191,7,[1488],5929,[1489],""
31,194,7,[1383],5930,[1384],""
32,208,8,[1062],5931,[1063],1
33,211,8,[1800],5933,[1806],1
34,212,8,[2304],5934,[2305],1
35,215,9,[2321],5935,[2323],1
36,217,9,[2331],5936,[2332],1
37,219,9,[2310],5937,[2311],1
38,224,10,[1110],5939,[1111],1
39,225,10,[1780],5940,[1781],1
40,226,10,[997],5941,[998],1
