"rownum","BaseItemType","SkillsGranted","IsWeapon"
0,2136,[379],""
1,2137,[483],""
2,2138,[482],""
3,2139,[58],""
4,2140,[5],""
5,2141,[191],""
6,2142,[413],""
7,2143,[176],""
8,2144,[379],""
9,2145,[379],""
10,2146,[379],""
11,2147,[110],""
12,2148,[1060],""
13,2149,[380],""
14,2154,[392],""
15,2155,[409],""
16,2156,[275],""
17,2157,[392],""
18,2158,[399],""
19,2159,[171],""
20,2160,[147],""
21,2161,[177],""
22,2162,[392],""
23,2163,[279],""
24,2164,[41],""
25,2165,[250],""
26,2166,[116],""
27,2167,[1056],""
28,2169,[240],""
29,2170,[1092],""
30,2171,[128],""
31,2172,[117],""
32,2474,[404],""
33,2475,[404],""
34,2476,[404],""
35,2477,[404],""
36,2478,[404],""
37,2479,[404],""
38,2480,[404],""
39,2481,[404],""
40,2482,[404],""
41,2483,[404],""
42,2484,[404],""
43,2485,[404],""
44,2486,[404],""
45,2487,[404],""
46,2488,[404],""
47,2489,[404],""
48,2490,[404],""
49,2491,[404],""
50,2492,[404],""
51,2493,[404],""
52,2494,[404],""
53,2495,[404],""
54,2496,[404],""
55,2497,[404],""
56,2498,[404],""
57,2499,[404],""
58,2500,[404],""
59,2501,[404],""
60,2502,[404],""
61,2503,[404],""
62,2504,[404],""
63,2505,[404],""
64,2506,[404],""
65,2507,[404],""
66,2508,[404],""
67,2871,[404],""
68,2872,[404],""
69,2873,[404],""
70,2874,[404],""
71,2875,[404],""
72,2876,[404],""
73,2877,[404],""
74,2878,[404],""
75,2879,[404],""
76,2880,[404],""
77,2881,[404],""
78,2882,[404],""
79,2883,[404],""
80,2884,[404],""
81,2885,[404],""
82,2886,[404],""
83,2887,[404],""
84,2888,[404],""
85,3003,[404],""
86,3004,[404],""
87,3005,[404],""
88,3006,[404],""
89,3007,[404],""
90,3008,[404],""
91,3009,[404],""
92,3010,[404],""
93,3011,[404],""
94,3012,[404],""
95,3013,[404],""
96,3014,[404],""
97,3015,[404],""
98,3016,[404],""
99,2199,[458],""
100,2200,[60],""
101,2201,[458],""
102,2202,[487],""
103,2203,[458],""
104,2204,[85],""
105,2205,[86],""
106,2206,[87],""
107,2207,[458],""
108,2208,[990],""
109,2209,[458],""
110,2210,[1050],""
111,2211,[458],""
112,2212,[458],""
113,2213,[458],""
114,2509,[963],""
115,2510,[963],""
116,2511,[963],""
117,2512,[963],""
118,2513,[963],""
119,2514,[963],""
120,2515,[963],""
121,2516,[963],""
122,2517,[963],""
123,2518,[963],""
124,2519,[963],""
125,2520,[963],""
126,2521,[963],""
127,2889,[963],""
128,2890,[963],""
129,2891,[963],""
130,2892,[963],""
131,2893,[963],""
132,2894,[963],""
133,3017,[963],""
134,3018,[963],""
135,3019,[963],""
136,3020,[963],""
137,2214,[88],""
138,2168,[990],""
139,3310,[404],""
140,3311,[404],""
141,3312,[404],""
142,3313,[404],""
143,3314,[404],""
144,3315,[404],""
145,3316,[404],""
146,3317,[404],""
147,3318,[404],""
148,3319,[404],""
149,3320,[404],""
150,3321,[404],""
151,3322,[404],""
152,3323,[404],""
153,3324,[404],""
154,3325,[404],""
155,3326,[404],""
156,3327,[404],""
157,3328,[404],""
158,3329,[404],""
159,3330,[404],""
160,3331,[404],""
161,3332,[404],""
162,3333,[404],""
163,3335,[404],""
164,3336,[404],""
165,3337,[404],""
166,3338,[404],""
167,3339,[404],""
168,3340,[404],""
169,3341,[404],""
170,3342,[404],""
171,3343,[404],""
172,3344,[404],""
173,3345,[404],""
174,3359,[404],""
175,3360,[404],""
176,3361,[404],""
177,3365,[404],""
178,3366,[404],""
179,3367,[404],""
180,3362,[404],""
181,3363,[404],""
182,3364,[404],""
183,3346,[963],""
184,3347,[963],""
185,3348,[963],""
186,3349,[963],""
187,3350,[963],""
188,3351,[963],""
189,3352,[963],""
190,3353,[963],""
191,3354,[963],""
192,3355,[963],""
193,3356,[963],""
194,3357,[963],""
195,3358,[963],""
196,3368,[963],""
197,3369,[963],""
198,3370,[963],""
199,3485,[404],""
200,3486,[404],""
201,3487,[404],""
202,3488,[404],""
203,3489,[404],""
204,3490,[404],""
205,3491,[404],""
206,3492,[404],""
207,3334,[404],""
208,3493,[404],""
209,3494,[404],""
210,3495,[404],""
211,3496,[404],""
212,3497,[963],""
213,3498,[963],""
214,3499,[963],""
215,3500,[963],""
216,5422,[404],""
217,5423,[404],""
218,5424,[404],""
219,5425,[404],""
220,5426,[404],""
221,5427,[404],""
222,5428,[404],""
223,5430,[404],""
224,5431,[404],""
225,5432,[963],""
226,5433,[404],""
227,5434,[404],""
228,5435,[404],""
229,5436,[404],""
230,5437,[404],""
231,5438,[404],""
232,5439,[404],""
233,5440,[404],""
234,5441,[404],""
235,5442,[404],""
236,5443,[404],""
237,5444,[963],""
238,5445,[963],""
239,5446,[963],""
240,5447,[963],""
241,5448,[963],""
242,5449,[963],""
243,5450,[963],""
244,5451,[963],""
245,5452,[404],""
246,5453,[404],""
247,5454,[404],""
248,5455,[404],""
249,5456,[404],""
250,2561,"[66,93,94,95,156,353,359,360,406,408,424,438,474,480,671,672,673,677,679,692,695,710,711,712,719,720,721,722,723,725,969,973,979,1068,1075,1077,1093]",1
251,2562,"[258,484,678,680,713,724,1094]",1
252,2563,"[300,303,354,411,714,968,1076]",1
