"rownum","QuestFlag"
0,2021
1,2020
2,2022
3,2023
4,710
5,711
6,712
7,715
8,716
9,717
10,974
11,823
12,718
13,2591
14,719
15,721
16,964
17,1954
18,55
19,58
20,939
21,946
22,1957
23,1958
24,965
25,1965
26,1966
27,1955
28,1956
29,1974
30,1973
31,2025
32,2026
33,2035
34,2036
35,2038
36,2037
37,2040
38,2041
39,2031
40,1964
41,962
42,1945
43,1946
44,1947
45,1948
46,1949
47,1937
48,1950
49,1951
50,1952
51,1953
52,1941
53,1942
54,1943
55,1944
56,2017
57,2018
58,2019
59,1933
60,1934
61,1932
62,1911
63,2003
64,1990
65,2076
66,2087
67,2091
68,2088
69,2045
70,2046
71,2047
72,2063
73,572
74,573
75,574
76,575
77,576
78,577
79,578
80,579
81,580
82,581
83,582
84,583
85,584
86,585
87,586
88,587
89,1913
90,1914
91,1915
92,1916
93,1917
94,1918
95,1919
96,1920
97,1921
98,1922
99,1923
100,1924
101,1925
102,1982
103,1961
104,1926
105,1927
106,1928
107,1960
108,1929
109,1930
110,1978
111,1979
112,1980
113,1981
114,1870
115,1871
116,2012
117,2007
118,2073
119,2074
120,1897
121,1891
122,1892
123,1893
124,1894
125,1895
126,1890
127,1896
128,1889
129,1887
130,1888
131,2189
132,2190
133,2191
134,2192
135,2193
136,2194
137,2195
138,2196
139,2197
140,2198
141,2199
142,2200
143,2201
144,2202
145,2203
146,2204
147,2205
148,2206
149,2207
150,2208
151,2209
152,2210
153,2211
154,2212
155,2213
156,2214
157,2215
158,2216
159,2217
160,2218
161,2219
162,2220
163,2221
164,2222
165,2223
166,2287
167,2273
168,2276
169,2279
170,1869
171,2360
172,2361
173,2362
174,2363
175,2364
176,2359
177,2369
178,2371
179,2372
180,2370
181,2373
182,2354
183,2374
184,2375
185,2376
186,2377
187,2378
188,2379
189,2380
190,2381
191,2382
192,990
193,2402
194,2403
195,991
196,992
197,2469
198,2470
199,2487
200,2534
201,2538
202,2539
203,2540
204,2580
205,2587
206,2588
207,2585
208,2599
209,2352
210,2353
211,973
212,958
213,959
214,987
215,988
216,1901
217,1902
218,1997
219,1998
220,377
221,2624
222,2647
223,2646
224,2651
225,2650
226,2649
227,2648
228,2653
229,2652
230,2654
231,2655
232,2656
233,2668
234,1730
235,2945
236,2946
237,3085
238,2956
239,2955
240,2954
241,3137
242,3138
243,3139
244,3140
245,3142
246,3110
247,3171
248,3204
249,3229
250,3230
251,3232
252,3414
253,3198
254,3173
255,3700
256,3698
257,3697
258,3693
259,3728
260,3412
261,3365
262,3364
263,3371
264,3377
265,3376
266,3378
267,3367
268,3366
269,3374
270,3375
271,3370
272,3381
273,3361
274,3362
275,3363
276,3380
277,3712
278,3719
279,3953
280,4004
281,4191
282,4192
283,4193
284,4194
285,4195
286,4196
287,4197
288,4198
289,4199
290,3415
291,4846
292,4847
293,4853
294,4854
295,4856
296,4857
297,2715
298,2716
299,2717
300,2718
301,2719
302,2720
303,2167
304,2168
305,2744
306,2745
307,2746
308,2747
309,2748
310,2755
311,2800
312,4691
313,993
314,994
315,995
316,45
317,2785
318,2786
319,2783
320,2784
321,379
322,380
323,381
324,382
325,383
326,384
327,53
328,54
329,56
330,68
331,75
332,89
333,94
334,95
335,101
336,108
337,109
338,110
339,998
340,997
341,996
342,113
343,114
344,124
345,125
346,143
347,145
348,146
349,147
350,148
351,5174
352,488
353,489
354,490
355,491
356,492
357,551
358,554
359,865
360,869
361,888
362,890
363,920
364,1181
365,975
366,976
367,1091
368,1983
369,5443
370,1194
371,945
372,1235
373,1236
374,1237
375,1248
376,1250
377,1225
378,1226
379,1251
380,1252
381,1253
382,1254
383,1255
384,1321
385,1418
386,1449
387,2171
388,1577
389,1584
390,1585
391,1586
392,1587
393,1588
394,1580
395,331
396,1658
397,1665
398,1670
399,1705
400,1768
401,5659
402,5660
403,5661
404,5662
405,5663
406,1486
407,1821
408,5590
409,1907
410,1906
411,2737
412,2739
413,20
414,5140
415,3914
416,4804
417,128
418,1596
419,3913
420,4807
421,4808
422,4880
423,126
424,1908
425,1968
426,1013
427,6130
