"rownum","rid_0","i32_16","i32_20","i32_24"
0,4,1,10,15
1,4,2,16,24
2,4,3,24,36
3,4,4,32,47
4,4,5,40,59
5,4,6,48,71
6,4,7,55,82
7,4,8,63,94
8,4,9,70,105
9,4,10,77,116
10,4,11,84,126
11,4,12,90,135
12,4,13,95,143
13,4,14,106,158
14,4,15,117,175
15,4,16,127,191
16,4,17,139,208
17,4,18,150,225
18,4,19,162,243
19,4,20,175,262
20,4,21,187,281
21,4,22,201,301
22,4,23,214,321
23,4,24,228,343
24,4,25,243,364
25,4,26,257,386
26,4,27,273,409
27,4,28,288,432
28,4,29,304,457
29,4,30,320,480
30,4,31,337,506
31,4,32,355,532
32,4,33,372,558
33,4,34,390,585
34,4,35,408,612
35,4,36,427,641
36,4,37,447,670
37,4,38,466,698
38,4,39,486,729
39,4,40,506,759
