"rownum","Id","DDSFile","AOFile","InventorySoundEffect","HASH16","AOFile2","MarauderSMFiles","RangerSMFiles","WitchSMFiles","DuelistDexSMFiles","TemplarSMFiles","ShadowSMFiles","ScionSMFiles","MarauderShape","RangerShape","WitchShape","DuelistShape","TemplarShape","ShadowShape","ScionShape","rid_218","i32_234","Pickup_AchievementItems","SMFiles","Identify_AchievementItems","EPKFile","Corrupt_AchievementItems","IsAlternateArt","bool_311","CreateCorruptedJewelAchievementItem","AnimationLocation","string_336","string_344","string_352","string_360","string_368","string_376","string_384","string_392","string_400","string_408","string_416","string_424","IsAtlasOfWorldsMapIcon","IsTier16Icon","[i32]_434","bool_450","[rid]_451","[string]_467","[string]_483","[string]_499","[string]_515","[string]_531","[string]_547","[string]_563","string_579","string_587","string_595","string_603","string_611","string_619","string_627","string_635","string_643","Composition","rid_655","rid_671","rid_687","rid_703","[string]_719","[string]_735","[string]_751","[string]_767","[string]_783","[string]_799","rid_815","string_831","string_839","string_847","string_855","string_863","string_871","string_879","rid_887","rid_903","rid_919","rid_935","string_951"
0,"CurrencyWeaponQuality","Art/2DItems/Currency/CurrencyWeaponQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",508,24441,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,"",""
1,"CurrencyMagicQuality","Art/2DItems/Currency/CurrencyWeaponMagicQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",504,49846,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,"",""
2,"CurrencyIdentification","Art/2DItems/Currency/CurrencyIdentification.dds","Metadata/Items/Currency/CurrencyIdentification.ao",27,2083,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
3,"CurrencyRerollRare","Art/2DItems/Currency/CurrencyRerollRare.dds","Metadata/Items/Currency/CurrencyRerollRare.ao",494,29204,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],43,"","","","","","","","","",1129,"",""
4,"CurrencyRerollRare2","Art/2DItems/Currency/CurrencyRerollRare.dds","Metadata/Items/Currency/CurrencyRerollRare.ao",494,52826,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],43,"","","","","","","","","",1129,"",""
5,"CurrencyRerollRare3","Art/2DItems/Currency/CurrencyRerollRare.dds","Metadata/Items/Currency/CurrencyRerollRare.ao",494,42430,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],43,"","","","","","","","","",1129,9624,""
6,"CurrencyArmourQuality","Art/2DItems/Currency/CurrencyArmourQuality.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",509,44858,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
7,"CurrencyMapQuality","Art/2DItems/Currency/CurrencyMapQuality.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,55914,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
8,"CurrencyDuplicate","Art/2DItems/Currency/CurrencyDuplicate.dds","Metadata/Items/Currency/CurrencyDuplicate.ao",501,20709,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],44,"","","","","","","","","","",9622,""
9,"CurrencyHinekorasLock","Art/2DItems/Currency/HinekorasLock.dds","Metadata/Items/Currency/HinekorasLockDrop.ao",1158,61459,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,9624,""
10,"CurrencyUpgradeToRare","Art/2DItems/Currency/CurrencyUpgradeToRare.dds","Metadata/Items/Currency/CurrencyUpgradeToRare.ao",490,6755,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
11,"CurrencyUpgradeRandomly","Art/2DItems/Currency/CurrencyUpgradeToUnique.dds","Metadata/Items/Currency/CurrencyUpgradeToUnique.ao",502,38365,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],43,"","","","","","","","","",1129,9624,""
12,"CurrencyPassiveRefund","Art/2DItems/Currency/CurrencyPassiveSkillRefund.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,19672,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
13,"CurrencyAtlasPassiveRefund","Art/2DItems/Currency/RegretOrb.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",181,33914,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
14,"CurrencyUpgradeToMagic","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds","Metadata/Items/Currency/CurrencyUpgradeToMagic.ao",499,43671,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
15,"CurrencyUpgradeToMagic2","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds","Metadata/Items/Currency/CurrencyUpgradeToMagic.ao",499,12958,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,"",""
16,"CurrencyUpgradeToMagic3","Art/2DItems/Currency/CurrencyUpgradeToMagic.dds","Metadata/Items/Currency/CurrencyUpgradeToMagic.ao",499,23703,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","",1129,"",""
17,"CurrencyRerollMagic","Art/2DItems/Currency/CurrencyRerollMagic.dds","Metadata/Items/Currency/CurrencyOrb_LOW.ao",491,49758,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
18,"CurrencyConvertToNormal","Art/2DItems/Currency/CurrencyConvertToNormal.dds","Metadata/Items/Currency/CurrencyOrb_MID.ao",498,545,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
19,"CurrencyRerollSockets","Art/2DItems/Currency/CurrencyRerollMagic.dds","Metadata/Items/Currency/CurrencyOrb.ao",33,24908,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],"","","","","","","","","","","","",""
20,"CurrencyAddModToRare","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyAddModToRare.ao",496,14330,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
21,"CurrencyAddModToRare2","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyAddModToRare.ao",496,43694,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
22,"CurrencyAddModToRare3","Art/2DItems/Currency/CurrencyAddModToRare.dds","Metadata/Items/Currency/CurrencyAddModToRare.ao",496,62070,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,9624,""
23,"CurrencyUpgradeMagicToRare","Art/2DItems/Currency/CurrencyUpgradeMagicToRare.dds","Metadata/Items/Currency/CurrencyUpgradeMagicToRare.ao",497,33779,"",[],[],[],[],[],[],[],"","","","","","","","",17,[],[],[],"",[],"","","","","","","","","","","","","","","","","","",[],"",[],[],[],[],[],[],[],[],"","","","","","","","","",0,"","","","",[],[],[],[],[],[],930,"","","","","","","","","",1129,"",""
