"rownum","BattlePass","RewardTier","i32_20","i32_24","bool_28","Id","RewardedMTX","i32_53","RewardDescription","RewardDescription (French)","RewardDescription (German)","RewardDescription (Japanese)","RewardDescription (Korean)","RewardDescription (Portuguese)","RewardDescription (Russian)","RewardDescription (Spanish)","RewardDescription (Thai)","RewardDescription (Traditional Chinese)","string_65","i32_73","i32_77","bool_81","RewardTitle","RewardTitle (French)","RewardTitle (German)","RewardTitle (Japanese)","RewardTitle (Korean)","RewardTitle (Portuguese)","RewardTitle (Russian)","RewardTitle (Spanish)","RewardTitle (Thai)","RewardTitle (Traditional Chinese)","rid_90","bool_106","i32_107","i32_111","i32_115","i32_119","i32_123","i32_127","i32_131","i32_135","bool_139","bool_140","bool_141"
0,0,0,0,0,"","BattlePassOneArchnemesisWatchersEye",[3457],0,"","","","","","","","","","","",375,399,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
1,0,2,0,17,"","BattlePassOneArchnemesisDyingSun",[3459],0,"","","","","","","","","","","",376,400,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
2,0,4,0,33,"","BattlePassOneArchnemesisAegisAurora",[3456],0,"","","","","","","","","","","",377,401,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
3,0,6,0,50,"","BattlePassOneArchnemesisHandsoftheHighTemplar",[3455],0,"","","","","","","","","","","",378,402,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
4,0,8,0,67,"","BattlePassOneArchnemesisParadoxica",[3458],0,"","","","","","","","","","","",379,403,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
5,0,10,0,84,"","BattlePassOneArchnemesisMjolner",[3454],0,"","","","","","","","","","","",380,404,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
6,0,12,0,100,"","BattlePassOneArchnemesisBottledFaith",[3461],0,"","","","","","","","","","","",381,405,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
7,0,14,0,117,"","BattlePassOneArchnemesisHeadhunter",[3460],0,"","","","","","","","","","","",382,406,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
8,1,0,0,0,"","BattlePassTwoRumisConcoction",[3562],0,"","","","","","","","","","","",375,399,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
9,1,2,0,17,"","BattlePassTwoDeadReckoning",[3558],0,"","","","","","","","","","","",376,400,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
10,1,4,0,33,"","BattlePassTwoHyrrisIre",[3561],0,"","","","","","","","","","","",377,401,"","","","","","","","","","","","",1,0,0,0,-33554432,-16843010,-16843010,-16843010,16711422,"","",""
