"rownum","Stat","StatValue","bool_20"
0,0,100,""
1,7654,600,""
2,9289,1,1
3,8225,10,1
4,8226,10,""
5,2400,10,1
6,9244,10,1
7,9245,10,1
8,5394,10,""
9,5528,10,1
10,3476,10,""
11,2264,100,""
12,3246,1,1
13,3245,1,""
14,5580,10,""
15,2262,7,""
16,2959,10,""
17,2960,8,""
18,4607,1,""
19,5603,1,""
20,8056,10,""
21,6175,5,""
22,13063,1,""
23,9649,1,""
24,8775,10,""
25,11054,1,""
26,12509,100,""
27,4761,0,""
28,9435,10,""
29,7966,4,""
30,11046,10,""
31,7599,1,""
32,11387,100,1
33,12733,10,""
34,12840,100,""
35,12841,100,""
36,12870,100,""
37,15049,100,""
38,12967,1,""
39,13011,100,1
40,13760,1,""
41,13819,10,""
42,14605,1,""
43,15289,100,""
44,15305,100,""
45,16115,1,""
46,16114,1,""
47,15301,1,""
48,15295,1,""
49,15299,1,""
50,16112,1,1
51,15811,10,1
52,15888,10,""
53,15954,10,""
54,15998,10,""
55,16116,0,1
56,2286,1,""
57,4747,1,""
58,16121,1,""
59,16164,100,1
60,16200,100,""
61,16195,100,""
62,16199,100,""
63,16273,10,1
64,16612,1,""
65,19133,1,""
66,2466,1,1
67,6891,10,""
68,21728,100,1
69,22246,1,""
70,19720,1,1
