"rownum","Id","HideoutDoodadsKeys","BaseTypeHideoutDoodadsKey","i32_40","i32_44","bool_48","UnlockQuest","WorldArea"
0,"Stash","[1319,1071,1073,1075,1077,1079,1081,1083,1085,1087,1089,1091,1093,1095,1505,1507,1511,1513,1529,1531]",1319,4830,34,"","",""
1,"GuildStash","[1320,1072,1074,1076,1078,1080,1082,1084,1086,1088,1090,1092,1094,1096,1506,1508,1512,1514,1530,1532]",1320,4830,34,"","",""
2,"Waypoint","[1321,1166,1211,1258,1260,1263,1259,1261,1262,1295,1678]",1321,4830,34,"","",""
3,"MapDevice","[1420,1054,1055,1056,1057,1165,1196,1212,1249,1277,1278,1332,1355,1356,1417,1418,1419,1421,1423,1424,1425,1445,1454,1456,1455,1457,1479,1481,1502,1503,1556,1561,1624,1615,1616,1617,1667,1674,1675,1676,1679]",1420,4830,34,"","",""
4,"RelicLocker",[1128],1128,1011,17,"",25,""
5,"ReforgingBench",[1129],1129,4079,18,"",29,""
6,"SalvageBench","[1130,1331,1333,1623]",1130,4026,19,"",5,""
7,"Well","[1131,1132,1554,1555,1133,1677]",1131,4830,34,"","",""
8,"Wardrobe",[1504],1504,4830,34,"","",""
9,"VerisiumAnvil",[1684],1684,4419,33,"",121,""
