"rownum","BaseType","Type","Charges","Duration","EnemyLimit","Visual","Empowerment","UseAchievement","CreatedViaPowerCore"
0,1676,0,8,30,15,1812,5,8497,""
1,1677,0,10,30,25,1802,10,8498,""
2,1678,0,8,40,30,1800,16,8499,""
3,1679,0,8,40,50,1808,22,8500,""
4,1680,0,10,50,75,1801,28,8501,""
5,1681,0,8,50,85,1813,34,8502,""
6,1682,0,12,100,100,1803,40,8503,1
7,1683,0,18,60,100,1806,45,8504,1
8,1684,0,12,60,150,1807,50,8505,1
9,1685,1,8,10,30,1802,18,8506,""
10,1686,1,10,10,30,1800,20,8507,""
11,1687,1,8,10,50,1808,22,8508,""
12,1688,1,10,10,80,1801,24,8509,""
13,1689,1,8,10,100,1813,26,8510,""
14,1690,1,12,10,200,1803,20,8511,1
15,1691,1,18,10,120,1806,30,8512,1
16,1692,1,12,10,70,1807,35,8513,1
17,1693,2,12,20,2,1802,30,8514,""
18,1694,2,8,30,2,1816,35,8515,""
19,1695,2,8,50,3,1808,40,8516,""
20,1696,2,10,30,3,1801,45,8517,""
21,1697,2,8,40,4,1813,42,8518,""
22,1698,2,12,50,4,1803,45,8519,1
23,1699,2,18,30,4,1806,50,8520,1
24,1700,2,12,30,4,1807,55,8521,1
25,1701,2,5,20,1,1804,100,8522,""
