"rownum","rid_0","i32_16"
0,220,0
1,620,0
2,622,0
3,623,0
4,624,0
5,1292,0
6,1293,0
7,1294,0
8,1295,0
9,1296,0
10,1297,0
11,1430,0
12,1431,0
13,1432,0
14,1433,0
15,1434,0
16,1435,0
17,138,9091
18,1470,18567
19,1506,9748
20,1508,20188
21,1539,10379
22,1493,10899
23,555,11365
24,441,23372
25,2990,0
26,1721,0
27,781,27060
28,884,0
29,64,43522
30,253,0
31,1475,9091
32,147,9283
33,140,19496
34,1501,20188
35,277,10525
36,1494,10823
37,437,11365
38,1496,23210
39,1702,0
40,248,38655
41,911,25950
42,63,45067
43,1406,18182
44,1500,9348
45,1463,9748
46,1512,10094
47,141,21050
48,1507,10975
49,1545,22729
50,152,35800
51,1606,12443
52,1598,0
53,356,27060
54,300,28414
55,1696,43522
56,128,0
57,1486,9091
58,1468,9748
59,1538,10094
60,1495,10823
61,256,22729
62,1252,23372
63,1548,24887
64,285,25591
65,1682,25950
66,282,0
67,807,42621
68,1497,0
69,1541,9091
70,2997,0
71,182,10094
72,1542,10975
73,42,22729
74,183,11605
75,1549,24887
76,1562,12885
77,1599,25950
78,1068,0
79,690,0
80,1695,29015
81,1209,0
82,1031,0
83,1509,9091
84,1489,9748
85,1502,20188
86,1498,10975
87,1590,11365
88,1523,35551
89,1708,0
90,460,0
91,752,0
92,164,0
93,1699,0
94,745,30044
95,179,32243
96,1520,9091
97,1521,9091
98,47,9816
99,444,10094
100,1407,21798
101,201,11365
102,1531,11605
103,853,0
104,1440,25770
105,1530,0
106,195,0
107,1491,9091
108,149,19360
109,1499,10094
110,192,0
111,1408,11365
112,1656,23536
113,1591,12443
114,170,25591
115,67,38926
116,1535,26685
117,173,42621
118,68,9091
119,1144,9680
120,1511,10094
121,1516,21646
122,1072,22729
123,1528,11933
124,249,24887
125,438,25591
126,1544,0
127,707,0
128,1007,42621
129,1460,18696
130,1570,9748
131,1518,20188
132,1503,10823
133,1529,11365
134,121,0
135,210,38926
136,1376,0
137,1492,18696
138,1505,9680
139,583,10094
140,331,21950
141,1550,34094
142,1532,37330
143,1534,0
144,1605,0
145,1540,9348
146,1478,19360
147,258,10094
148,1526,10975
149,354,34094
150,334,12443
151,1536,0
152,725,42621
153,119,0
154,1519,19496
155,92,10094
156,1546,10899
157,351,22729
158,471,12975
159,1703,0
160,1522,9091
161,1551,9748
162,1461,0
163,1552,10975
164,338,22729
165,86,37330
166,1251,0
167,1487,9091
168,1465,19632
169,90,10094
170,466,10823
171,1106,11365
172,1533,12443
173,1704,38926
174,254,0
175,1547,9414
176,88,20188
177,1553,22729
178,1604,12443
179,1595,38926
180,1705,0
181,1353,18696
182,335,10094
183,1543,11365
184,1697,12443
185,1216,0
186,794,0
187,1524,18567
188,1485,20188
189,1070,0
190,1698,0
191,144,25950
192,190,42621
193,1510,9091
194,1514,9748
195,830,10094
196,1525,21798
197,1641,11365
198,1193,0
199,369,0
200,289,0
201,1513,9748
202,1517,10094
203,1488,21950
204,1537,11365
205,124,0
206,1588,0
207,1568,9091
208,81,9748
209,125,20188
210,76,10899
211,84,22729
212,178,0
213,1706,0
214,1474,9414
215,180,20188
216,1603,11365
217,1564,12443
218,1515,0
219,80,10094
220,966,0
221,753,0
222,1707,0
223,1477,0
224,315,20188
225,1617,22729
226,1504,9091
227,1569,9414
228,1473,9816
229,1580,10094
230,1573,31356
231,738,10975
232,575,22729
233,836,34815
234,847,0
235,1565,0
236,981,0
237,166,42621
238,1571,9091
239,1575,19092
240,1613,0
241,1583,10823
242,379,0
243,1691,0
244,1709,0
245,1302,0
246,1479,9091
247,1459,9480
248,109,20188
249,1574,10975
250,113,42621
251,175,11605
252,1561,0
253,591,0
254,150,0
255,1576,9091
256,1607,9348
257,1586,9748
258,1572,20188
259,101,10525
260,1587,10823
261,319,0
262,156,0
263,1560,0
264,1212,0
265,1566,12975
266,1567,26499
267,1467,9091
268,1592,9414
269,1625,19360
270,1615,10094
271,1469,21050
272,1616,10823
273,1074,22729
274,100,45700
275,160,0
276,827,0
277,361,18182
278,57,9546
279,1694,20188
280,1640,0
281,346,11365
282,1693,23701
283,2986,42919
284,345,0
285,371,0
286,1010,0
287,1667,9091
288,1657,21346
289,1658,9091
290,422,10823
291,1666,9546
292,116,22571
293,1659,9546
294,1612,40307
295,35,9546
296,1660,11524
297,1653,0
298,1661,9954
299,243,20471
300,988,30707
301,94,32243
302,1662,21496
303,1663,11129
304,1664,25950
305,62,34573
306,1665,23049
307,726,24542
308,36,9091
309,1188,11605
310,1187,11605
311,1642,25236
312,1643,9091
313,54,18182
314,1644,18182
315,1626,9546
316,1645,9546
317,585,0
318,1646,9816
319,56,29448
320,1647,11286
321,1648,20188
322,1649,10094
323,545,11286
324,284,10379
325,1307,10379
326,1436,31138
327,1650,21646
328,235,10823
329,198,21646
330,1651,11286
331,456,11286
332,787,33857
333,234,11524
334,291,0
335,290,0
336,292,0
337,293,0
338,1611,23867
339,39,23867
340,455,14207
341,342,0
342,1411,34573
343,2987,27273
344,98,9091
345,1593,9091
346,1600,9091
347,666,10673
348,1601,9954
349,1563,19908
350,1624,0
351,849,10379
352,1466,21496
353,1623,21496
354,1191,0
355,903,33621
356,1090,11933
357,1594,0
358,1621,24542
359,1622,0
360,1619,25591
361,298,38386
362,1620,0
363,288,0
364,1618,27825
365,1652,0
366,991,41738
367,294,11933
368,295,0
369,34,9091
370,1462,9091
371,632,10094
372,692,0
373,1577,9091
374,1578,18567
375,681,9680
376,1635,20188
377,1636,10525
378,1602,21646
379,997,26499
380,1655,0
381,2996,0
382,2989,0
383,1608,0
384,336,42621
385,1584,9091
386,50,18567
387,1609,9748
388,782,20188
389,1628,10525
390,1581,10975
391,172,11365
392,264,23536
393,889,24887
394,115,41160
395,1683,42621
396,1476,9091
397,1692,9348
398,1685,9680
399,1472,20188
400,1457,10452
401,1490,10823
402,1688,22729
403,1689,0
404,2993,0
405,2992,0
406,1686,42621
407,1456,9091
408,413,9091
409,181,9283
410,1579,9748
411,1684,0
412,1627,20759
413,1654,10975
414,2985,0
415,2991,0
416,1634,9091
417,1630,9155
418,313,9155
419,1687,42621
420,1632,10094
421,1631,0
422,1710,11365
423,1333,0
424,686,0
425,1597,9091
426,148,18309
427,1639,9155
428,49,20188
429,458,10748
430,1637,0
431,1336,42621
432,476,45700
433,1012,0
434,1444,9091
435,129,18696
436,1638,0
437,1589,10094
438,364,31576
439,48,21950
440,273,31329
441,785,11850
442,1610,12443
443,1596,0
444,40,42621
445,1633,9091
446,1629,9283
447,1711,0
448,1701,10379
449,1690,0
450,2988,0
451,1700,46342
452,1471,9091
453,1614,0
454,1585,10094
455,1481,42621
456,1483,42621
457,1482,42621
458,1484,42621
459,1582,0
460,468,0
461,134,0
462,1752,19632
463,1747,10236
464,1748,10673
465,1735,11286
466,1753,22571
467,1754,28638
468,1739,29040
469,1738,9348
470,1749,9348
471,1750,9348
472,1751,23867
473,1554,28414
474,1555,42621
475,1556,42621
476,1558,42621
477,1557,32469
478,1559,31576
479,1428,32469
480,1670,30281
481,1671,27273
482,1672,27273
483,1673,27273
484,1332,22729
485,1669,25591
486,1328,34815
487,1329,34094
488,1674,37330
489,1675,24887
490,1349,41160
491,1676,28414
492,1234,24887
493,1233,24887
494,1679,41160
495,1680,42621
496,1729,32243
497,1677,32243
498,1724,25950
499,1725,26499
500,1678,34094
501,839,27273
502,825,34094
503,1681,28414
504,815,19092
505,829,19092
506,823,19092
507,2984,35800
508,1744,38386
509,1712,41160
510,1713,41160
511,1714,42621
512,723,31138
513,1245,20759
514,1722,31138
515,1727,31138
516,1728,31138
517,1726,31138
518,1668,31138
519,1723,31138
520,2995,31138
521,2998,31138
522,1715,27273
523,1716,27273
524,1717,27273
525,1718,27273
526,1719,27273
527,1720,27273
528,1745,14207
529,1736,14207
530,1741,14207
531,1742,14207
532,1737,14207
533,1746,28414
534,1743,14207
