"rownum","MtxTypeGameSpecific","i32_16","i32_20"
0,4327,30,105
1,4326,160,105
2,4226,150,131
3,4210,0,0
4,4329,30,105
5,4328,160,105
6,4247,150,131
7,4256,160,105
8,4166,15,3
9,4165,95,62
10,4167,200,0
11,4164,5,0
12,4331,160,131
13,4283,30,105
14,4282,160,105
15,4221,150,131
16,4320,210,234
17,4332,180,234
18,4316,150,131
19,4286,120,131
20,4244,250,131
21,4251,0,160
22,4250,0,160
23,4307,160,105
24,4287,120,131
25,4191,175,131
26,4246,200,131
27,4274,30,105
28,4277,160,105
29,4276,60,211
30,4337,0,0
31,4160,15,62
32,4159,25,62
33,4163,1100,235
34,4161,550,338
35,4156,65,62
36,4155,45,62
37,4245,450,340
38,4162,550,340
39,4207,0,0
40,4216,180,131
41,4178,0,0
42,4177,0,0
43,4176,0,0
44,4175,0,0
45,4174,0,0
46,4255,160,105
47,4238,150,131
48,4262,0,160
49,4215,150,131
50,4257,150,0
51,4330,160,0
52,4213,180,131
53,4214,100,131
54,4225,80,62
55,4293,320,211
56,4248,150,131
57,4199,80,62
58,4322,0,0
59,4323,0,0
60,4321,0,0
61,4309,30,105
62,4236,0,0
63,4281,160,0
64,4222,0,0
65,4310,160,105
66,4311,30,105
67,4252,30,105
68,4298,0,0
69,4212,150,131
70,4219,0,0
71,4218,0,0
72,4172,0,0
73,4171,0,0
74,4170,0,0
75,4169,0,0
76,4168,0,0
77,4261,0,0
78,4336,30,105
79,4275,30,105
80,4278,160,105
81,4263,160,105
82,4259,30,105
83,4297,0,0
84,4312,160,105
85,4313,30,105
86,4260,1,160
87,4270,0,0
88,4239,160,131
89,4211,120,131
90,4273,0,0
91,4254,0,0
92,4288,120,131
93,4240,190,235
94,4301,160,0
95,4289,160,235
96,4280,160,0
97,4187,0,0
98,4227,0,0
99,4229,0,0
100,4228,0,0
101,4231,0,0
102,4230,0,0
103,4184,0,0
104,4241,0,0
105,4223,220,235
106,4153,50,62
107,4152,20,62
108,4154,0,0
109,4151,45,62
110,4150,15,62
111,4149,55,62
112,4148,25,62
113,4182,250,235
114,4200,150,131
115,4190,250,131
116,4299,0,0
117,4302,0,0
