"rownum","MTX","Tier","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","DDSFile","i32_36","string_40"
0,6786,1,"Head Only","Tête uniquement","Nur Kopf","頭部のみ","머리 전용","Apenas Cabeça","Только голова","Solo la cabeza","ศีรษะเท่านั้น","僅限頭部","",34,""
1,6786,2,"Body Only","Corps uniquement","Nur Körper","胴体のみ","몸 전용","Apenas Peitoral","Только тело","Solo el cuerpo","ร่างกายเท่านั้น","僅限身體","",34,""
2,6786,3,"Full Body","Corps entier","Ganzer Körper","全身","전신","Corpo Inteiro","Тело целиком","Cuerpo completo","ทั้งตัว","全身","",34,""
3,7291,1,"Primal","Primitive","Urzeitlich","プライマル","원시","Primal","Первобытный","Primitivo","เก่าแก่","原始","",34,""
4,7291,2,"Vivid","Vivace","Lebhaft","ビビッド","혈기","Vivaz","Буйный","Vívido","สดใส","靈現","",34,""
5,7291,3,"Wild","Sauvage","Wild","ワイルド","야생","Selvagem","Дикий","Salvaje","เกรี้ยวกราด","荒野","",34,""
6,7291,4,"Sacred","Sacré","Heilig","神聖","성스러운","Sagrado","Священный","Sagrado","ศักดิ์สิทธิ์","聖潔","",34,""
7,7291,5,"Dynamic","Dynamique","Dynamisch","ダイナミック","동적","Dinâmico","Меняющийся","Dinámico","สลับสี","動態","",34,""
8,7568,1,"Primal","Primitive","Urzeitlich","プライマル","원시","Primal","Первобытный","Primitivo","เก่าแก่","原始","",34,""
9,7568,2,"Vivid","Sauvage","Lebhaft","ビビッド","혈기","Vivaz","Буйный","Vívido","เกรี้ยวกราด","靈現","",34,""
10,7568,3,"Wild","Vivace","Wild","ワイルド","야생","Selvagem","Дикий","Salvaje","สดใส","荒野","",34,""
11,7568,4,"Sacred","Sacré","Heilig","神聖","성스러운","Sagrado","Священный","Sagrado","ศักดิ์สิทธิ์","聖潔","",34,""
12,7568,5,"Dynamic","Dynamique","Dynamisch","ダイナミック","동적","Dinâmico","Меняющийся","Dinámico","สลับสี","動態","",34,""
13,7311,1,"Primal","Primitive","Urzeitlich","プライマル","원시","Primal","Первобытный","Primitivo","เก่าแก่","原始","",34,""
14,7311,2,"Vivid","Vivace","Lebhaft","ビビッド","혈기","Vivaz","Буйный","Vívido","สดใส","靈現","",34,""
15,7311,3,"Wild","Sauvage","Wild","ワイルド","야생","Selvagem","Дикий","Salvaje","เกรี้ยวกราด","荒野","",34,""
16,7311,4,"Sacred","Sacré","Heilig","神聖","성스러운","Sagrado","Священный","Sagrado","ศักดิ์สิทธิ์","聖潔","",34,""
17,7311,5,"Dynamic","Dynamique","Dynamisch","ダイナミック","동적","Dinâmico","Меняющийся","Dinámico","สลับสี","動態","",34,""
18,7161,1,"Forgemaster","Maître de la forge","Schmiedemeister","フォージマスター","제련 장인","Mestre da Forja","Мастер горна","Maestro de la forja","ผู้คุมโรงหลอม","熔岩鍛匠","",34,""
19,7161,2,"Default","Défaut","Standard","デフォルト","기본","Padrão","По умолчанию","Por defecto","ค่าเริ่มต้น","默認","",34,""
20,7661,1,"Ground Effects Disabled","Effets de Sol désactivés","Bodeneffekte deaktiviert","地面効果無効","바닥 이펙트 비활성화","Efeitos de Chão Desativados","Наземные эффекты выкл.","Efectos de suelo desactivados","ปิดผลของพื้น","禁用地面特效","",34,""
21,7661,2,"Ground Effects Enabled","Effets de Sol désactivés","Bodeneffekte aktiviert","地面効果無効","바닥 이펙트 활성화","Efeitos de Chão Ativados","Наземные эффекты вкл.","Efectos de suelo activados","เปิดผลของพื้น","啟用地面特效","",34,""
22,7652,1,"Ground Effects Disabled","Effets de Sol désactivés","Bodeneffekte deaktiviert","地面効果無効","바닥 이펙트 비활성화","Efeitos de Chão Desativados","Наземные эффекты выкл.","Efectos de suelo desactivados","ปิดผลของพื้น","禁用地面特效","",34,""
23,7652,2,"Ground Effects Enabled","Effets de Sol désactivés","Bodeneffekte aktiviert","地面効果無効","바닥 이펙트 활성화","Efeitos de Chão Ativados","Наземные эффекты вкл.","Efectos de suelo activados","เปิดผลของพื้น","啟用地面特效","",34,""
24,7609,1,"Primal","Primitive","Urzeitlich","プライマル","원시","Primal","Первобытный","Primitivo","เก่าแก่","原始","",34,""
25,7609,2,"Vivid","Sauvage","Lebhaft","ビビッド","혈기","Vivaz","Буйный","Vívido","เกรี้ยวกราด","靈現","",34,""
26,7609,3,"Wild","Vivace","Wild","ワイルド","야생","Selvagem","Дикий","Salvaje","สดใส","荒野","",34,""
27,7609,4,"Sacred","Sacrée","Heilig","神聖","성스러운","Sagrado","Священный","Sagrado","ศักดิ์สิทธิ์","聖潔","",34,""
28,7609,5,"Dynamic","Dynamique","Dynamisch","ダイナミック","동적","Dinâmico","Меняющийся","Dinámico","สลับสี","動態","",34,""
29,7297,1,"Azmeri","Azmérien","Azmeri","アズメリ","아즈메리","Azmeri","Азмири","Azmeri","แอสเมรี","阿茲莫里","",34,""
30,7297,2,"Default","Défaut","Standard","デフォルト","기본","Padrão","По умолчанию","Por defecto","ค่าเริ่มต้น","默認","",34,""
31,7297,3,"Sacred","Sacré","Heilig","神聖","성스러운","Sagrado","Священный","Sagrado","ศักดิ์สิทธิ์","聖潔","",34,""
32,7297,4,"Dynamic","Dynamique","Dynamisch","ダイナミック","동적","Dinâmico","Меняющийся","Dinámico","สลับสี","動態","",34,""
