"rownum","Stat","EPKFiles","bool_32"
0,17013,"[""Metadata/Effects/Microtransactions/Character_FX/threadofhope/chafx_threadofhope.epk""]",""
1,17028,"[""Metadata/Effects/Microtransactions/Misc/gunpowder_leg/gunpowder_trail.epk""]",""
2,17037,"[""Metadata/Effects/misc/polarity/red_polarity.epk"",""Metadata/Effects/misc/polarity/blue_polarity.epk""]",1
3,17063,"[""Metadata/Effects/Microtransactions/foot_prints/DynamiteLegAttachment/DynamiteLegAttachment.epk""]",""
4,17170,"[""Metadata/Effects/Microtransactions/foot_prints/lunar/player_trail.epk""]",""
5,21731,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/touched/epk/vivid_skin_01.epk""]",1
6,21732,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/touched/epk/primal_skin_01.epk""]",1
7,21733,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/touched/epk/wild_skin_01.epk""]",1
8,21734,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/touched/epk/sacred_skin_01.epk""]",1
9,21735,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/possession/epk/vivid_skin_01.epk""]",1
10,21736,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/possession/epk/primal_skin_01.epk""]",1
11,21737,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/possession/epk/wild_skin_01.epk""]",1
12,21738,"[""Metadata/Effects/Spells/monsters_effects/monster_mods/tormented_spirits/possession/epk/sacred_skin_01.epk""]",1
13,22429,"[""Metadata/Effects/Environment/Corrupted_obelisk/epk/corrupted_environment_light.epk""]",""
14,22430,"[""Metadata/Effects/Environment/Corrupted_obelisk/epk/corrupted_environment_heavy.epk""]",""
