"rownum","Id","string_8"
0,"Fragments",""
1,"TabletsPrecursor1","1"
2,"TabletsPrecursor2","2"
3,"TabletsPrecursor3","3"
4,"TabletsPrecursor4","4"
5,"TabletsPrecursor5","5"
6,"TabletsPrecursor6","6"
7,"TabletsRitual1","1"
8,"TabletsRitual2","2"
9,"TabletsRitual3","3"
10,"TabletsRitual4","4"
11,"TabletsRitual5","5"
12,"TabletsRitual6","6"
13,"TabletsExpedition1","1"
14,"TabletsExpedition2","2"
15,"TabletsExpedition3","3"
16,"TabletsExpedition4","4"
17,"TabletsExpedition5","5"
18,"TabletsExpedition6","6"
19,"TabletsDelirium1","1"
20,"TabletsDelirium2","2"
21,"TabletsDelirium3","3"
22,"TabletsDelirium4","4"
23,"TabletsDelirium5","5"
24,"TabletsDelirium6","6"
25,"TabletsBreach1","1"
26,"TabletsBreach2","2"
27,"TabletsBreach3","3"
28,"TabletsBreach4","4"
29,"TabletsBreach5","5"
30,"TabletsBreach6","6"
31,"TabletsBoss1","1"
32,"TabletsBoss2","2"
33,"TabletsBoss3","3"
34,"TabletsBoss4","4"
35,"TabletsBoss5","5"
36,"TabletsBoss6","6"
37,"TabletsUnique1","1"
38,"TabletsUnique2","2"
39,"TabletsUnique3","3"
40,"TabletsUnique4","4"
41,"TabletsUnique5","5"
42,"TabletsUnique6","6"
43,"TrialsSekhemas",""
44,"TrialsChaos",""
