"rownum","Id","Character","ListBackground","Icon","ConsoleIcon","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,"Marauder",0,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListMarauder","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconAxe","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CMarauder","Axe","Hache","Axt","斧","도끼","Machado","Топор","Hacha","<size:40>{ขวาน}","斧"
1,"Witch",1,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListWitch","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconOccult","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CWitch","Occult","Occulte","Okkultes","オカルト","비술","Oculto","Оккультный","Ocultismo","<size:40>{ไสยศาสตร์}","秘巫"
2,"Ranger",2,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListRanger","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconBow","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CRanger","Bow","Arc","Bogen","弓","활","Arco","Лук","Arco","<size:40>{ธนู}","弓"
3,"Gladiator",3,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListGladiator","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSword","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CGladiator","Sword","Épée","Schwert","剣","검","Espada","Меч","Espada","<size:40>{ดาบ}","劍"
4,"Assassin",4,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListShadow","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconDagger","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CAssassin","Dagger","Dague","Dolch","短剣","단검","Adaga","Кинжал","Daga","<size:40>{มีด}","匕首"
5,"Templar",5,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListTemplar","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconFlail","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CTemplar","Flail","Fléau d'armes","Flegel","フレイル","도리깨","Mangual","Кистень","Mangual","<size:40>{ลูกตุ้ม}","鏈錘"
6,"Brute",6,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListWarrior","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconMace","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CWarrior","Mace","Masse","Streitkolben","メイス","철퇴","Maça","Булава","Maza","<size:40>{กระบอง}","錘"
7,"Sorceress",7,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListSorceress","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconElemental","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CSoreress","Elemental","Élémentaire","Elementar","元素","원소","Elemental","Стихийный","Elemental","<size:40>{ธาตุ}","元素"
8,"Huntress",8,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListHuntress","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconSpear","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CHuntress","Spear","Lance","Speer","スピア","창","Lança","Копьё","Lanza","<size:40>{หอก}","長矛"
9,"Mercenary",9,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListMercenary","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconCrossbow","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CMercenery","Crossbow","Arbalète","Armbrust","クロスボウ","석궁","Besta","Самострел","Ballesta","<size:40>{หน้าไม้}","十字弓"
10,"Monk",10,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListMonk","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconQuarterstaff","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CMonk","Quarterstaff","Bâton de combat","Kampfstab","クォータースタッフ","육척봉","Bastão","Боевой посох","Bastón","<size:40>{ไม้พลองวรยุทธ์}","細杖"
11,"Druid",11,"Art/2DArt/UIImages/InGame/Gemcutting/GemcuttingListDruid","Art/2DArt/UIImages/InGame/GemcuttingNew/GemcuttingIconPrimal","Art/2DArt/UIImages/InGame/ConsoleNew/GemCrafting/CDruid","Primal","Primitif","Urzeitlich","原始","원시","Primal","Первобытный","Primalismo","<size:40>{ปฐมกาล}","原始"
