"rownum","rid_0","i32_16","i32_20"
0,296,1,28
1,296,2,52
2,296,3,99
3,296,4,209
4,296,5,338
5,296,6,483
6,296,7,599
7,296,8,725
8,296,9,897
9,296,10,1088
10,296,11,1300
11,296,12,1533
12,296,13,1844
13,296,14,2193
14,296,15,2583
15,296,16,3019
16,296,17,3506
17,296,18,4144
18,296,19,4867
19,296,20,5684
20,382,1,28
21,382,2,52
22,382,3,99
23,382,4,209
24,382,5,338
25,382,6,483
26,382,7,599
27,382,8,725
28,382,9,897
29,382,10,1088
30,382,11,1300
31,382,12,1533
32,382,13,1844
33,382,14,2193
34,382,15,2583
35,382,16,3019
36,382,17,3506
37,382,18,4144
38,382,19,4867
39,382,20,5684
40,381,1,28
41,381,2,52
42,381,3,99
43,381,4,209
44,381,5,338
45,381,6,483
46,381,7,599
47,381,8,725
48,381,9,897
49,381,10,1088
50,381,11,1300
51,381,12,1533
52,381,13,1844
53,381,14,2193
54,381,15,2583
55,381,16,3019
56,381,17,3506
57,381,18,4144
58,381,19,4867
59,381,20,5684
60,39,1,28
61,39,2,52
62,39,3,99
63,39,4,209
64,39,5,338
65,39,6,483
66,39,7,599
67,39,8,725
68,39,9,897
69,39,10,1088
70,39,11,1300
71,39,12,1533
72,39,13,1844
73,39,14,2193
74,39,15,2583
75,39,16,3019
76,39,17,3506
77,39,18,4144
78,39,19,4867
79,39,20,5684
80,4,1,28
81,4,2,52
82,4,3,99
83,4,4,209
84,4,5,338
85,4,6,483
86,4,7,599
87,4,8,725
88,4,9,897
89,4,10,1088
90,4,11,1300
91,4,12,1533
92,4,13,1844
93,4,14,2193
94,4,15,2583
95,4,16,3019
96,4,17,3506
97,4,18,4144
98,4,19,4867
99,4,20,5684
100,130,1,28
101,130,2,52
102,130,3,99
103,130,4,209
104,130,5,338
105,130,6,483
106,130,7,599
107,130,8,725
108,130,9,897
109,130,10,1088
110,130,11,1300
111,130,12,1533
112,130,13,1844
113,130,14,2193
114,130,15,2583
115,130,16,3019
116,130,17,3506
117,130,18,4144
118,130,19,4867
119,130,20,5684
120,120,1,28
121,120,2,52
122,120,3,99
123,120,4,209
124,120,5,338
125,120,6,483
126,120,7,599
127,120,8,725
128,120,9,897
129,120,10,1088
130,120,11,1300
131,120,12,1533
132,120,13,1844
133,120,14,2193
134,120,15,2583
135,120,16,3019
136,120,17,3506
137,120,18,4144
138,120,19,4867
139,120,20,5684
140,327,1,28
141,327,2,52
142,327,3,99
143,327,4,209
144,327,5,338
145,327,6,483
146,327,7,599
147,327,8,725
148,327,9,897
149,327,10,1088
150,327,11,1300
151,327,12,1533
152,327,13,1844
153,327,14,2193
154,327,15,2583
155,327,16,3019
156,327,17,3506
157,327,18,4144
158,327,19,4867
159,327,20,5684
160,308,1,40
161,308,2,75
162,308,3,143
163,308,4,302
164,308,5,488
165,308,6,698
166,308,7,866
167,308,8,1048
168,308,9,1298
169,308,10,1575
170,308,11,1881
171,308,12,2218
172,308,13,2668
173,308,14,3173
174,308,15,3738
175,308,16,4370
176,308,17,5074
177,308,18,5998
178,308,19,7044
179,308,20,8227
180,323,1,40
181,323,2,75
182,323,3,143
183,323,4,302
184,323,5,488
185,323,6,698
186,323,7,866
187,323,8,1048
188,323,9,1298
189,323,10,1575
190,323,11,1881
191,323,12,2218
192,323,13,2668
193,323,14,3173
194,323,15,3738
195,323,16,4370
196,323,17,5074
197,323,18,5998
198,323,19,7044
199,323,20,8227
200,200,1,40
201,200,2,75
202,200,3,143
203,200,4,302
204,200,5,488
205,200,6,698
206,200,7,866
207,200,8,1048
208,200,9,1298
209,200,10,1575
210,200,11,1881
211,200,12,2218
212,200,13,2668
213,200,14,3173
214,200,15,3738
215,200,16,4370
216,200,17,5074
217,200,18,5998
218,200,19,7044
219,200,20,8227
220,388,1,40
221,388,2,75
222,388,3,143
223,388,4,302
224,388,5,488
225,388,6,698
226,388,7,866
227,388,8,1048
228,388,9,1298
229,388,10,1575
230,388,11,1881
231,388,12,2218
232,388,13,2668
233,388,14,3173
234,388,15,3738
235,388,16,4370
236,388,17,5074
237,388,18,5998
238,388,19,7044
239,388,20,8227
240,116,1,40
241,116,2,75
242,116,3,143
243,116,4,302
244,116,5,488
245,116,6,698
246,116,7,866
247,116,8,1048
248,116,9,1298
249,116,10,1575
250,116,11,1881
251,116,12,2218
252,116,13,2668
253,116,14,3173
254,116,15,3738
255,116,16,4370
256,116,17,5074
257,116,18,5998
258,116,19,7044
259,116,20,8227
260,104,1,40
261,104,2,75
262,104,3,143
263,104,4,302
264,104,5,488
265,104,6,698
266,104,7,866
267,104,8,1048
268,104,9,1298
269,104,10,1575
270,104,11,1881
271,104,12,2218
272,104,13,2668
273,104,14,3173
274,104,15,3738
275,104,16,4370
276,104,17,5074
277,104,18,5998
278,104,19,7044
279,104,20,8227
280,204,1,40
281,204,2,75
282,204,3,143
283,204,4,302
284,204,5,488
285,204,6,698
286,204,7,866
287,204,8,1048
288,204,9,1298
289,204,10,1575
290,204,11,1881
291,204,12,2218
292,204,13,2668
293,204,14,3173
294,204,15,3738
295,204,16,4370
296,204,17,5074
297,204,18,5998
298,204,19,7044
299,204,20,8227
300,180,1,40
301,180,2,75
302,180,3,143
303,180,4,302
304,180,5,488
305,180,6,698
306,180,7,866
307,180,8,1048
308,180,9,1298
309,180,10,1575
310,180,11,1881
311,180,12,2218
312,180,13,2668
313,180,14,3173
314,180,15,3738
315,180,16,4370
316,180,17,5074
317,180,18,5998
318,180,19,7044
319,180,20,8227
320,360,1,28
321,360,2,52
322,360,3,99
323,360,4,209
324,360,5,338
325,360,6,483
326,360,7,599
327,360,8,725
328,360,9,897
329,360,10,1088
330,360,11,1300
331,360,12,1533
332,360,13,1844
333,360,14,2193
334,360,15,2583
335,360,16,3019
336,360,17,3506
337,360,18,4144
338,360,19,4867
339,360,20,5684
340,41,1,28
341,41,2,52
342,41,3,99
343,41,4,209
344,41,5,338
345,41,6,483
346,41,7,599
347,41,8,725
348,41,9,897
349,41,10,1088
350,41,11,1300
351,41,12,1533
352,41,13,1844
353,41,14,2193
354,41,15,2583
355,41,16,3019
356,41,17,3506
357,41,18,4144
358,41,19,4867
359,41,20,5684
360,385,1,28
361,385,2,52
362,385,3,99
363,385,4,209
364,385,5,338
365,385,6,483
366,385,7,599
367,385,8,725
368,385,9,897
369,385,10,1088
370,385,11,1300
371,385,12,1533
372,385,13,1844
373,385,14,2193
374,385,15,2583
375,385,16,3019
376,385,17,3506
377,385,18,4144
378,385,19,4867
379,385,20,5684
380,58,1,28
381,58,2,52
382,58,3,99
383,58,4,209
384,58,5,338
385,58,6,483
386,58,7,599
387,58,8,725
388,58,9,897
389,58,10,1088
390,58,11,1300
391,58,12,1533
392,58,13,1844
393,58,14,2193
394,58,15,2583
395,58,16,3019
396,58,17,3506
397,58,18,4144
398,58,19,4867
399,58,20,5684
400,59,1,28
401,59,2,52
402,59,3,99
403,59,4,209
404,59,5,338
405,59,6,483
406,59,7,599
407,59,8,725
408,59,9,897
409,59,10,1088
410,59,11,1300
411,59,12,1533
412,59,13,1844
413,59,14,2193
414,59,15,2583
415,59,16,3019
416,59,17,3506
417,59,18,4144
418,59,19,4867
419,59,20,5684
420,60,1,28
421,60,2,52
422,60,3,99
423,60,4,209
424,60,5,338
425,60,6,483
426,60,7,599
427,60,8,725
428,60,9,897
429,60,10,1088
430,60,11,1300
431,60,12,1533
432,60,13,1844
433,60,14,2193
434,60,15,2583
435,60,16,3019
436,60,17,3506
437,60,18,4144
438,60,19,4867
439,60,20,5684
