"rownum","BaseItemType","Mods","AchievementItems","MapFragmentFamilies","bool_52","bool_53","bool_54","bool_55","bool_56","bool_57"
0,754,[7717],[],20,"","","","","",1
1,755,[7717],[],20,"","","","","",1
2,756,[7717],[],20,"","","","","",1
3,757,[7717],[],20,"","","","","",1
4,759,[7718],[],20,"","","","","",1
5,760,[7718],[],20,"","","","","",1
6,761,[7718],[],20,"","","","","",1
7,762,[7718],[],20,"","","","","",1
8,769,[7721],[],20,"","","","","",1
9,770,[7721],[],20,"","","","","",1
10,771,[7721],[],20,"","","","","",1
11,772,[7721],[],20,"","","","","",1
12,774,[7722],[],20,"","","","","",1
13,775,[7722],[],20,"","","","","",1
14,776,[7722],[],20,"","","","","",1
15,777,[7722],[],20,"","","","","",1
16,779,[7723],[],20,"","","","","",1
17,780,[7723],[],20,"","","","","",1
18,781,[7723],[],20,"","","","","",1
19,782,[7723],[],20,"","","","","",1
20,784,[7724],[],20,"","","","","",1
21,785,[7724],[],20,"","","","","",1
22,786,[7724],[],20,"","","","","",1
23,787,[7724],[],20,"","","","","",1
24,789,[7725],[],20,"","","","","",""
25,962,[11136],[],1,1,"","","","",""
26,963,[11137],[],1,1,"","","","",""
27,964,[11138],[],1,1,"","","","",""
28,965,[11139],[],1,1,"","","","",""
29,966,[11140],[],2,1,"","","","",""
30,967,[11141],[],2,1,"","","","",""
31,968,[11142],[],2,1,"","","","",""
32,969,[11143],[],2,1,"","","","",""
33,970,[11144],[],3,1,"","","","",""
34,971,[11145],[],3,1,"","","","",""
35,972,[11146],[],3,1,"","","","",""
36,973,[11147],[],3,1,"","","","",""
37,974,[11148],[],0,1,"","","","",""
38,975,[11149],[],0,1,"","","","",""
39,976,[11150],[],0,1,"","","","",""
40,977,[11151],[],0,1,"","","","",""
41,978,[11152],[],0,1,"","","","",""
42,979,[11153],[],0,1,"","","","",""
43,980,[11154],[],0,1,"","","","",""
44,981,[11155],[],0,1,"","","","",""
45,982,[11156],[],4,1,1,"","","",""
46,983,[11157],[],4,1,1,"","","",""
47,984,[11158],[],4,1,1,"","","",""
48,985,[11159],[],4,1,1,"","","",""
49,986,[11160],[],5,1,"",1,"","",""
50,987,[11161],[],5,1,"",1,"","",""
51,988,[11162],[],5,1,"",1,"","",""
52,989,[11163],[],5,1,"",1,"","",""
53,990,[11164],[],0,1,"","","","",""
54,991,[11165],[],0,1,"","","","",""
55,992,[11166],[],0,1,"","","","",""
56,993,[11167],[],0,1,"","","","",""
57,994,[11168],[],6,1,"","","","",""
58,995,[11169],[],6,1,"","","","",""
59,996,[11170],[],6,1,"","","","",""
60,997,[11171],[],6,1,"","","","",""
61,998,[11172],[],7,1,"","","","",""
62,999,[11173],[],7,1,"","","","",""
63,1000,[11174],[],7,1,"","","","",""
64,1001,[11175],[],7,1,"","","","",""
65,1002,[11176],[],8,1,"","","","",""
66,1003,[11177],[],8,1,"","","","",""
67,1004,[11178],[],8,1,"","","","",""
68,1005,[11179],[],8,1,"","","","",""
69,1006,[11180],[],9,1,"","","","",""
70,1007,[11181],[],9,1,"","","","",""
71,1008,[11182],[],9,1,"","","","",""
72,1009,[11183],[],9,1,"","","","",""
73,1010,[11184],[],10,1,"","","","",""
74,1011,[11185],[],10,1,"","","","",""
75,1012,[11186],[],10,1,"","","","",""
76,1013,[11187],[],10,1,"","","","",""
77,1014,[11188],[],11,1,"","","","",""
78,1015,[11189],[],11,1,"","","","",""
79,1016,[11190],[],11,1,"","","","",""
80,1017,[11191],[],11,1,"","","","",""
81,1018,[11192],[],12,1,"","","","",""
82,1019,[11193],[],12,1,"","","","",""
83,1020,[11194],[],12,1,"","","","",""
84,1021,[11195],[],12,1,"","","","",""
85,1022,[11196],[],13,1,"","","","",""
86,1023,[11197],[],13,1,"","","","",""
87,1024,[11198],[],13,1,"","","","",""
88,1025,[11199],[],13,1,"","","","",""
89,1026,[11200],[],14,1,"","","","",""
90,1027,[11201],[],14,1,"","","","",""
91,1028,[11202],[],14,1,"","","","",""
92,1029,[11203],[],14,1,"","","","",""
93,816,"[11556,11561]",[],15,"","","",1,"",""
94,817,"[11557,11562]",[],16,"","","",1,"",""
95,818,"[11558,11563]",[],17,"","","",1,"",""
96,819,"[11559,11564]",[],18,"","","",1,"",""
97,820,"[11560,11565]",[],19,"","","",1,"",""
98,821,"[11566,11571]",[],15,"","","",1,"",""
99,822,"[11567,11572]",[],16,"","","",1,"",""
100,823,"[11568,11573]",[],17,"","","",1,"",""
101,824,"[11569,11574]",[],18,"","","",1,"",""
102,825,"[11570,11575]",[],19,"","","",1,"",""
103,826,[7719],[],20,"","","",1,"",""
104,858,[12818],[],20,1,"","","",1,""
105,844,[13666],[],20,"","","",1,"",""
106,845,[13667],[],20,"","","",1,"",""
107,846,[13668],[],20,"","","",1,"",""
108,847,[13669],[],20,"","","",1,"",""
109,848,[13670],[],20,"","","",1,"",""
110,849,[13671],[],20,"","","",1,"",""
111,850,[13672],[],20,"","","",1,"",""
112,851,[13673],[],20,"","","",1,"",""
113,852,[13674],[],20,"","","",1,"",""
114,853,[13675],[],20,"","","",1,"",""
115,854,[13676],[],20,"","","",1,"",""
116,855,[13677],[],20,"","","",1,"",""
117,856,[13678],[],20,"","","",1,"",""
118,857,[13679],[],20,"","","",1,"",""
119,3104,[13680],[],20,1,"","","","",""
