"rownum","Id","bool_8","bool_9"
0,"GenericAttribute",1,""
1,"PathfinderAlternateAttribute",1,""
2,"AtlasStrongboxNotable10","",1
3,"AtlasDeliriumNotable10","",1
4,"AtlasBreachNotable13","",1
5,"AtlasBreachNotable16","",1
6,"AtlasBiomeCityNotable10","",1
7,"AtlasBiomeCityNotable11","",1
8,"AtlasBiomeCityNotable12","",1
9,"AtlasIncursionNotable10","",1
10,"AtlasShrinesNotable4_","",1
11,"AtlasShrinesNotable11","",1
12,"AtlasAbyssNotable8","",1
13,"AtlasAbyssNotable14__","",1
14,"AtlasAbyssNotable9","",1
15,"AtlasBreachNotable6","",1
16,"AtlasMapBossNotable1_","",1
17,"AtlasMapBossNotable5","",1
18,"AtlasEssenceNotable11","",1
19,"AtlasStoneCircleNotable6","",1
20,"AtlasAzmeriSpiritNotable15","",1
21,"AtlasAzmeriSpiritNotable16__","",1
22,"AtlasEssenceNotable12","",1
23,"AtlasMagicMonsterNotable6","",1
24,"AtlasRareNotable5","",1
25,"AtlasRogueExilesNotable12","",1
26,"AtlasRogueExilesNotable13","",1
27,"AtlasContentTypeSelector1","",1
28,"AtlasPortalsVsIrradiated","",1
29,"AtlasRitualNotable6","",1
30,"AtlasEssenceNotable13","",1
31,"AtlasMonsterPackSizeSelector1","",1
32,"BrequelTreeAmulets19","",1
33,"BrequelTreeAmulets23","",1
34,"BrequelTreeAmulets38","",1
35,"BrequelTreeAmulets39","",1
36,"BrequelTreeAmulets40","",1
37,"BrequelTreeAmulets45","",1
38,"BrequelTreeAmulets54","",1
39,"BrequelTreeAmulets60_","",1
40,"BrequelTreeBelts20","",1
41,"BrequelTreeBelts21","",1
42,"BrequelTreeBelts22_","",1
43,"BrequelTreeBelts23","",1
44,"BrequelTreeBelts30","",1
45,"BrequelTreeBelts34","",1
46,"BrequelTreeBelts37_","",1
47,"BrequelTreeBelts42","",1
48,"BrequelTreeBelts44","",1
49,"BrequelTreeBelts51","",1
50,"BrequelTreeRings10","",1
51,"BrequelTreeRings14","",1
52,"BrequelTreeRings15","",1
53,"BrequelTreeRings16","",1
54,"BrequelTreeRings20","",1
55,"BrequelTreeRings21","",1
56,"BrequelTreeRings22","",1
57,"BrequelTreeRings31","",1
58,"BrequelTreeRings34","",1
59,"BrequelTreeRings37","",1
60,"BrequelTreeRings44","",1
61,"BrequelTreeRings47","",1
62,"BrequelTreeRings50","",1
63,"BrequelTreeRings55","",1
64,"BrequelTreeRings56","",1
65,"BrequelTreeCurrency23","",1
66,"BrequelTreeCurrency35","",1
67,"BrequelTreeCurrency37","",1
68,"BrequelTreeCurrency39","",1
69,"BrequelTreeCurrency69","",1
70,"AtlasRitualNotable2","",1
71,"AtlasBreachNotable5","",1
72,"AtlasBiomeSwampNotable4","",1
73,"AtlasBiomeWaterNotable4","",1
74,"AtlasBiomeForestNotable4_","",1
75,"AtlasBiomeMountainNotable4","",1
76,"AtlasBiomeDesertNotable4","",1
77,"AtlasBiomeGrassNotable4","",1
