"rownum","rid_0","rid_16","string_32","bool_40","f32_41","f32_45","f32_49","i32_53","i32_57","bool_61"
0,0,19,"grp_R_forearm","",10,0,0,0,90,1
1,0,22,"grp_R_forearm","",10,0,0,0,90,""
2,6,19,"mid","",15,25,5,0,90,1
3,1,19,"mid","",10,20,5,0,0,1
4,4,19,"mid","",15,-20,5,0,0,1
5,5,19,"mid","",15,-20,5,0,0,1
6,3,19,"mid","",15,40,5,0,0,1
7,9,19,"mid","",15,-30,5,0,0,1
8,10,19,"mid","",15,-30,5,0,0,1
9,8,19,"mid","",15,50,5,0,0,1
10,15,19,"mid","",15,0,5,0,0,1
11,16,19,"mid","",15,-25,5,0,0,1
12,17,19,"mid","",15,0,5,0,0,1
13,18,19,"mid","",15,0,5,-90,0,1
14,20,19,"mid","",15,40,5,0,0,1
15,7,22,"blade","",10,0,0,0,0,""
