"rownum","Id","i32_8","i32_12","i32_16","i32_20","i32_24","i32_28","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","i32_56","i32_60","i32_64","AbyssChance","i32_72","i32_76","i32_80","i32_84","i32_88","i32_92","i32_96","StoneCirclesChance","i32_104"
0,"None",0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,"G1_1",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"G1_2",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
3,"G1_3",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
4,"G1_4",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
5,"G1_5",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
6,"G1_6",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
7,"G1_7",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,100
8,"G1_8",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,100
9,"G1_9",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,10,0,100
10,"G1_10",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
11,"G1_11",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
12,"G1_12",0,0,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
13,"G1_13_1",0,33,0,4,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,100
14,"G1_13_2",0,10,0,4,0,32,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,30,10,0,100
15,"G1_14",0,0,0,4,0,32,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,20,5,0,100
16,"G1_15",0,0,0,4,0,32,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,45,15,0,100
17,"G2_1",0,75,10,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,100
18,"G2_2",0,50,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,100
19,"G2_3",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,20,0,0,100
20,"G2_4_1",0,75,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,33,0,0,100
21,"G2_4_2",0,33,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,50,10,0,100
22,"G2_4_3",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,60,15,0,100
23,"G2_5_1",0,50,0,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0,100
24,"G2_5_2",0,50,10,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,100
25,"G2_6",0,50,15,4,0,262,0,0,0,0,0,0,13,10,0,100,0,0,0,0,0,0,0,0,100
26,"G2_7",0,0,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,20,0,0,100
27,"G2_8",0,50,0,4,0,262,0,0,0,0,0,0,13,10,0,0,0,0,0,0,0,0,0,0,100
