"rownum","Strongbox","rid_16","AOFile"
0,0,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiBlacksmithStrongbox01.ao"
1,1,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiBlacksmithStrongbox01.ao"
2,2,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiBlacksmithStrongbox01.ao"
3,3,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiBlacksmithStrongbox01.ao"
4,4,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiDivinersStrongbox01.ao"
5,5,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiDivinersStrongbox01.ao"
6,6,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiDivinersStrongbox01.ao"
7,7,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiDivinersStrongbox01.ao"
8,8,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiArmourerStrongbox01.ao"
9,9,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiArmourerStrongbox01.ao"
10,10,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiArmourerStrongbox01.ao"
11,11,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiArmourerStrongbox01.ao"
12,12,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiJewellersStrongbox01.ao"
13,13,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiJewellersStrongbox01.ao"
14,14,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiJewellersStrongbox01.ao"
15,15,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiJewellersStrongbox01.ao"
16,16,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiArcanistStrongbox01.ao"
17,17,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiArcanistStrongbox01.ao"
18,18,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiArcanistStrongbox01.ao"
19,19,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiArcanistStrongbox01.ao"
20,20,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiCartographersStrongbox01.ao"
21,21,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiCartographersStrongbox01.ao"
22,22,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiLargeStrongbox01.ao"
23,23,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiLargeStrongbox01.ao"
24,24,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiLargeStrongbox01.ao"
25,25,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiLargeStrongbox01.ao"
26,26,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiBasicStrongbox01.ao"
27,27,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiBasicStrongbox01.ao"
28,28,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiBasicStrongbox01.ao"
29,29,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiBasicStrongbox01.ao"
30,31,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiOrnateStrongbox01.ao"
31,32,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiOrnateStrongbox01.ao"
32,33,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiOrnateStrongbox01.ao"
33,34,1171,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Karui/KaruiOrnateStrongbox01.ao"
34,0,1140,"Metadata/Terrain/Gallows/Leagues/StrongBoxes/CultureBoxes/Maraketh/MarakethBasicStrongbox.ao"
