"rownum","Id","Mods","WorldAreas","[rid]_40","bool_56","i32_57","i32_61","[rid]_65","CompletionNotification","[rid]_97","bool_113","bool_114","bool_115","bool_116","bool_117"
0,"StoneCircleMegalithReveal",[15345],[339],[],"",0,48,[],23,[],"","","","",""
1,"AddSpecificRogueExileToNearbyMap",[16085],[],[],1,0,0,[35],"",[],"","","","",""
2,"AddHildaMission",[16558],[],[],"",10,20,[11],"",[72],1,1,"","",""
3,"AbyssOverrunSpread",[],[],[],1,0,0,[6],8,[],"","","","",""
4,"OverrideConnectedMaps",[15344],[],[],1,0,0,[34],"",[],"","",1,1,""
5,"BreachHive",[],[],[],"",2,18,[36],18,[],"","","","",""
6,"PowerfulMapBoss",[],[],[],"",2,18,[0],"",[],"","","","",""
7,"AzmeriMovingMaps",[],[],[],1,0,0,[21],"",[],"","","","",""
8,"AzmeriMovingMapsUpgraded",[],[],[],1,0,0,[22],"",[],"","","","",""
9,"GuaranteeCleansedBoss",[15345],[],[],"",0,14,[59],"",[],"","","","",""
10,"RevealHiddenMap",[15345],"[269,357,308,333]",[],"",0,48,[],20,[],"","","","",""
11,"RevealCitadelMap",[15345],"[354,356,355,428,429]",[],"",0,48,[],21,[],"","","","",""
12,"RandomContentFromSet",[],[],[],"",2,18,"[12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30,31,32,33,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52]",22,[],"","","","",1
