"rownum","Id","AnimationStart","AnimationEnd","MiscAnimated","string_56","string_64","string_72","bool_80","bool_81","MiscAnimated2","rid_98","EPKFile","i32_122","i32_126"
0,"HeistTemplarMelee2HSlash",93,116,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/military/chokepoint_weapon/chokePoint_poleArm.epk",150,400
1,"HeistTemplarCasterChannelledBlast",93,116,4383,"start","idle","end",1,1,"","","",500,800
2,"HeistTemplarShieldBash",93,116,"","","","",1,1,4541,"","",150,200
3,"HeistTemplarSpearThrust",93,116,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/military/chokepoint_weapon/chokePoint_weapon.epk",150,400
4,"GPHeistTemplarRangedSnipe",93,116,"","","","",1,1,4563,"","",0,0
5,"TEMPGSHeistNilesMineControlChannelled",93,116,"","","","","",1,"","","",0,0
6,"HeistTemplarShieldBashElite",93,116,"","","","",1,1,4547,"","",150,200
7,"HeistThugRangedExplosiveArrow",93,116,"","","","","",1,"","","",0,0
8,"HeistTemplarShieldBashMiniboss",93,116,"","","","",1,1,4580,"","",150,200
9,"HeistThugSpearThrust",93,116,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_fire.epk",150,400
10,"HeistThugGroundSlam",93,116,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_phys.epk",150,400
11,"HeistThugCleaveWave",93,116,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_fire.epk",150,400
12,"HeistThugRangedShotgun",93,116,"","","","",1,1,"","","",150,400
13,"HeistThugGroundslamMiniboss",93,116,"","","","",1,1,"","","Metadata/Effects/Spells/monsters_effects/League_Heist/thugs/weapon_effects/chokepoint_weapon_fire.epk",150,400
14,"HeistTemplarBallLightning",100,101,"","","","",1,1,4695,"","",0,0
15,"HeistScienceMinionPortal",93,116,"","","","","",1,"","","",0,0
16,"HeistRobotMegaBeam",93,116,"","","","",1,1,4754,"","",150,400
17,"GCThaumaturgyAddBuff",93,116,"","","","","",1,"","","",0,0
18,"GSExpeditionMedvedHealBeam",93,116,"","","","","",1,"","","",0,0
19,"GSDoomBossVomit",93,116,"","","","","",1,"","","",0,0
20,"GSConsumeBossPizzaSpin",93,116,"","","","","",1,"","","",0,0
21,"SanctumDamageZoneHazard",93,116,"","","","","","","","","",0,0
22,"GSMundaneMagiChannelMortar",93,116,"","","","","",1,"","","",0,0
23,"GCPerennialKingAsalaLightningBolt",93,116,"","","","","",1,"","","",0,0
24,"GCSerpentCasterBossSnakeSwarm",93,116,"","","","","",1,"","","",0,0
25,"GCSerpentCasterBossMinionEmerge",93,116,"","","","","",1,"","","",0,0
26,"GSJellyfishLightningTendrils",93,116,"","","","","",1,"","","",0,0
27,"GABloodFeverCaptainHookSpin",93,116,"","","","","",1,"","","",0,0
28,"GSCreepyHagProjectileChannel",93,116,"","","","","",1,"","","",0,0
29,"GSIceCasterChannel",93,116,"","","","","",1,"","","",0,0
30,"GSPrisonerKneel",93,116,"","","","","",1,"","","",0,0
31,"GSDemonicSpikerBarrage",93,116,"","","","","",1,"","","",0,0
32,"GSChimeraBossDragonBreath",93,116,"","","","","",1,"","","",0,0
33,"GSBaronBossColdBreath",93,116,"","","","","",1,"","","",0,0
34,"GSPlayerBaronImpale",490,491,"","","","","","","","","",0,0
35,"GSVoodooKingRitual",93,116,"","","","","",1,"","","",0,0
36,"GSVoodooKingPullLifeforce",125,126,"","","","","",1,"","","",0,0
37,"GSDoryaniHumanBossConstantLightning",93,116,"","","","","","","","","",0,0
38,"GSDemonClawBossBulletHell",93,116,"","","","","",1,"","","",0,0
39,"GSDeliriumBossFireFlurry",704,705,"","","","","",1,"","","",0,0
40,"GSDeliriumBossLightningFlurry",707,708,"","","","","",1,"","","",0,0
41,"GSRitualWendigoBossVacuum",93,116,"","","","","",1,"","","",0,0
42,"GSExpeditionPrimordialBossFeedChannel",93,116,"","","","","","","","","",0,0
43,"GSMundaneMagiRunemarkedPoisonCloudChannel",93,116,"","","","","",1,"","","",0,0
44,"GCStarfallKnightBossSwordMinigun",93,116,"","","","","",1,"","","",0,0
45,"GCIceCasterExpeditionIceSpikes",93,116,"","","","","",1,"","","",0,0
