"rownum","BaseItemTypesKey","SpawnWeight","Cost","MinDepth","IsResonator","i32_29","i32_33"
0,269,100,300,0,1,1,600
1,270,100,750,0,1,1,1500
2,271,100,3750,0,1,1,7500
3,232,100,1000,0,"",0,2000
4,233,100,1000,0,"",0,2000
5,234,100,1000,0,"",0,2000
6,235,100,1000,0,"",0,2000
7,236,100,1000,0,"",0,2000
8,237,100,1000,0,"",0,2000
9,238,100,1000,0,"",0,2000
10,239,40,10000,19,"",0,20000
11,240,40,10000,19,"",0,20000
12,241,40,10000,19,"",0,20000
13,242,40,10000,19,"",0,20000
14,243,40,10000,19,"",0,20000
15,244,40,10000,19,"",0,20000
16,245,40,10000,19,"",0,20000
17,246,40,10000,19,"",0,20000
18,247,40,10000,19,"",0,20000
19,248,40,10000,19,"",0,20000
20,249,10,1000000,75,"",0,2000000
21,250,10,1000000,75,"",0,2000000
22,251,10,1000000,75,"",0,2000000
23,252,10,1000000,75,"",0,2000000
24,253,10,1000000,75,"",0,2000000
25,254,10,1000000,75,"",0,2000000
26,255,10,100000,35,"",0,200000
27,256,10,100000,35,"",0,200000
28,265,100,300,0,1,2,600
29,266,100,750,0,1,2,1500
30,267,100,3750,0,1,2,7500
