"rownum","Id","ClassNo","Character","CoordinateRect","RGBFlavourTextColour","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","OGGFile","PassiveTreeImage","TreeRegionVector","TreeRegionAngle","BackgroundImage","i32_88","Disabled","BaseAscendancy","UIArt","rid_117","rid_133","rid_149"
0,"Marauder1",1,0,"150,-550,700,500","175,90,50","[DNT-UNUSED] Bait Fisher","[DNT-UNUSED] Bait Fisher","[DNT-UNUSED] Bait Fisher","[DNT-UNUSED] Bait Fisher","WIP","WIP","Вождь","[DNT-UNUSED] Bait Fisher","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/TitanAscendancy.dds",1332,240,1,135,"","",3,"","",""
1,"Marauder2",2,0,"150,-550,700,500","175,90,50","[DNT-UNUSED] Handliner","[DNT-UNUSED] Handliner","[DNT-UNUSED] Handliner","[DNT-UNUSED] Handliner","WIP","WIP","Берсерк","[DNT-UNUSED] Handliner","DNT","WIP","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/TitanAscendancy.dds",1332,240,1,135,"","",3,"","",""
2,"Marauder3",3,0,"150,-550,700,500","175,90,50","[DNT-UNUSED] Rodman","[DNT-UNUSED] Rodman","[DNT-UNUSED] Rodman","[DNT-UNUSED] Rodman","WIP","WIP","Воплощённый","[DNT-UNUSED] Rodman","DNT","化身","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/TitanAscendancy.dds",1332,240,1,135,"","",3,"","",""
3,"Warrior1",1,6,"0,-600,1000,500","246,184,138","Titan","Titan","Titan","タイタン","타이탄","Titã","Титан","Titán","Titan","泰坦","Incredible might has always laid buried within you. Now is the time to rise.","Une force colossale a toujours sommeillé au plus profond de vous. Le moment est venu de la réveiller.","Unglaubliche Macht schlummerte schon seit jeher in dir. Es ist jetzt an der Zeit, sie zu erwecken.","信じられないような力が常にお前の中に眠っている。今こそ立ち上がる時だ。","네 안에는 언제나 경이로운 힘이 잠들어 있었다. 지금이 바로 깨어날 시간이다.","Um poder incrível sempre esteve presente, enterrado em seu interior. É hora de despertá-lo.","В тебе всегда покоилась невероятная мощь. Пришла пора оживить её.","Un poder increíble ha estado siempre oculto en tu interior. Ahora es el momento de que te alces.","พละกำลังมหาศาลเร้นในกายมาเนิ่นนาน\r\nถึงกาลเป็นใหญ่ในแผ่นดิน","你的體內一直都埋藏著驚人的力量。現在就是覺醒的時候了。","","Art/2DArt/BaseClassIllustrations/TitanAscendancy.dds",1332,240,1,135,"","",3,"","",""
4,"Warrior2",2,6,"0,-600,1000,500","221,193,163","Warbringer","Héraut de la guerre","Kriegsbringer","ウォーブリンガー","워브링어","Incitador","Вестник войны","Adalid de guerra","Warbringer","戰爭使者","Your home has been threatened. A good man must be roused to war.","Votre foyer a été menacé. N'écoutez que votre bravoure et empruntez le sentier de la guerre.","Deine Heimat ist bedroht worden. Ein guter Mann muss zum Krieg gezwungen werden.","お前の故郷が脅威に晒されている。善き男が戦いに出なければならない。","그대의 터전이 위협받고 있다. 올바른 인간이라면 떨쳐 일어나 참전해야 마땅하리라.","Seu lar foi ameaçado. Um homem de verdade precisa estar pronto para a guerra.","Твой дом оказался под угрозой. Человек достойный поднимется на войну.","Han amenazado tu hogar. Un buen hombre debe despertar e ir a la guerra.","บ้านเจ้าถูกคุกคาม\r\nเจ้าบ้านจึงต้องก่อศึก","你的家園受到了威脅。一名善良之人必須挺身加入戰爭。","","Art/2DArt/BaseClassIllustrations/WarbringerAscendancy.dds",1332,240,1,135,"","",3,"","",""
5,"Warrior3",3,6,"150,-550,700,500","120,179,173","Smith of Kitava","Forgeron de Kitava","Schmied von Kitava","スミスオブキタヴァ","스미스 오브 키타바","Ferreiro de Kitava","Кузнец Китавы","Herrero de Kitava","Smith of Kitava","奇塔弗工匠","You hunger for power, and by force of arms, you will take it.","Vous avez soif de pouvoir et, par la force de vos armes, celle-ci sera assouvie.","Du gierst nach Macht, und mit Waffengewalt wirst du sie an dich reißen.","お前は力を求め、力ずくでそれを勝ち取るだろう。","너는 권력에 굶주렸으며, 무기의 힘으로 권력을 쟁취할 것이다.","Você anseia por poder e, com a força das armas, irá tomá-lo.","Ты жаждешь власти, и силой оружия ты возьмёшь её.","Ansías el poder y, por la fuerza de las armas, lo tomarás.","เจ้ากระหายอำนาจ\r\nและจะใช้อาวุธช่วงชิงมาให้จงได้","你渴求力量，並希冀以武力奪之。","","Art/2DArt/BaseClassIllustrations/SmithOfKitavaAscendancy.dds",1332,240,1,135,"","",3,"","",""
6,"Ranger1",1,2,"0,-600,1000,500","206,205,255","Deadeye","Sagittaire","Scharfschützin","デッドアイ","데드아이","Atiradora","Снайпер","Tiradora","Deadeye","銳眼","A woman can change the world with a single well-placed arrow.","Une femme peut changer le monde d'une seule flèche bien placée.","Eine Frau kann die Welt mit einem einzigen gut platzierten Pfeil verändern.","女は一本の狙いすました矢で世界を変えることができる。","잘 조준한 화살 한 발이면 한 여성이 세상을 바꿀 수 있다.","Uma mulher pode mudar o mundo com uma única flecha bem posicionada.","Женщина может изменить мир одним метким выстрелом.","Una mujer puede cambiar el mundo con una sola flecha certera.","ผู้หญิงคนหนึ่งสามารถเปลี่ยนโลกได้\r\nด้วยศรแม่นยำเพียงดอกเดียว","一支精準的箭矢，即可讓一名女人改變世界。","","Art/2DArt/BaseClassIllustrations/DeadeyeAscendancy.dds",1332,120,1,135,"","",3,"","",""
7,"Ranger2",2,2,"0,-550,1000,500","124,179,118","[DNT-UNUSED] Piscator","[DNT-UNUSED] Piscator","[DNT-UNUSED] Piscator","[DNT-UNUSED] Piscator","WIP","WIP","Колдовская лучница","[DNT-UNUSED] Piscator","DNT","秘能弓箭手","","","","","","","","","","","","Art/2DArt/BaseClassIllustrations/DeadeyeAscendancy.dds",1332,120,1,135,1,"",3,"","",""
8,"Ranger3",3,2,"0,-600,1000,500","159,234,178","Pathfinder","Exploratrice","Pfadfinderin","パスファインダー","패스파인더","Desbravadora","Следопыт","Rastreadora","Pathfinder","追獵者","There are venoms and virtues aplenty in the wilds, if you know where to look.","La nature regorge de poisons et de baumes, pour qui sait où les trouver.","In der Wildnis findet man Gifte und Gaben in Hülle und Fülle, wenn man nur weiß, wo man suchen muss.","探す場所さえ知っていれば、自然の中には毒も美徳もいくらでもある。","위치만 확실히 파악한다면, 극약이나 이익이 되는 야생의 재료들은 즐비하다.","Há uma plenitude de venenos e virtudes na selva, você só precisa saber onde procurar.","В глуши много опасных и желанных мест. Надо уметь обходить одни и находить другие.","En la naturaleza hay venenos y virtudes en abundancia, si sabes dónde buscar.","ในป่ามีทั้งพิษร้ายและประโยชน์มากมาย\r\nหากเจ้ารู้ว่ามันอยู่หนใด","在荒野中的掙扎求生教會了你超出認知範圍的方法和手段。","","Art/2DArt/BaseClassIllustrations/PathfinderAscendancy.dds",1332,120,1,135,"","",3,"","",""
9,"Huntress1",1,8,"0,-550,1000,500","220,245,203","Amazon","Amazone","Amazone","アマゾン","아마존","Amazona","Амазонка","Amazona","Amazon","亞馬遜","You became a weapon of war so that others could live in peace.","Vous êtes devenue une arme de guerre, pour que d'autres puissent vivre en paix.","Du hast dich in eine Kriegswaffe verwandelt, damit andere in Frieden leben können.","他者が平和に暮らせるよう、お前は戦の兵器となった。","그대는 남들이 평화로이 살 수 있도록 전쟁 병기가 되었다.","Você se tornou uma arma de guerra para que outros pudessem viver em paz. ","Ты стала орудием войны, чтобы другие могли жить в мире.","Te convertiste en un arma de guerra para que otros pudieran vivir en paz.","เจ้าตั้งตนเป็นอาวุธสงคราม\r\nให้ผู้อื่นได้อยู่อย่างสันติ","你變成了好戰的武器，好讓其他人得以安歇。","","Art/2DArt/BaseClassIllustrations/AmazonAscendancy.dds",1332,120,1,135,"","",3,"","",""
