"rownum","Id","Order","Width","Height","TotalCount","i32_24","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","StandardCount","Image","ChallengeLeagueCount","IsDisabled"
0,"Flask",1,1,2,6,2,"Flask","Flacons","Fläschchen","フラスコ","플라스크","Frasco","Флакон","Frasco","ขวดยา","藥劑",6,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/FlaskUniqueIcon",6,""
1,"Amulet",2,1,1,26,1,"Amulet","Amulettes","Amulett","アミュレット","목걸이","Amuleto","Амулет","Amuleto","สร้อย","項鍊",26,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/AmuletUniqueIcon",26,""
2,"Ring",3,1,1,43,1,"Ring","Bagues & Anneaux","Ring","指輪","반지","Anel","Кольцо","Anillo","แหวน","戒指",43,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/RingUniqueIcon",43,""
3,"Claw",4,2,2,0,2,"Claw","Griffes","Klaue","鉤爪","클로","Garra","Коготь","Garra","กรงเล็บ","爪",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/ClawUniqueIcon",0,1
4,"Dagger",5,1,3,0,3,"Dagger","Dagues","Dolch","短剣","단검","Adaga","Кинжал","Daga","มีด","匕首",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/DaggerUniqueIcon",0,1
5,"Wand",6,1,3,8,3,"Wand","Baguettes","Zauberstab","ワンド","마법봉","Varinha","Жезл","Varita","ไม้กายสิทธิ์","法杖",8,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/WandUniqueIcon",8,""
6,"Sword",7,2,3,0,3,"Sword","Épées","Schwert","剣","검","Espada","Меч","Espada","ดาบ","劍",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/OneHandUniqueIcon",0,1
7,"Axe",8,2,4,0,4,"Axe","Haches","Axt","斧","도끼","Machado","Топор","Hacha","ขวาน","斧",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/OneHandAxeUniqueIcon",0,1
8,"Mace",9,2,4,48,4,"Mace","Masses","Streitkolben","メイス","철퇴","Maça","Булава","Maza","กระบอง","錘",23,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/OneHandMaceUniqueIcon",23,""
9,"Bow",10,2,4,22,4,"Bow","Arcs","Bogen","弓","활","Arco","Лук","Arco","ธนู","弓",11,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/BowUniqueIcon",11,""
10,"Staff",11,2,4,20,4,"Staff","Bâtons","Stab","スタッフ","지팡이","Cajado","Посох","Báculo","ไม้พลอง","長杖",10,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/StaffUniqueIcon",10,""
11,"Quiver",12,2,3,16,3,"Quiver","Carquois","Köcher","矢筒","화살통","Aljava","Колчан","Carcaj","ซองธนู","箭袋",8,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/QuiverUniqueIcon",8,""
12,"Belt",13,2,1,42,1,"Belt","Ceintures","Gürtel","ベルト","허리띠","Cinto","Пояс","Cinturón","เข็มขัด","腰帶",20,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/BeltUniqueIcon",20,""
13,"Gloves",14,2,2,74,2,"Gloves","Gants","Handschuhe","手袋","장갑","Luvas","Перчатки","Guantes","ถุงมือ","手套",37,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/GlovesUniqueIcon",37,""
14,"Boots",15,2,2,50,2,"Boots","Bottes","Stiefel","靴","장화","Botas","Сапоги","Botas","รองเท้า","鞋子",24,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/BootsUniqueIcon",24,""
15,"Body Armour",16,2,3,146,3,"Body Armour","Armures","Körperrüstung","鎧","갑옷","Peitoral","Нательный доспех","Armadura","เสื้อเกราะ","胸甲",72,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/ArmourUniqueIcon",72,""
16,"Helmet",17,2,2,106,2,"Helmet","Casques","Helm","兜","투구","Elmo","Шлем","Casco","หมวก","頭盔",51,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/HelmetUniqueIcon",51,""
17,"Shield",18,2,4,60,4,"Shield","Boucliers","Schild","盾","방패","Escudo","Щит","Escudo","โล่","盾",28,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/ShieldUniqueIcon",28,""
18,"Map",19,1,1,0,1,"Map","Cartes","Karte","マップ","지도","Mapa","Карта","Mapa","แผนที่","地圖",0,"Art/2DArt/UIImages/InGame/MTX/UniqueStash/UniqueButtonIcons/MapsUniqueIcon",0,1
