"rownum","Map","i32_16","Biomes","AdjacentBiomes","i32_52","[i32]_56"
0,0,0,"[4,2,3,5]",[],0,[]
1,1,0,"[2,3,11]",[],0,"[25,25,100]"
2,2,0,"[2,5,11,9]",[],0,"[25,25,100,125]"
3,3,0,"[5,11,9]",[],0,"[100,100,100]"
4,4,0,"[6,2,11,9]",[],0,"[40,40,100,100]"
5,5,0,"[3,11]",[],0,[0]
6,6,0,"[0,10]","[2,3]",2,"[50,100]"
7,7,0,"[1,5]",[],0,"[33,33]"
8,8,0,"[4,5,11,9]",[],0,"[30,50,100,100]"
9,9,0,"[3,4,11]",[],0,"[30,50,100]"
10,10,0,"[3,11,9]",[],0,"[75,100,100]"
11,11,0,"[4,11,9]",[],0,"[100,100,100]"
12,12,0,"[3,11,9]",[],0,"[75,100,125]"
13,13,0,"[7,5,1,11,9]",[],0,"[15,40,40,100,100]"
14,14,0,"[1,11]",[],0,"[60,100]"
15,15,0,"[6,3,9]",[],0,"[33,60,100]"
16,16,0,"[2,5]",[],0,"[25,25]"
17,17,0,"[2,3,11,9]",[],0,"[33,33,100,100]"
18,18,0,"[2,4,3]",[],0,"[25,25,25]"
19,19,0,"[3,9]",[],0,"[100,100]"
20,20,0,"[2,11,9]",[],0,"[50,100,125]"
21,21,0,"[2,5,9]",[],0,"[35,35,100]"
22,22,0,"[3,11,9]",[],0,"[100,100,100]"
23,23,0,"[2,5]",[],0,"[33,33]"
24,24,0,"[8,4]",[],0,"[50,80]"
25,25,0,"[3,11,9]",[],0,"[100,100,100]"
26,26,0,"[1,4,5,11]",[],0,"[25,25,25,100]"
27,27,0,"[2,4,3,11]",[],0,"[25,25,25,100]"
28,28,0,"[1,3,11]",[],0,"[25,25,100]"
29,29,0,"[6,1]",[],0,[0]
30,30,0,"[2,4,3]",[],0,"[25,25,25]"
31,31,0,"[2,3,11,9]",[],0,"[33,33,100,100]"
32,32,0,"[3,11,9]",[],0,"[100,100,100]"
33,33,0,"[0,10]",[5],2,"[100,200]"
34,34,0,"[2,4,3,11,9]",[],0,"[25,25,25,100,100]"
35,85,0,"[2,4,3]",[],0,"[3,3,3]"
36,35,0,"[5,9]",[],0,"[100,100]"
37,36,0,"[6,2,9]",[],0,"[50,50,100]"
38,37,0,"[5,9]",[],0,"[100,100]"
39,38,0,[3],[],0,[0]
40,39,0,"[7,5,1,11]",[],0,"[25,25,25,100]"
41,40,0,"[7,5,11]",[],0,"[33,80,100]"
42,41,0,[7],[],0,[0]
43,42,0,"[0,10,11]",[],0,"[25,50,100]"
44,43,0,"[8,4]",[],0,[0]
45,44,0,[6],[],0,[0]
46,45,0,[8],[],0,[0]
47,46,0,[7],[],0,[0]
48,47,0,"[0,10]",[1],2,"[12,20]"
49,48,0,"[0,10]","[2,5]",2,"[12,20]"
50,49,0,[8],[],0,[5]
51,50,0,"[3,4]",[],0,[0]
52,51,0,[5],[],0,[0]
53,52,0,[4],[],0,[0]
54,53,0,[5],[],0,[0]
55,54,0,[2],[],0,[0]
56,55,0,"[3,4]",[],0,[0]
57,56,0,[11],[],2,[0]
58,57,0,"[0,10]",[],2,"[12,20]"
59,58,0,"[3,4]",[],0,[0]
60,59,0,"[8,4]",[],0,[0]
61,60,0,"[5,11,9]",[],0,"[80,100,125]"
62,61,0,"[3,4,11,9]",[],0,"[33,33,100,100]"
63,62,0,"[4,9]",[],0,"[90,100]"
64,63,0,"[4,11,9]",[],0,"[100,100,100]"
65,64,0,"[3,11]",[],0,"[5,5]"
66,65,0,"[0,10]","[2,3,1,5]",2,"[5,10]"
67,66,0,[5],[],0,[10]
68,67,0,[2],[],0,[10]
69,68,0,"[8,4]",[],0,"[50,60]"
70,69,0,"[7,5]",[],0,"[50,80]"
71,70,0,"[8,1,5]",[],0,"[0,0]"
72,71,0,"[8,2,9]",[],0,"[50,50,125]"
73,72,0,"[7,5]",[],0,[0]
74,73,0,"[2,11]",[],0,[0]
75,74,0,"[3,4,11]",[],0,"[12,12,12]"
76,75,0,"[1,5,11]",[],0,"[6,6,6]"
77,76,0,"[2,3,11]",[],0,"[8,8,8]"
78,77,0,"[1,3]",[1],2,[33]
79,78,0,"[0,10]","[2,3,1,5]",2,"[12,20]"
80,79,0,"[1,11]",[],0,"[50,100]"
81,80,0,"[3,4,11]",[],0,"[40,25,100]"
82,81,0,[2],[],0,[0]
83,82,0,[4],[],0,[0]
84,83,0,"[0,10]",[],0,[25]
85,84,0,[5],[],0,[10]
86,87,0,"[5,9]",[],0,"[80,125]"
87,88,0,"[3,11,9]",[],0,"[80,100,100]"
88,89,0,"[0,10]",[],0,"[20,40]"
89,90,0,"[4,11,9]",[],0,"[100,50,100]"
90,91,0,"[5,9]",[],0,"[80,100]"
91,92,0,"[0,10]",[],0,"[25,50]"
92,93,0,"[1,2,3]",[],0,"[20,20,20]"
93,94,0,"[0,10,11]","[2,3,1]",2,"[33,66,100]"
94,95,0,"[0,10]",[],0,"[25,50]"
95,96,0,"[0,10,11]",[],0,"[25,50,100]"
96,97,0,"[2,3,0,10,11,9]","[0,10]",2,"[20,20,20,40,100,100]"
97,98,0,[9],[],0,[0]
98,99,0,[9],[],0,[0]
99,100,0,[],[],0,[0]
100,101,0,[],[],0,[0]
101,102,0,[],[],0,[0]
102,103,0,[],[],0,[0]
103,104,0,"[5,3,4,2]",[],0,[0]
104,105,0,"[5,3,4,2]",[],0,[0]
105,106,0,[],[],0,[0]
106,107,0,[6],[],0,[0]
107,108,0,[7],[],0,[0]
108,109,0,"[1,11]",[],0,"[25,25,100]"
109,110,0,"[3,4]",[],0,"[50,50]"
110,111,0,"[1,0,10,11]",[],0,[0]
111,112,0,"[1,5,11,9,7]",[],0,"[33,33,100,100,33]"
112,113,0,"[0,2,10,11]","[0,10]",2,"[20,20,20,40,100]"
113,114,0,"[5,9]",[],0,"[100,100]"
114,115,0,[8],[],0,"[25,25,25]"
115,116,0,"[1,5,11,9]",[],0,"[33,33,100,100]"
116,117,0,"[4,3,11]",[],0,"[80,100]"
117,118,0,"[3,11,9]",[],0,"[80,100,100]"
118,119,0,"[2,11,9]",[],0,"[50,100,100]"
119,120,0,"[1,5]",[],0,[0]
120,121,0,"[2,4,11]",[],0,[0]
121,122,0,"[5,11]",[],0,"[100,100]"
122,123,0,"[2,5]",[],0,[0]
123,124,0,"[3,11,9]",[],0,"[80,100,125]"
124,125,0,"[1,2,3,11]",[1],2,[0]
125,126,0,"[4,2,3,5]",[],0,[0]
126,127,0,[10],[],0,[28]
127,128,0,"[4,2,3,5]",[],0,[0]
128,129,0,[],[],0,[0]
129,130,0,[],[],0,[0]
130,131,0,[],[],0,[0]
131,132,0,[],[],0,[0]
132,133,0,[],[],0,[0]
133,134,0,[],[],0,[0]
134,135,0,[],[],0,[0]
135,136,0,[],[],0,[0]
136,141,0,[10],[],0,[12]
137,142,0,[10],[],0,[12]
138,143,0,[10],[],0,[12]
139,144,0,[10],[],0,[8]
140,145,0,[5],[],0,[0]
141,146,0,[3],[],0,[0]
