"rownum","Id","GamepadButton","i32_24","GamepadIcon"
0,"BestiaryOpenBookUI",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadBestiaryBook"
1,"IncursionOpenTempleMap",13,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadIncursionMap"
2,"DelveThrowDynamite",13,0,""
3,"DelveThrowFlare",12,0,""
4,"DelveOpenUpgradeUI",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadDelveUpgrade"
5,"DelveOpenMapUI",1,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadDelveMap"
6,"BetrayalOpenTraitorsUI","",0,""
7,"DeliriumSkipEncounter",13,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadEndDelirium"
8,"HeistActivateNearbyJob",10,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadHeistNPCJob"
9,"HeistOpenNPCsUI",0,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadHeistNPCInventory"
10,"UltimatumToggleWorldDescriptionVisibility","",0,""
11,"ExpeditionToggleExplosivePlacement",1,90,""
12,"ScourgeUseBloodCrucible",10,100,""
13,"BlightSkipDelay",3,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadSkipBlight"
14,"ArchnemesisOpenInventoryUI",12,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadArchnemesisInventory"
15,"SanctumOpenMap",11,0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadSanctumBook"
16,"MicrotransactionGenericMapDeviceDisplayToggle",0,0,""
17,"MicrotransactionShowHideoutMusicPlayer",0,0,"Art/2DArt/UIImages/InGame/Hideout/HideoutMusicButtonDefault"
18,"MicrotransactionTrialsOfChaosDeviceDisplayToggle",0,0,"Art/2DArt/UIImages/InGame/MTX/TreeMapDevice/TreeMapDeviceIconDefault"
19,"MicrotransactionSacredArchivesMapDeviceDisplayToggle",0,0,"Art/2DArt/UIImages/InGame/MTX/SacredArchivesMapDevice/HallowedLibraryTrackerIconDefault"
20,"MicrotransactionHideoutTreasurerDeviceDisplayToggle",0,0,"Art/2DArt/UIImages/InGame/MTX/TreeMapDevice/TreeMapDeviceIconDefault"
21,"BrequelActivateEncounterSkill","",0,"Art/2DArt/UIImages/InGame/Console/LeagueActionIcons/GamepadIncursionMap"
22,"MicrotransactionMobBossTraderDecorationDisplayToggle",0,0,"Art/2DArt/UIImages/InGame/MTX/TreeMapDevice/TreeMapDeviceIconDefault"
