"rownum","rid_0","rid_16","rid_32","bool_48","[rid]_49"
0,658,2217,2218,"",[18184]
1,659,2219,2220,"",[18185]
2,660,2221,2222,"",[18186]
3,661,2223,2224,"",[18187]
4,662,2225,2226,"",[18188]
5,663,2227,2228,"",[18189]
6,664,2229,2230,"",[18190]
7,665,2231,2232,"",[18191]
8,667,2237,2238,1,[18285]
9,668,2240,2241,"",[18299]
10,669,2243,2244,"",[]
11,670,2245,2246,"","[18305,18306]"
12,789,2365,2366,1,[19062]
13,847,2477,2478,"","[20111,20112,20113]"
14,864,2525,2526,"",[20323]
15,877,2541,2542,"",[20475]
16,904,2642,2643,"",[21551]
17,912,2680,"","",[]
18,913,2678,2679,"",[21902]
19,914,2681,2682,"",[21907]
